protein,module_color
A0A0U1RRL7,green
A0FGR8,blue
A1L0T0,blue
A1L4K1,yellow
A2RTX5,turquoise
A3KMH1,turquoise
A5YM72,blue
A6NCE7,red
A6NDG6,grey
A6NNS2,black
A8MU46,brown
A8MXV4,pink
E9PAV3,blue
L0R6Q1,yellow
O00151,turquoise
O00159,turquoise
O00168,black
O00186,grey
O00217,green
O00231,blue
O00232,black
O00233,brown
O00264,grey
O00299,red
O00303,magenta
O00330,pink
O00399,blue
O00410,blue
O00418,grey
O00423,brown
O00429,turquoise
O00442,turquoise
O00483,pink
O00487,black
O00499,blue
O00505,red
O00571,magenta
O00629,blue
O00748,turquoise
O00757,brown
O00764,pink
O14521,pink
O14548,green
O14556,grey
O14558,blue
O14561,green
O14732,brown
O14737,grey
O14744,black
O14818,brown
O14841,turquoise
O14880,green
O14924,green
O14929,blue
O14949,green
O14950,turquoise
O14957,green
O14958,blue
O14964,red
O14979,yellow
O14980,brown
O14983,brown
O15056,grey
O15061,yellow
O15143,blue
O15144,green
O15173,pink
O15212,brown
O15239,green
O15260,blue
O15264,grey
O15273,yellow
O15305,grey
O15371,magenta
O15372,red
O15382,turquoise
O15400,blue
O15427,brown
O15498,grey
O15511,grey
O15533,grey
O43143,grey
O43169,black
O43181,green
O43237,grey
O43242,black
O43374,grey
O43390,red
O43396,blue
O43399,brown
O43414,brown
O43488,turquoise
O43561,brown
O43583,brown
O43598,grey
O43615,turquoise
O43617,grey
O43633,grey
O43674,green
O43676,green
O43678,green
O43684,turquoise
O43707,yellow
O43708,black
O43741,grey
O43747,grey
O43760,black
O43765,turquoise
O43768,grey
O43772,turquoise
O43776,yellow
O43813,grey
O43826,black
O43837,turquoise
O43852,blue
O43865,blue
O43920,green
O60220,green
O60237,blue
O60256,brown
O60271,blue
O60313,turquoise
O60343,green
O60493,grey
O60506,red
O60613,red
O60662,blue
O60664,grey
O60684,blue
O60749,grey
O60763,brown
O60784,grey
O60825,pink
O60869,magenta
O60884,blue
O60888,grey
O60925,yellow
O60936,grey
O75083,brown
O75112,red
O75122,green
O75128,grey
O75131,brown
O75153,pink
O75155,grey
O75208,turquoise
O75223,grey
O75251,green
O75298,brown
O75306,green
O75323,turquoise
O75339,yellow
O75347,turquoise
O75348,grey
O75351,green
O75367,yellow
O75368,grey
O75369,blue
O75380,green
O75390,turquoise
O75396,blue
O75431,green
O75436,brown
O75438,green
O75439,green
O75489,green
O75521,turquoise
O75531,yellow
O75534,red
O75569,red
O75608,green
O75663,blue
O75688,grey
O75746,green
O75764,grey
O75821,magenta
O75822,blue
O75832,brown
O75874,brown
O75880,grey
O75891,grey
O75915,blue
O75923,blue
O75928,grey
O75935,grey
O75947,pink
O75955,black
O75964,pink
O76003,blue
O76070,grey
O94760,brown
O94811,grey
O94812,pink
O94826,grey
O94874,grey
O94886,blue
O94903,brown
O94905,magenta
O94919,blue
O94979,blue
O95139,green
O95140,pink
O95167,green
O95168,green
O95169,green
O95182,green
O95197,grey
O95202,turquoise
O95210,black
O95218,turquoise
O95278,grey
O95292,black
O95298,green
O95299,green
O95336,turquoise
O95359,grey
O95372,grey
O95373,black
O95376,yellow
O95394,grey
O95425,yellow
O95433,turquoise
O95479,brown
O95563,pink
O95571,pink
O95573,blue
O95671,grey
O95674,grey
O95721,grey
O95747,brown
O95777,yellow
O95782,blue
O95810,grey
O95816,brown
O95817,blue
O95822,turquoise
O95831,pink
O95834,grey
O95861,brown
O95865,grey
O95870,turquoise
O95881,brown
O95989,turquoise
O96000,green
O96005,grey
O96007,brown
O96008,green
O96011,turquoise
P00167,turquoise
P00325,grey
P00338,brown
P00352,grey
P00367,turquoise
P00387,blue
P00390,blue
P00395,green
P00403,green
P00414,green
P00441,brown
P00450,turquoise
P00488,grey
P00492,blue
P00505,turquoise
P00558,brown
P00568,brown
P00846,black
P00918,brown
P00966,turquoise
P01034,grey
P01040,grey
P01591,grey
P01889,turquoise
P01911,grey
P02144,turquoise
P02452,yellow
P02461,yellow
P02462,yellow
P02511,blue
P02533,grey
P02545,yellow
P02585,yellow
P02649,grey
P02750,turquoise
P02751,grey
P02753,turquoise
P02766,turquoise
P02775,yellow
P02786,grey
P02792,grey
P02794,green
P02795,grey
P03886,green
P03891,yellow
P03897,green
P03905,black
P03915,grey
P03928,pink
P04040,grey
P04075,brown
P04080,turquoise
P04083,blue
P04179,turquoise
P04264,grey
P04275,yellow
P04406,brown
P04439,turquoise
P04632,blue
P04792,blue
P04843,magenta
P04844,black
P04899,grey
P05023,blue
P05026,pink
P05090,grey
P05091,turquoise
P05109,grey
P05141,pink
P05155,grey
P05165,turquoise
P05166,turquoise
P05198,red
P05386,red
P05387,red
P05388,red
P05413,turquoise
P05452,grey
P05455,grey
P05556,turquoise
P05783,yellow
P05787,grey
P05976,yellow
P06396,red
P06454,turquoise
P06576,pink
P06702,grey
P06703,blue
P06730,yellow
P06732,turquoise
P06733,brown
P06737,grey
P06744,brown
P06748,red
P06753,yellow
P07099,blue
P07108,grey
P07195,turquoise
P07203,turquoise
P07237,blue
P07305,yellow
P07339,turquoise
P07355,blue
P07384,brown
P07437,blue
P07451,turquoise
P07585,yellow
P07602,turquoise
P07737,blue
P07738,grey
P07741,brown
P07814,blue
P07858,turquoise
P07900,blue
P07919,green
P07951,yellow
P07954,turquoise
P08123,yellow
P08133,blue
P08237,brown
P08238,blue
P08294,grey
P08311,green
P08559,pink
P08572,yellow
P08574,green
P08590,yellow
P08621,grey
P08651,grey
P08670,yellow
P08697,grey
P08708,magenta
P08727,grey
P08758,blue
P08865,magenta
P09012,green
P09104,grey
P09110,turquoise
P09211,brown
P09382,brown
P09417,brown
P09429,turquoise
P09455,grey
P09467,brown
P09488,grey
P09493,yellow
P09497,blue
P09525,turquoise
P09601,yellow
P09622,pink
P09651,red
P09669,green
P09874,magenta
P09913,brown
P09936,blue
P09960,grey
P09972,grey
P0CW19,yellow
P0DMV8,blue
P0DP23,yellow
P10109,turquoise
P10176,green
P10253,turquoise
P10301,grey
P10398,grey
P10515,pink
P10599,brown
P10606,green
P10636,blue
P10644,brown
P10768,brown
P10809,turquoise
P10828,yellow
P10909,turquoise
P10916,green
P11021,blue
P11047,yellow
P11055,yellow
P11142,blue
P11171,grey
P11177,pink
P11182,turquoise
P11216,grey
P11217,grey
P11233,green
P11277,grey
P11279,turquoise
P11310,turquoise
P11441,blue
P11532,magenta
P11586,grey
P11766,brown
P11940,grey
P12081,grey
P12109,yellow
P12110,yellow
P12111,yellow
P12235,grey
P12236,brown
P12268,brown
P12277,turquoise
P12429,grey
P12694,green
P12814,yellow
P12882,yellow
P12883,yellow
P12955,grey
P12956,turquoise
P13010,brown
P13073,green
P13164,turquoise
P13473,turquoise
P13489,grey
P13535,yellow
P13611,brown
P13639,blue
P13645,green
P13647,grey
P13667,turquoise
P13693,brown
P13716,grey
P13796,grey
P13797,turquoise
P13798,brown
P13804,turquoise
P13805,yellow
P13807,blue
P13861,brown
P13929,brown
P13987,brown
P14174,grey
P14209,magenta
P14314,blue
P14324,grey
P14406,green
P14543,yellow
P14550,grey
P14618,brown
P14621,blue
P14625,blue
P14649,yellow
P14672,grey
P14735,grey
P14854,green
P14866,grey
P14868,blue
P14923,grey
P14927,green
P15088,turquoise
P15090,turquoise
P15104,green
P15121,brown
P15170,blue
P15259,grey
P15311,blue
P15374,black
P15531,turquoise
P15880,blue
P15927,green
P15954,green
P16083,grey
P16118,grey
P16152,blue
P16157,grey
P16219,turquoise
P16298,grey
P16615,brown
P16671,grey
P16930,turquoise
P16989,grey
P17152,green
P17174,turquoise
P17540,turquoise
P17568,green
P17612,brown
P17655,blue
P17661,yellow
P17858,brown
P17931,blue
P17948,yellow
P17980,blue
P17987,blue
P18077,red
P18085,brown
P18124,red
P18206,blue
P18621,red
P18669,brown
P18859,pink
P19075,brown
P19237,yellow
P19338,red
P19367,grey
P19404,green
P19623,grey
P19971,yellow
P20020,red
P20042,red
P20073,brown
P20231,turquoise
P20290,yellow
P20340,grey
P20472,yellow
P20618,brown
P20674,green
P20807,red
P20810,blue
P20929,yellow
P20962,grey
P21266,brown
P21281,grey
P21291,blue
P21333,blue
P21397,turquoise
P21399,turquoise
P21695,brown
P21796,green
P21810,yellow
P21817,brown
P21912,turquoise
P21964,grey
P21980,green
P22033,turquoise
P22059,grey
P22061,brown
P22102,blue
P22234,black
P22307,grey
P22314,brown
P22352,grey
P22392,pink
P22570,yellow
P22626,yellow
P22695,green
P22830,turquoise
P23109,brown
P23142,red
P23246,red
P23284,grey
P23297,grey
P23327,blue
P23368,pink
P23381,grey
P23396,magenta
P23434,grey
P23526,black
P23528,brown
P23588,grey
P23634,brown
P23786,turquoise
P24043,yellow
P24298,turquoise
P24310,green
P24311,green
P24534,blue
P24539,pink
P24666,brown
P24752,turquoise
P24844,grey
P25311,turquoise
P25325,turquoise
P25398,magenta
P25686,grey
P25705,pink
P25786,brown
P25787,brown
P25788,brown
P25789,brown
P26038,blue
P26196,black
P26368,grey
P26373,red
P26440,turquoise
P26447,blue
P26583,turquoise
P26639,blue
P26640,blue
P26641,blue
P26678,grey
P26885,green
P27105,grey
P27338,turquoise
P27348,turquoise
P27361,yellow
P27635,red
P27694,grey
P27695,turquoise
P27797,grey
P27816,blue
P27824,blue
