pathway,rrho_padj,fry_padj,rrho_overlap,fry_overlap,quadrant,database
Reference Dynein Recruitment To The Kinetochore,2.8733515007991816e-4,0.01902861807646199,6,4,Concordant Up,KEGG
Reference Rab7 Regulated Microtubule Minus End Directed Transport,1.7216361773044884e-6,0.01902861807646199,10,5,Concordant Up,KEGG
