pathway,pathway_label,database,overlap,size,padj,neg_log10_padj,geneID
KEGG_MEDICUS_REFERENCE_RAB7_REGULATED_MICROTUBULE_MINUS_END_DIRECTED_TRANSPORT,Reference Rab7 Regulated Microtubule Minus End Directed Transport,KEGG,5,24,0.019028618076461997,1.7205927505232446,DYNC1H1/DYNC1I2/DYNC1LI1/DYNLT1/TUBB6
KEGG_MEDICUS_REFERENCE_DYNEIN_RECRUITMENT_TO_THE_KINETOCHORE,Reference Dynein Recruitment To The Kinetochore,KEGG,4,16,0.019028618076461997,1.7205927505232446,DYNC1H1/DYNC1I2/DYNC1LI1/DYNLT1
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,Epithelial Mesenchymal Transition,Hallmark,7,48,0.031000085530715475,1.5086371079248717,CALU/COL1A2/COL4A1/COL4A2/FBN1/MYLK/SERPINH1
REACTOME_INTERLEUKIN_4_AND_INTERLEUKIN_13_SIGNALING,Interleukin 4 And Interleukin 13 Signaling,Reactome,5,15,0.03186397342087531,1.4967000688624743,ANXA1/COL1A2/F13A1/FSCN1/MAOA
