uniprot_id,module_color,module_num,gene
Q9H7C9,grey,0,AAMDC
Q13685,grey,0,AAMP
P49588,grey,0,AARS1
Q9BTE6,yellow,4,AARSD1
Q9NRN7,grey,0,AASDHPPT
P61221,blue,2,ABCE1
Q8NE71,magenta,9,ABCF1
Q9NUJ1,turquoise,1,ABHD10
Q8NFV4,turquoise,1,ABHD11
Q96IU4,grey,0,ABHD14B
O95870,turquoise,1,ABHD16A
Q9BV23,black,7,ABHD6
Q6H8Q1,yellow,4,ABLIM2
Q15018,grey,0,ABRAXAS2
P09110,turquoise,1,ACAA1
P42765,turquoise,1,ACAA2
Q13085,blue,2,ACACA
Q9UKU7,turquoise,1,ACAD8
Q9H845,turquoise,1,ACAD9
P11310,turquoise,1,ACADM
P16219,turquoise,1,ACADS
P45954,turquoise,1,ACADSB
P49748,turquoise,1,ACADVL
P24752,turquoise,1,ACAT1
P21399,turquoise,1,ACO1
Q99798,turquoise,1,ACO2
Q86TX2,yellow,4,ACOT1
Q9NPJ3,turquoise,1,ACOT13
P49753,turquoise,1,ACOT2
Q9Y305,turquoise,1,ACOT9
P24666,brown,3,ACP1
Q96CM8,turquoise,1,ACSF2
P33121,turquoise,1,ACSL1
O95573,blue,2,ACSL3
Q9NUB1,green,5,ACSS1
Q9NR19,turquoise,1,ACSS2
P68133,yellow,4,ACTA1
P60709,yellow,4,ACTB
P12814,yellow,4,ACTN1
P35609,yellow,4,ACTN2
Q08043,yellow,4,ACTN3
O43707,yellow,4,ACTN4
P61163,magenta,9,ACTR1A
P61160,turquoise,1,ACTR2
P61158,turquoise,1,ACTR3
Q03154,pink,8,ACY1
P14621,blue,2,ACYP2
P35611,grey,0,ADD1
P00325,grey,0,ADH1B
P11766,brown,3,ADH5
Q8IWW8,turquoise,1,ADHFE1
Q9BV57,grey,0,ADI1
Q15848,turquoise,1,ADIPOQ
Q15847,grey,0,ADIRF
P55263,grey,0,ADK
Q8NDY3,grey,0,ADPRHL1
Q16186,blue,2,ADRM1
P30566,brown,3,ADSL
Q8N142,brown,3,ADSS1
P30520,yellow,4,ADSS2
Q9Y4W6,turquoise,1,AFG3L2
Q53H12,pink,8,AGK
P35573,yellow,4,AGL
Q9BSE5,yellow,4,AGMAT
Q9UKV8,green,5,AGO2
P23526,black,7,AHCY
O43865,blue,2,AHCYL1
Q96HN2,blue,2,AHCYL2
Q09666,red,6,AHNAK
O95433,turquoise,1,AHSA1
O95831,pink,8,AIFM1
Q12904,grey,0,AIMP1
Q13155,pink,8,AIMP2
P00568,brown,3,AK1
P54819,turquoise,1,AK2
Q9UIJ7,turquoise,1,AK3
Q92667,green,5,AKAP1
Q02952,blue,2,AKAP12
