module,delta_VL,delta_LBM
MEgreen,-0.6942459683993804,0.02470623792484303
MEpink,0.005948167552640339,0.379517346886026
MEturquoise,-0.07407312128064275,0.12521201954004516
MEbrown,0.38866904423298093,-0.19007210148550704
MEyellow,-0.0015435189181451795,-0.6136490080368979
MEmagenta,-0.03479209873039666,0.13338296703834956
MEred,0.0390285740809917,-0.20995386156011805
MEblack,0.04657327865585189,0.21575511044888873
MEblue,0.275624652913345,0.2780467985560075
MEgrey,-0.08750164923435612,0.20624574785895367
