pathway,pval,padj,foldEnrichment,overlap,size,database,odds_ratio,module,Description,geneID,Count,p.adjust,ID
GOBP_MUSCLE_CONTRACTION,6.073980786145849e-10,8.746532332050022e-8,2.708974358974359,40,160,GO:BP,3.8666666666666667,yellow,Muscle Contraction,ACTA1/ACTN3/CACNB3/CALM1/DES/JPH2/LMOD2/LMOD3/MYBPH/MYH1/MYH13/MYH2/MYH3/MYH4/MYH7/MYH8/MYL1/MYL3/MYL6/MYL6B/MYOM2/PRKG1/RPL27/RPL34/RPL38/SSPN/SYNM/TCAP/TMOD1/TMOD4/TNNC1/TNNC2/TNNI1/TNNI2/TNNT1/TNNT3/TPM1/TPM2/TPM3/TTN,40,8.746532332050022e-8,GOBP_MUSCLE_CONTRACTION
REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS,2.282759189778985e-9,1.266931350327337e-7,5.804945054945056,15,28,Reactome,12.211538461538462,yellow,Non Integrin Membrane Ecm Interactions,ACTA1/ACTB/ACTN1/COL1A1/COL1A2/COL3A1/COL4A1/COL4A2/COL4A5/HSPG2/LAMA2/LAMB2/LAMC1/SNTB2/SSPN,15,1.266931350327337e-7,REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS
GOBP_ACTOMYOSIN_STRUCTURE_ORGANIZATION,1.397099843867277e-9,1.5647518251313502e-7,3.71092377941693,25,73,GO:BP,5.729166666666667,yellow,Actomyosin Structure Organization,ACTA1/ACTN2/LMOD2/LMOD3/MYBPC1/MYBPC2/MYBPH/MYH3/MYOM1/MYOM2/MYOM3/MYOZ1/MYOZ2/NEB/OBSCN/PLEC/SYNPO/SYNPO2L/TCAP/TMOD1/TMOD4/TNNT1/TNNT3/TPM1/TTN,25,1.5647518251313502e-7,GOBP_ACTOMYOSIN_STRUCTURE_ORGANIZATION
REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX,4.347838904445301e-9,2.0683290788289787e-7,5.604774535809018,15,29,Reactome,11.333333333333334,yellow,Degradation Of The Extracellular Matrix,COL15A1/COL1A1/COL1A2/COL3A1/COL4A1/COL4A2/COL4A5/COL6A1/COL6A2/COL6A3/DCN/FBN1/HSPG2/LAMC1/NID1,15,2.0683290788289787e-7,REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX
REACTOME_ASSEMBLY_OF_COLLAGEN_FIBRILS_AND_OTHER_MULTIMERIC_STRUCTURES,9.157529479381318e-9,3.8118216457924734e-7,7.449679487179488,11,16,Reactome,22.872826086956522,yellow,Assembly Of Collagen Fibrils And Other Multimeric Structures,COL15A1/COL1A1/COL1A2/COL3A1/COL4A1/COL4A2/COL4A5/COL6A1/COL6A2/COL6A3/PLEC,11,3.8118216457924734e-7,REACTOME_ASSEMBLY_OF_COLLAGEN_FIBRILS_AND_OTHER_MULTIMERIC_STRUCTURES
GOBP_MUSCLE_TISSUE_DEVELOPMENT,1.3317086444604e-8,1.342362313616083e-6,3.275968992248062,26,86,GO:BP,4.764102564102564,yellow,Muscle Tissue Development,ACTA1/ACTN2/ACTN3/COL3A1/COL6A1/JPH2/LMNA/LMOD3/MYH7/MYL3/MYL6/MYL6B/MYOM1/MYOZ1/MYOZ2/NEB/PDLIM5/PLEC/PPP3CA/SMYD1/SVIL/TCAP/TNNC1/TNNI1/TPM1/TTN,26,1.342362313616083e-6,GOBP_MUSCLE_TISSUE_DEVELOPMENT
REACTOME_COLLAGEN_BIOSYNTHESIS_AND_MODIFYING_ENZYMES,1.7588407050720847e-7,5.324490498081856e-6,6.772435897435898,10,16,Reactome,17.225225225225227,yellow,Collagen Biosynthesis And Modifying Enzymes,COL15A1/COL1A1/COL1A2/COL3A1/COL4A1/COL4A2/COL4A5/COL6A1/COL6A2/COL6A3,10,5.324490498081856e-6,REACTOME_COLLAGEN_BIOSYNTHESIS_AND_MODIFYING_ENZYMES
REACTOME_COLLAGEN_DEGRADATION,1.7588407050720847e-7,5.324490498081856e-6,6.772435897435898,10,16,Reactome,17.225225225225227,yellow,Collagen Degradation,COL15A1/COL1A1/COL1A2/COL3A1/COL4A1/COL4A2/COL4A5/COL6A1/COL6A2/COL6A3,10,5.324490498081856e-6,REACTOME_COLLAGEN_DEGRADATION
GOBP_MULTICELLULAR_ORGANISMAL_MOVEMENT,1.3397527341480388e-7,1.2277006872920211e-5,4.893631100082713,14,31,GO:BP,8.649333766655834,yellow,Multicellular Organismal Movement,ACTN3/COL6A1/MYH3/MYH7/MYH8/SYNM/TCAP/TNNC1/TNNC2/TNNI1/TNNI2/TNNT1/TNNT3/TTN,14,1.2277006872920211e-5,GOBP_MULTICELLULAR_ORGANISMAL_MOVEMENT
GOBP_STRIATED_MUSCLE_ADAPTATION,1.7588407050720847e-7,1.4774261922605512e-5,6.772435897435898,10,16,GO:BP,17.225225225225227,yellow,Striated Muscle Adaptation,ACTN3/LMNA/MYH7/MYOZ1/MYOZ2/PPP3CA/TCAP/TNNC1/TNNI1/TNNT1,10,1.4774261922605512e-5,GOBP_STRIATED_MUSCLE_ADAPTATION
