module,BMI_Pre,VL_Pre,LBM_Pre
MEgreen,0.8047749738792573,0.5599793435740557,0.07305925732407088
MEpink,0.9730073531225919,0.966867934761886,0.5757769899490859
MEturquoise,0.38546162973664666,0.5400793739128549,0.9433866869339174
MEbrown,0.35388081152080464,0.612823150647263,0.38763431161302975
MEyellow,0.3881206414546071,0.10605557405998839,0.5456812939515023
MEmagenta,0.33214555626063136,0.13344757845358787,0.4016675259005722
MEred,0.3856058773558412,0.4645014313189948,0.5676356506117339
MEblack,0.7013603264074736,0.5359943785461816,0.7983759863688958
MEblue,0.030069469400405436,0.08139974462584107,0.029437889401051548
MEgrey,0.17800934084201664,0.6184568804179191,0.5061615130623494
