uniprot_id,kME,module,gene
P09493,0.9474687605092297,yellow,TPM1
P07951,0.945710653819203,yellow,TPM2
P48788,0.9300393880046347,yellow,TNNI2
O43707,0.9223706329170418,yellow,ACTN4
P45378,0.9155763627527991,yellow,TNNT3
P35609,0.9110231729508309,yellow,ACTN2
Q9NZQ9,0.9096312663420039,yellow,TMOD4
P52179,0.908997899240187,yellow,MYOM1
P12814,0.9083867231459437,yellow,ACTN1
Q9NP98,0.9005746510591068,yellow,MYOZ1
P26038,0.8918142086707215,blue,MSN
Q00765,0.8782908860061646,blue,REEP5
Q14204,0.8385469783970146,blue,DYNC1H1
P11142,0.8048634467668079,blue,HSPA8
O75923,0.8032864427385127,blue,DYSF
P48643,0.801270739056238,blue,CCT5
Q14974,0.7973734532717599,blue,KPNB1
P10636,0.7924226949857791,blue,MAPT
P68363,0.789447093939506,blue,TUBA1B
P07437,0.7852316780389089,blue,TUBB
P62269,0.928298641503255,magenta,RPS18
P63244,0.8960531697624511,magenta,RACK1
P62701,0.8748727969541743,magenta,RPS4X
P61247,0.8668935961418971,magenta,RPS3A
P35268,0.8638860236571652,magenta,RPL22
Q13557,0.8259743558480461,magenta,CAMK2D
P08865,0.8140087747485052,magenta,RPSA
P62249,0.8119625284514934,magenta,RPS16
P46782,0.7876233655411143,magenta,RPS5
P60866,0.7842119998014055,magenta,RPS20
P38117,0.9261435938634872,turquoise,ETFB
P48735,0.9108552677528299,turquoise,IDH2
P51649,0.9031963620750139,turquoise,ALDH5A1
P43155,0.8995890034463743,turquoise,CRAT
P13804,0.8983977787553816,turquoise,ETFA
Q16762,0.8659326746830078,turquoise,TST
Q99798,0.8652438080055105,turquoise,ACO2
P35914,0.8415528918422088,turquoise,HMGCL
P00505,0.8386975401211497,turquoise,GOT2
P07954,0.8288506620098867,turquoise,FH
P62979,0.9114609356920591,black,RPS27A
P41091,0.8750867643069737,black,EIF2S3
Q05639,0.8490704298054227,black,EEF1A2
O43242,0.8290611267639625,black,PSMD3
Q86Y39,0.8151379282636789,black,NDUFA11
Q02978,0.8029744139940722,black,SLC25A11
Q15008,0.791908457855075,black,PSMD6
O00487,0.7899567709500993,black,PSMD14
Q9H2I8,0.7793074000604964,black,LRMDA
O00232,0.7687333003537759,black,PSMD12
Q9UHG3,0.8330652411642439,brown,PCYOX1
O14983,0.8083619801951386,brown,ATP2A1
P63241,0.7671514663023615,brown,EIF5A
Q93084,0.7667165890570082,brown,ATP2A3
P10768,0.7604090463902776,brown,ESD
P55786,0.752480992488974,brown,NPEPPS
P49773,0.7502370558176433,brown,HINT1
P60174,0.7447287095487114,brown,TPI1
P18669,0.7420231968912685,brown,PGAM1
O75298,0.7333524374687964,brown,RTN2
P28331,0.9466243082978294,green,NDUFS1
P49821,0.925650355539346,green,NDUFV1
O95298,0.9190510502595086,green,NDUFC2
O95168,0.9169070808991419,green,NDUFB4
P19404,0.9123099414061394,green,NDUFV2
O95167,0.9116280101905982,green,NDUFA3
O95182,0.9096972684149843,green,NDUFA7
Q16718,0.9060062329253643,green,NDUFA5
O00217,0.9051983456497545,green,NDUFS8
O75251,0.8967987140767572,green,NDUFS7
P25705,0.8842440757502543,pink,ATP5F1A
Q00325,0.8578215060191403,pink,SLC25A3
P56385,0.845987642628137,pink,ATP5ME
Q02218,0.8424056508045554,pink,OGDH
O75964,0.8345569879801406,pink,ATP5MG
P24539,0.8113485258339141,pink,ATP5PB
Q9H7Z7,0.7998018534286528,pink,PTGES2
P48047,0.7876283330566923,pink,ATP5PO
O75947,0.7852726163058892,pink,ATP5PD
P42704,0.7731622954166006,pink,LRPPRC
P18621,0.916425787443387,red,RPL17
P46777,0.9143527762791762,red,RPL5
P05387,0.9063217713926598,red,RPLP2
P62906,0.9005476972415366,red,RPL10A
P46779,0.9002672444999933,red,RPL28
P84098,0.8954854099399158,red,RPL19
Q02878,0.8945883030393184,red,RPL6
P05388,0.89059211196354,red,RPLP0
P18124,0.8796519627023499,red,RPL7
P36578,0.8726594992373081,red,RPL4
