module,BMI_Pre,VL_Pre,LBM_Pre
MEgreen,0.8941944154213971,0.6871743115754657,0.3652962866203544
MEpink,0.9730073531225919,0.966867934761886,0.7197212374363573
MEturquoise,0.5544580592208673,0.6871743115754657,0.9433866869339174
MEbrown,0.5544580592208673,0.6871743115754657,0.7197212374363573
MEyellow,0.5544580592208673,0.4448252615119596,0.7197212374363573
MEmagenta,0.5544580592208673,0.4448252615119596,0.7197212374363573
MEred,0.5544580592208673,0.6871743115754657,0.7197212374363573
MEblack,0.876700408009342,0.6871743115754657,0.8870844292987732
MEblue,0.30069469400405435,0.4448252615119596,0.2943788940105155
MEgrey,0.5544580592208673,0.6871743115754657,0.7197212374363573
