module,age_num,VL_thick_cm,DXA_LBM_kg,BMI,Type_I_fCSA,Type_II_fCSA,deadlift_1rm_kg
MEgreen,0.28308372011209687,-0.006752946365831718,0.16686066489366322,-0.1079726415498107,0.24444485091974794,-0.036468429227303895,-0.14067350735829354
MEpink,-0.05662013260253072,0.06801795066196703,0.13436720042353648,-0.13223089208227645,0.11744412655636731,0.15111348893356558,0.054108342051304395
MEturquoise,0.7039119016422378,-0.27871321975557184,0.017706673106511937,0.27302929643241214,0.008906506062693057,-0.3598954173778742,-0.3127338398611648
MEbrown,-0.05070348538015296,0.027542024782056952,0.005836140575027855,0.2853566167430818,-0.08886562668787588,0.04028495422287614,0.12520927716349753
MEyellow,-0.4355587473398733,0.38142304880487377,0.09684264678110924,-0.14146263725581393,0.14358363931007057,0.3797968505802579,0.21474674487360243
MEmagenta,-0.2703409194438573,0.08105213808941693,0.07381622648914743,-0.08630858374243686,-0.045674980237389536,0.02537381712564368,-0.09862698863343629
MEred,-0.34205810057256253,0.2352439232271218,-0.03541065077937667,-0.2302971356370911,-0.1079892009962645,0.08643418766747991,0.017574652750097793
MEblack,-0.7260425542557601,0.18892423815116438,0.020503657892403004,-0.34467508043124184,0.11283390704242069,0.4301982424079175,0.23748667656812858
MEblue,-0.4777281351858856,0.07934781625159365,-0.04448130751680739,-0.33701785054446143,-0.19631644807556997,0.07001655434508085,0.1680613537485352
MEgrey,0.21170086659773743,-0.24578123944361135,-0.27396086633754485,-0.03495834336455739,0.042017145283061955,-0.1682330143141725,-0.07897802561297143
