module,delta_VL,delta_LBM
MEgreen,0.1685352968481221,0.934105826905076
MEpink,0.8445881091383349,0.6378715235752008
MEturquoise,0.934105826905076,0.8445881091383349
MEbrown,0.8445881091383349,0.7816573769516629
MEyellow,0.7720031573313665,0.17120124703802253
MEmagenta,0.934105826905076,0.894569181909245
MEred,0.9592512230404295,0.8550041734022287
MEblack,0.934105826905076,0.8445881091383349
MEblue,0.48150306546152216,0.6378715235752008
MEgrey,0.7432406750126508,0.8445881091383349
