pathway,pval,padj,foldEnrichment,overlap,size,overlapGenes,database,odds_ratio,set,pathway_label,neg_log10_padj,significant
REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION,2.0572373591201927e-29,6.3980081868637996e-27,2.8297824624355234,72,78,,Reactome,27.576547231270357,Reversed (Aging Down / Training Up),Eukaryotic Translation Elongation,26.193955208530202,TRUE
KEGG_MEDICUS_REFERENCE_TRANSLATION_INITIATION,1.418611277321483e-25,1.2767501495893347e-24,2.802832153269471,64,70,,KEGG,24.19721329046088,Reversed (Aging Down / Training Up),Reference Translation Initiation,23.89389408258868,TRUE
REACTOME_RRNA_PROCESSING,2.834912500569051e-24,1.2595111252528214e-22,2.67257232563355,68,78,,Reactome,15.481553398058253,Reversed (Aging Down / Training Up),Rrna Processing,21.89979799202885,TRUE
REACTOME_TRANSLATION,2.7643649931961464e-22,9.55241680982224e-21,2.043731778425656,118,177,,Reactome,4.78169014084507,Reversed (Aging Down / Training Up),Translation,20.01988673581097,TRUE
GOBP_CYTOPLASMIC_TRANSLATION,3.7664832815029835e-23,3.732584931969457e-20,2.3319503625626075,89,117,,GO:BP,7.3953697056712135,Reversed (Aging Down / Training Up),Cytoplasmic Translation,19.427990301468707,TRUE
REACTOME_MITOCHONDRIAL_PROTEIN_IMPORT,9.123624978227578e-7,2.8374473682287767e-4,2.681208425720621,23,44,,Reactome,4.731881383044174,Exacerbated Up,Mitochondrial Protein Import,3.54707218544633,TRUE
GOBP_MITOCHONDRIAL_TRANSPORT,5.848956349285729e-6,0.005796315742142157,2.2440548780487806,28,64,,GO:BP,3.3737638161721932,Exacerbated Up,Mitochondrial Transport,2.2368479652755395,TRUE
REACTOME_PROTEIN_LOCALIZATION,9.163064191266635e-5,0.014248564817419616,1.9572207958921695,29,76,,Reactome,2.665661473166918,Exacerbated Up,Protein Localization,1.8462288776389502,TRUE
HALLMARK_OXIDATIVE_PHOSPHORYLATION,6.221836003090403e-4,0.022398609611125452,1.5453564727954971,47,156,,Hallmark,1.8815679733110926,Exacerbated Up,OXPHOS,1.6497789395657074,TRUE
REACTOME_MITOCHONDRIAL_PROTEIN_DEGRADATION,2.461695545970377e-4,0.02551957715989291,1.8897304236200259,28,76,,Reactome,2.511998254799302,Exacerbated Up,Mitochondrial Protein Degradation,1.593126525822607,TRUE
REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS,6.811007296862843e-7,2.1182232693243443e-4,3.299280177187154,17,28,,Reactome,7.121621621621622,Exacerbated Down,Non Integrin Membrane Ecm Interactions,3.674028265415914,TRUE
REACTOME_FORMATION_OF_THE_DYSTROPHIN_GLYCOPROTEIN_COMPLEX_DGC,8.230203589896499e-6,0.0012797966582289056,3.622739018087855,12,18,,Reactome,9.12,Exacerbated Down,Formation Of The Dystrophin Glycoprotein Complex Dgc,2.892859028183681,TRUE
REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION,0.0014754134332334425,0.15295119257853354,1.8679748062015504,22,64,,Reactome,2.402348336594912,Exacerbated Down,Extracellular Matrix Organization,0.8154471324206745,FALSE
REACTOME_ECM_PROTEOGLYCANS,0.0020256198288236796,0.15749194169104108,2.587670727205611,10,21,,Reactome,4.111405835543766,Exacerbated Down,Ecm Proteoglycans,0.8027416626276882,FALSE
REACTOME_NCAM_SIGNALING_FOR_NEURITE_OUT_GROWTH,0.003968112333137196,0.2468165871211336,2.7170542635658914,8,16,,Reactome,4.506596306068602,Exacerbated Down,Ncam Signaling For Neurite Out Growth,0.6076256572274745,FALSE
GOBP_SMALL_MOLECULE_CATABOLIC_PROCESS,2.26667822071772e-11,2.2462781167312605e-8,1.9382488479262674,72,126,,GO:BP,3.4768856447688563,Reversed (Aging Up / Training Down),Small Molecule Catabolic Process,7.648536473771756,TRUE
GOBP_LIPID_OXIDATION,4.410048542530607e-8,1.4567860352159439e-5,2.4751961639058413,27,37,,GO:BP,6.706745362563238,Reversed (Aging Up / Training Down),Lipid Oxidation,4.836604230349961,TRUE
GOBP_LIPID_CATABOLIC_PROCESS,8.178967672595756e-8,2.0263392408855988e-5,2.1271459814106066,37,59,,GO:BP,4.214642133167004,Reversed (Aging Up / Training Down),Lipid Catabolic Process,4.693287845199207,TRUE
GOBP_MONOCARBOXYLIC_ACID_CATABOLIC_PROCESS,4.211498658469969e-7,5.9622788150624855e-5,2.212131837307153,30,46,,GO:BP,4.66207627118644,Reversed (Aging Up / Training Down),Monocarboxylic Acid Catabolic Process,4.224587718841489,TRUE
HALLMARK_XENOBIOTIC_METABOLISM,1.136865329555072e-5,3.72518625426992e-4,1.9382488479262672,32,56,,Hallmark,3.308390022675737,Reversed (Aging Up / Training Down),Xenobiotic Metabolism,3.428852008236642,TRUE
