contrast,gene,P.Value,adj.P.Val,pi_score,sig_pi
Aging,MMP24OS,0.16121267798371608,0.374205586975447,0.45987209003175467,0
Aging,ESYT2,0.14575711025164859,0.3551879523281773,0.6391268155508284,0
Aging,ILVBL,0.23111801289273057,0.46379599392815063,0.6888290754918648,0
Aging,FSD2,1.2618988262175714e-4,0.00373770877681063,0.00396944504493662,-1
Aging,TARS3,0.787756934584828,0.8882857015720607,0.9858667230787226,0
Aging,VWA8,0.02401370136295776,0.11717126210278464,0.08386656366401839,0
Aging,CARNS1,0.15917398757638188,0.3712427575100042,0.5056975272839425,0
Aging,MAP1LC3B2,0.02283383644695113,0.11245798137690452,0.16139930536382885,0
Aging,PGP,0.18560778477097845,0.40607897625787553,0.8179079762640198,0
Aging,DHRS7C,0.07725192349041014,0.24175713556597103,0.5020376978587551,0
Aging,SMTNL1,0.41498308524246674,0.6361687459148656,0.8554210976867596,0
Aging,NUDT19,0.09216386019938191,0.269195274999028,0.34918849948115077,0
Aging,NACA,0.00160482664546754,0.01950838401975869,0.1831678414264164,0
Aging,SLC35A4,0.187929007437001,0.4091249509730984,0.704810754034218,0
Aging,PDLIM1,8.597606652973337e-6,7.533652829667887e-4,8.70240545530446e-6,1
Aging,MYO1C,0.06288400498166181,0.21337585574865792,0.45472757919887186,0
Aging,FXYD1,0.00996348173383279,0.0650720561684794,0.07073175502142448,0
Aging,STXBP3,0.4563986199612913,0.6665321512351358,0.9288440467085204,0
Aging,NDUFS8,0.8874779123080134,0.9464330880242152,0.9972921257801776,0
Aging,PSMD11,0.30902975529663024,0.5438406488609318,0.9124241149649504,0
Aging,PSMD12,0.15229318253565016,0.3627095842270354,0.7312016308499195,0
Aging,PSMD9,0.6587012293370398,0.8128286181497374,0.9816364918727132,0
Aging,PGRMC1,0.8028806914281524,0.8985051201443869,0.981712484249484,0
Aging,CLIC1,0.7277263500309712,0.8534674466902405,0.985667157274093,0
Aging,EIF3F,0.29493101072599587,0.5341300385278606,0.8832166781954085,0
Aging,PDHX,0.6715560980964397,0.8187144778532247,0.985259553147818,0
Aging,DCTN6,0.11108432355783664,0.301044242837797,0.494744094295266,0
Aging,IPO5,0.1378543043046987,0.34174796249253786,0.8169480219061163,0
Aging,EEF2K,0.9867887117315892,0.9953077509695598,0.9999588063869064,0
Aging,EML1,0.43546020802441543,0.6517955996265806,0.9319473516543956,0
Aging,DNM1L,0.16062445776386353,0.3732521930137072,0.7866859989674345,0
Aging,RTCA,0.02204341975442234,0.11037455177035758,0.3802268469580371,0
Aging,NDUFA4,0.7104914286715994,0.8441601550826969,0.9852413960008022,0
Aging,PSMD14,6.390831384457806e-5,0.00244362152754813,0.03775464505078919,-1
Aging,BIN1,0.7175333318985742,0.8476485259516064,0.9913338107666656,0
Aging,KPNA3,0.2908739321570663,0.5291331822253755,0.8417241594136842,0
Aging,DDX3X,0.05578342406645942,0.1987861210704366,0.4264234117078231,0
Aging,KPNA4,0.9575568889687875,0.9804089430622784,0.9998171594667816,0
Aging,CES2,0.1528831961846068,0.36329193398443854,0.5104842658737153,0
Aging,FBP2,0.5009774648284366,0.6967960373903453,0.9186187433925096,0
Aging,PDXK,0.7683139587929946,0.8748851880027358,0.9933932154336153,0
Aging,SDHD,0.2793304051222371,0.5187622010348694,0.807960112719977,0
Aging,COX7A2L,0.6790804503985645,0.8221682136949805,0.9561264125550116,0
Aging,GAPDHS,0.3121725263110482,0.5470388954795947,0.629360648268069,0
Aging,HSPB6,0.04253311997751521,0.16777165059654428,0.2862229174177309,0
Aging,NDUFAB1,0.10369209851350213,0.2907526442318599,0.5449829934358402,0
Aging,IMPA2,0.15377363909122763,0.364173381766725,0.6881637049606849,0
Aging,PDCD5,0.7469459706663992,0.8619709824217849,0.9917314506597136,0
