Contrast,FDR_full,FDR_reduced,Pi_full,Pi_reduced,Pearson_r,Spearman_rho
Training_Young,329,261,119,100,0.982154318078124,0.981787750021238
Training_Old,0,0,18,18,0.999973272891021,0.999970068360817
Aging,407,404,222,196,0.992313641432477,0.992702063034303
Interaction,1,1,51,34,0.983704274907112,0.980462221236552
Reversal,172,137,190,180,0.994894596090231,0.994735157024563
