"test","Group","n","statistic","p_value","df","mean_diff","ci_lo","ci_hi","shapiro_p"
"paired_t_young","Young",13,2.79441278568396,0.0162113506588155,12,856.603728058635,188.706987034343,1524.50046908293,0.629844097930084
"paired_t_old","Old",10,-1.12717233951929,0.288823381952292,9,-381.6,-1147.44488729731,384.244887297309,0.166727557880152
"unpaired_t_delta","Young vs Old",23,2.71115529634061,0.0135165137442106,19.8168408558481,-1238.20372805863,284.96473107296,2191.44272504431,NA
