pathway,contrast,NES,padj,size,database,sig,pathway_label,pattern,sort_key,leading_edge
GOBP_ORGANIC_ACID_CATABOLIC_PROCESS,Aging,2.733,5.371e-12,86,GO:BP,TRUE,Organic Acid Catabolic Process,Reversed,2.732933732738952,HMGCL;HADHA;DCXR;HADHB;ECHS1;ACADM;ACAT1;ALDH5A1;CRAT;ALDH6A1;ETFB;MPST;ECI1;ALDH4A1;ETFA;HADH;MCCC1;PCCB;CPT2;TST;ECH1;ACAA2;FAH;IVD;PCCA;ACAD8;ECI2;MCEE;GPT2;ADIPOQ;ACADS;HIBADH;ACADVL;ACADSB;RIDA;NAGK;MLYCD;GCDH;DBT;SLC16A1;PLIN5;GOT2;GPT;CPT1B
GOBP_ORGANIC_ACID_CATABOLIC_PROCESS,Training_Old,-1.975,7.409e-4,86,GO:BP,TRUE,Organic Acid Catabolic Process,Reversed,2.732933732738952,ALDH6A1;GPT2;MPST;KYAT1;RIDA;ACADS;CPT1B;ECHDC2;PLIN5;GPT;QDPR;GLUL;TST;ALDH1L1;ACAA2;GSTZ1;HADHB;SORD;CPT2;HADH;ACAT1;CPT1A;GOT1;SHMT1;ADIPOQ;GNPDA1;ECI1;DCXR;AASDHPPT;ACADVL;MCCC1;ETFA;HADHA;BCKDHA;GCSH;BLMH;ACAA1;KYAT3;ILVBL;ACADSB;ALDH5A1
REACTOME_METABOLISM_OF_VITAMINS_AND_COFACTORS,Aging,1.889,0.003988,48,Reactome,TRUE,Metabolism Of Vitamins And Cofactors,Reversed,1.889239426325556,NAXD;COQ7;COQ5;PNPO;MCCC1;PCCB;PCCA;GSTO1;COQ8A;CYB5R3;CYB5A;NADK2;NAXE;COQ3;COQ9;TTR;SPR;MMUT;PANK4;GPHN;ACO1;APOE;SHMT1
REACTOME_METABOLISM_OF_VITAMINS_AND_COFACTORS,Training_Old,-1.874,0.01458,49,Reactome,TRUE,Metabolism Of Vitamins And Cofactors,Reversed,1.889239426325556,SLC25A42;MMAB;GSTO1;GPC1;COQ7;BCO2;COQ9;GPHN;ALDH1L1;NAXD;IDH1;SHMT1;PNPO;PANK4;ACO1;RBP4;NAXE;AASDHPPT;CYB5A;MCCC1;PDXK;COQ8A;SPR;NADK2;MTHFD1;COQ3
HALLMARK_ADIPOGENESIS,Aging,1.861,0.001553,108,Hallmark,TRUE,Adipogenesis,Reversed,1.861170440811636,ECHS1;ACADM;CRAT;PLIN2;COQ5;ETFB;HADH;MCCC1;CPT2;TST;ACO2;ECH1;ACAA2;FAH;FABP4;ALDH2;TALDO1;ADIPOQ;ACADS;SLC27A1;DBT;GRPEL1;CS;GPX3;YWHAG;COQ3;SDHB;MDH2;COQ9;SUCLG1;ATP5PO;SULT1A1;HIBCH;PREB;STOM;AK2;DECR1;MTCH2;COX8A;PPM1B;UQCRC1;ITGA7;CAVIN1;CYC1;SAMM50;IDH3G;GPHN;CD36;APOE;TKT;BCL2L13
HALLMARK_ADIPOGENESIS,Training_Old,-1.717,0.0196,108,Hallmark,TRUE,Adipogenesis,Reversed,1.861170440811636,MYLK;SSPN;SLC27A1;GPX3;ATL2;TALDO1;CAVIN2;ACADS;PLIN2;ME1;ITGA7;SOD1;CMBL;UBQLN1;COQ9;QDPR;GPHN;TST;ACAA2;SORBS1;CPT2;HADH;GPD2;FABP4;MGST3;IDH1;ADIPOQ;NMT1
GOBP_SULFUR_COMPOUND_METABOLIC_PROCESS,Aging,1.766,0.01171,79,GO:BP,TRUE,Sulfur Compound Metabolic Process,Reversed,1.7658151974555087,SOD2;ACAT1;SUOX;MPST;MCCC1;TST;OPLAH;MAT2B;GSTO1;CBR4;ACOT9;MCEE;ACSF2;BPNT1;MLYCD;ACSS2;GCDH;HAGH;ACSL1;SUCLA2;STAT5B;SUCLG1;GSTP1;ACOT2;MMUT;SULT1A1;PANK4
GOBP_SULFUR_COMPOUND_METABOLIC_PROCESS,Training_Old,-1.881,0.003024,79,GO:BP,TRUE,Sulfur Compound Metabolic Process,Reversed,1.7658151974555087,MPST;GSTO1;GSTP1;GPC1;HAGH;STAT5B;GPX1;GLO1;ACSS2;SOD1;SUOX;MAT2A;TST;ACSF2;GSTZ1;ENOPH1;ACAT1;IDH1;PDHX;PANK4;AHCY;MCCC1;OPLAH;GSS;ABHD14B;SULT1A1;BLMH;MTHFD1;ARL6IP5;MCEE;ETHE1;OXSM;ACSL1;DLD;SUCLG2;MPC2;GCDH;COASY;ACOT2;ACSS1;MAT2B;DLAT;PDK1;SOD2
GOBP_MODIFIED_AMINO_ACID_METABOLIC_PROCESS,Aging,1.667,0.04134,52,GO:BP,TRUE,Modified Amino Acid Metabolic Process,Reversed,1.667147740277268,SOD2;ACADM;CRAT;ALDH4A1;CKB;CTSB;CPT2;OPLAH;GSTO1;GAMT;HAGH;CKMT2;CKM;GOT2;CPT1B;ABHD16A;ALDH9A1;GSTP1;SULT1A1;PANK4;ALDH7A1;ASS1;ARL6IP5;GSS;SHMT1;GSTK1
GOBP_MODIFIED_AMINO_ACID_METABOLIC_PROCESS,Training_Old,-1.894,0.01094,52,GO:BP,TRUE,Modified Amino Acid Metabolic Process,Reversed,1.667147740277268,ASS1;SLC25A42;ABHD16A;GSTO1;GSTP1;HAGH;GPX1;CPT1B;GLO1;SOD1;ALDH9A1;ALDH1L1;GSTZ1;CPT2;PARK7;IDH1;CPT1A;SHMT1;PANK4;CKM;CKB;PCYOX1;AASDHPPT;GAMT;OPLAH;GSS;SULT1A1
