pathway,NES_Aging,NES_Training_Old,sig_Aging,sig_Training_Old,pattern
GOBP_ORGANIC_ACID_CATABOLIC_PROCESS,2.732933732738952,-1.9753992056331802,TRUE,TRUE,Reversed
REACTOME_METABOLISM_OF_VITAMINS_AND_COFACTORS,1.889239426325556,-1.8740699866025268,TRUE,TRUE,Reversed
HALLMARK_ADIPOGENESIS,1.861170440811636,-1.7169510942755917,TRUE,TRUE,Reversed
GOBP_SULFUR_COMPOUND_METABOLIC_PROCESS,1.7658151974555087,-1.8805395435247325,TRUE,TRUE,Reversed
GOBP_MODIFIED_AMINO_ACID_METABOLIC_PROCESS,1.667147740277268,-1.8941909333796305,TRUE,TRUE,Reversed
GOBP_MEMBRANELESS_ORGANELLE_ASSEMBLY,-2.45961119471847,2.0571647319221626,TRUE,TRUE,Reversed
REACTOME_TRANSLATION,-2.6668651825275314,2.403116683337578,TRUE,TRUE,Reversed
REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION,-2.989152022603834,2.8212181900109856,TRUE,TRUE,Reversed
GOBP_FATTY_ACID_CATABOLIC_PROCESS,2.6555863587377746,-1.7002548159124005,TRUE,FALSE,Aging only
REACTOME_FATTY_ACID_METABOLISM,2.458371790292487,-1.3297844483206822,TRUE,FALSE,Aging only
REACTOME_MITOCHONDRIAL_FATTY_ACID_BETA_OXIDATION,2.4185391412911152,-1.4579963975585502,TRUE,FALSE,Aging only
GOBP_FATTY_ACID_METABOLIC_PROCESS,2.3984700869043225,-1.5147500380151273,TRUE,FALSE,Aging only
HALLMARK_FATTY_ACID_METABOLISM,2.18984466236608,-1.182025485531877,TRUE,FALSE,Aging only
REACTOME_CITRIC_ACID_CYCLE_TCA_CYCLE,2.1765406336766753,1.4165694264732134,TRUE,FALSE,Aging only
REACTOME_MITOCHONDRIAL_PROTEIN_DEGRADATION,2.0788794660335146,1.069235324955545,TRUE,FALSE,Aging only
HALLMARK_OXIDATIVE_PHOSPHORYLATION,2.0655020559749966,-0.60610840492985,TRUE,FALSE,Aging only
GOBP_MITOCHONDRIAL_TRANSPORT,1.9706068944222888,-0.6822198729795854,TRUE,FALSE,Aging only
GOBP_FATTY_ACID_TRANSPORT,1.9289791827457128,-1.5766571479878269,TRUE,FALSE,Aging only
GOBP_RESPONSE_TO_INSULIN,1.8806944134136874,-1.1486711668405534,TRUE,FALSE,Aging only
GOBP_REACTIVE_NITROGEN_SPECIES_METABOLIC_PROCESS,1.8669686604752311,-1.1884718784297663,TRUE,FALSE,Aging only
GOBP_REGULATION_OF_RESPONSE_TO_CYTOKINE_STIMULUS,1.846751116495817,-1.4239049820419853,TRUE,FALSE,Aging only
REACTOME_PROTEIN_LOCALIZATION,1.8444519141008966,0.824390922262634,TRUE,FALSE,Aging only
GOBP_KETONE_METABOLIC_PROCESS,1.8106222722381715,-1.7615334380358876,TRUE,FALSE,Aging only
GOBP_REGULATION_OF_LIPID_LOCALIZATION,1.8048967932560636,-1.1592699157779787,TRUE,FALSE,Aging only
GOBP_NADP_METABOLIC_PROCESS,1.7960691792741867,-1.8519563544447295,TRUE,FALSE,Aging only
GOBP_REGULATION_OF_HEMOPOIESIS,1.7673252426807033,-1.3308165869832875,TRUE,FALSE,Aging only
HALLMARK_HEME_METABOLISM,1.7229286219248,-1.1324689312212743,TRUE,FALSE,Aging only
REACTOME_COMPLEX_I_BIOGENESIS,-1.6267533631910511,0.9126772161768951,TRUE,FALSE,Aging only
REACTOME_NEUROTRANSMITTER_RECEPTORS_AND_POSTSYNAPTIC_SIGNAL_TRANSMISSION,-1.7148995077648272,1.8200758894369187,TRUE,FALSE,Aging only
HALLMARK_MYOGENESIS,-1.797310034050985,-1.1964590927835508,TRUE,FALSE,Aging only
GOBP_ENDOPLASMIC_RETICULUM_ORGANIZATION,-1.8913305531939737,-1.1393344084223755,TRUE,FALSE,Aging only
GOBP_MUSCLE_SYSTEM_PROCESS,-2.086177578867384,0.9200375084239458,TRUE,FALSE,Aging only
GOBP_MUSCLE_ORGAN_DEVELOPMENT,-2.2071682203392506,-1.1332709297399566,TRUE,FALSE,Aging only
