module,Zsummary,Zdensity,Zconnectivity,module_size,preservation,bio_label
magenta,9.078607265445136,13.416141772849912,4.741072758040361,65,Moderate,M9: Translation Initiation
pink,11.423400525573381,15.898612608690971,6.948188442455793,79,Strong,M8: Mitochondrial Biogenesis
black,13.729854415465852,19.767379363732886,7.692329467198818,88,Strong,M7: Ubiquitin-Proteasome System
brown,17.186162795041135,26.18967677021491,8.182648819867362,257,Strong,M3: Glycolysis/Proteostasis
blue,23.715980322774243,35.33924703682878,12.092713608719702,270,Strong,M2: Cell Cycle/Proteostasis
turquoise,24.078086680891712,29.159616584851367,18.996556776932056,348,Strong,M1: Lipid Catabolism
red,25.39608089229715,41.41825769296114,9.373904091633161,101,Strong,M6: Ribosome/Translation
yellow,27.65903232570991,39.71347439748146,15.604590253938355,195,Strong,M4: Muscle Contraction
green,36.86854560021179,63.11511127150254,10.621979928921034,167,Strong,M5: Oxidative Phosphorylation
