module,bio_label,n_proteins,NES_Training_Young,NES_Training_Old,NES_Aging,padj_Training_Young,padj_Training_Old,padj_Aging
black,Translation Machinery,99,1.017,2.31,-2.572,0.4605,1.797e-8,4.75e-12
blue,Cell Cycle/Proteostasis,261,4.055,3.078,-2.186,6.632999999999999e-99,1.952e-35,6e-12
brown,Redox/Glycolysis,197,-2.703,0.65,-3.387,2.79e-19,0.9993,7.157999999999999e-41
green,Oxidative Phosphorylation,164,-3.284,0.725,0.984,1.5379999999999999e-33,0.9993,0.619
magenta,Translation Initiation,78,1.314,-1.065,-2.951,0.1003,0.465,4.002e-17
pink,Mitochondrial Biogenesis,84,1.828,1.17,-0.71,5.8e-4,0.3009,0.9699
purple,Purple,67,0.82,2.737,-2.442,0.8106,2.908e-13,3.412e-9
red,Immunity/Heme,146,1.322,0.62,0.744,0.06367,0.9993,0.9699
turquoise,Lipid Catabolism,345,-1.025,-1.781,4.234,0.4545,6.711e-8,2.348e-121
yellow,Muscle Contraction,165,-2.142,-2.769,-1.158,1.273e-8,1.341e-18,0.2138
