uniprot_id,module,gene,kME,GS,functional_group,GS_pheno
P42765,turquoise,ACAA2,0.793627246219959,0.44483804162599117,Oxidative Phosphorylation,"Age (Young=0, Old=1)"
P49748,turquoise,ACADVL,0.7820202199041599,0.4277824044009959,Oxidative Phosphorylation,"Age (Young=0, Old=1)"
Q99798,turquoise,ACO2,0.8652438080055105,0.4954213622683352,Oxidative Phosphorylation,"Age (Young=0, Old=1)"
Q9Y4W6,turquoise,AFG3L2,0.7437652900120455,0.28354236702428304,Oxidative Phosphorylation,"Age (Young=0, Old=1)"
P51649,turquoise,ALDH5A1,0.9031963620750139,0.6482893284343336,Organic Acid Catabolic Process,"Age (Young=0, Old=1)"
Q8NI60,turquoise,COQ8A,0.8019429975606175,0.4990212799225369,Other,"Age (Young=0, Old=1)"
P43155,turquoise,CRAT,0.8995890034463742,0.670108035670799,Organic Acid Catabolic Process,"Age (Young=0, Old=1)"
O75390,turquoise,CS,0.7758408500461174,0.39049354680769127,Oxidative Phosphorylation,"Age (Young=0, Old=1)"
P13804,turquoise,ETFA,0.8983977787553817,0.5340577814862,Oxidative Phosphorylation,"Age (Young=0, Old=1)"
P38117,turquoise,ETFB,0.9261435938634871,0.5741409731029954,Oxidative Phosphorylation,"Age (Young=0, Old=1)"
P07954,turquoise,FH,0.8288506620098863,0.5132981693149671,Oxidative Phosphorylation,"Age (Young=0, Old=1)"
Q16595,turquoise,FXN,0.8073699931347389,0.63263337646995,Oxidative Phosphorylation,"Age (Young=0, Old=1)"
P00505,turquoise,GOT2,0.8386975401211495,0.43775072736025333,Oxidative Phosphorylation,"Age (Young=0, Old=1)"
P35914,turquoise,HMGCL,0.8415528918422088,0.688554607596315,Organic Acid Catabolic Process,"Age (Young=0, Old=1)"
Q9NSE4,turquoise,IARS2,0.7762837587804966,0.37128273530129424,Other,"Age (Young=0, Old=1)"
P48735,turquoise,IDH2,0.9108552677528297,0.6421544599111205,Oxidative Phosphorylation,"Age (Young=0, Old=1)"
P05166,turquoise,PCCB,0.7759853203513792,0.44846713918950487,Organic Acid Catabolic Process,"Age (Young=0, Old=1)"
Q9P0J1,turquoise,PDP1,0.7866861933404521,0.5943697317380361,Oxidative Phosphorylation,"Age (Young=0, Old=1)"
P30405,turquoise,PPIF,0.8129610501549095,0.4445810345512403,Other,"Age (Young=0, Old=1)"
Q9P2R7,turquoise,SUCLA2,0.7748524737439378,0.3448719019519616,Oxidative Phosphorylation,"Age (Young=0, Old=1)"
P53597,turquoise,SUCLG1,0.7448008088703117,0.28994629711794795,Oxidative Phosphorylation,"Age (Young=0, Old=1)"
Q16762,turquoise,TST,0.8659326746830079,0.4630822875504041,Organic Acid Catabolic Process,"Age (Young=0, Old=1)"
O00499,blue,BIN1,0.7251738221452072,-0.3215458433477351,Other,"Age (Young=0, Old=1)"
P48643,blue,CCT5,0.8012707390562379,-0.219344155752802,Formation Of Tubulin Folding Int...,"Age (Young=0, Old=1)"
Q99832,blue,CCT7,0.761952726194284,-0.3712527226441028,Formation Of Tubulin Folding Int...,"Age (Young=0, Old=1)"
P50990,blue,CCT8,0.745006906202272,-0.09397756059619071,Formation Of Tubulin Folding Int...,"Age (Young=0, Old=1)"
Q14204,blue,DYNC1H1,0.8385469783970146,-0.5399555439781478,Other,"Age (Young=0, Old=1)"
O75923,blue,DYSF,0.8032864427385127,-0.4796662645554235,Other,"Age (Young=0, Old=1)"
Q14232,blue,EIF2B1,0.7290487787752182,-0.6278925055728037,Other,"Age (Young=0, Old=1)"
P21333,blue,FLNA,0.7291231296612698,-0.5427216779316199,Antimicrobial Mechanism Of Ifn S...,"Age (Young=0, Old=1)"
O75369,blue,FLNB,0.7239549908769267,-0.6169791335389575,Antimicrobial Mechanism Of Ifn S...,"Age (Young=0, Old=1)"
Q14315,blue,FLNC,0.7375751184454041,-0.6173424435484652,Other,"Age (Young=0, Old=1)"
P11142,blue,HSPA8,0.8048634467668079,-0.4671455705028893,Antimicrobial Mechanism Of Ifn S...,"Age (Young=0, Old=1)"
Q16082,blue,HSPB2,0.7471178165705393,-0.33781204147022725,Other,"Age (Young=0, Old=1)"
Q14974,blue,KPNB1,0.7973734532717599,-0.669987392066768,Antimicrobial Mechanism Of Ifn S...,"Age (Young=0, Old=1)"
P10636,blue,MAPT,0.7924226949857792,-0.5752176820478203,Antimicrobial Mechanism Of Ifn S...,"Age (Young=0, Old=1)"
P26038,blue,MSN,0.8918142086707215,-0.5187930022515563,Other,"Age (Young=0, Old=1)"
E9PAV3,blue,NACA,0.7557093730649828,-0.6239200551313646,Other,"Age (Young=0, Old=1)"
P35998,blue,PSMC2,0.7437161573425911,-0.6370075687614022,Other,"Age (Young=0, Old=1)"
Q00765,blue,REEP5,0.8782908860061646,-0.4648645057580541,Other,"Age (Young=0, Old=1)"
Q99584,blue,S100A13,0.7676446786118978,-0.27386510277335274,Other,"Age (Young=0, Old=1)"
P06703,blue,S100A6,0.7472775872016718,-0.3548987092256337,Other,"Age (Young=0, Old=1)"
P68363,blue,TUBA1B,0.7894470939395061,-0.19804274115357245,Antimicrobial Mechanism Of Ifn S...,"Age (Young=0, Old=1)"
P07437,blue,TUBB,0.7852316780389089,-0.2151837892795908,Other,"Age (Young=0, Old=1)"
P55072,blue,VCP,0.7579897905823607,-0.5333700142875843,Other,"Age (Young=0, Old=1)"
O14983,brown,ATP2A1,0.8083619801951387,-0.21753637421440994,Other,"Age (Young=0, Old=1)"
Q93084,brown,ATP2A3,0.7667165890570082,-0.36605771490244204,Other,"Age (Young=0, Old=1)"
P63241,brown,EIF5A,0.7671514663023615,0.07094297984030583,Other,"Age (Young=0, Old=1)"
P10768,brown,ESD,0.7604090463902778,-0.2123657984572616,Other,"Age (Young=0, Old=1)"
P21695,brown,GPD1,0.7300417753405589,-0.22521151884482582,Other,"Age (Young=0, Old=1)"
P49773,brown,HINT1,0.7502370558176434,-0.1884433100987362,Other,"Age (Young=0, Old=1)"
P55786,brown,NPEPPS,0.7524809924889742,-0.028671653236385135,Other,"Age (Young=0, Old=1)"
P22061,brown,PCMT1,0.7170516252888912,0.17586413749644994,Other,"Age (Young=0, Old=1)"
Q9UHG3,brown,PCYOX1,0.8330652411642441,-0.16370065321391983,Other,"Age (Young=0, Old=1)"
Q5VU43,brown,PDE4DIP,0.6843311400233851,-0.1522744065129051,Other,"Age (Young=0, Old=1)"
P48147,brown,PREP,0.723988449444231,-0.21206086955874326,Other,"Age (Young=0, Old=1)"
P10644,brown,PRKAR1A,0.6977812384684601,0.09826907592609732,Other,"Age (Young=0, Old=1)"
P25789,brown,PSMA4,0.7089226143851947,-0.1432101176191846,Other,"Age (Young=0, Old=1)"
P60900,brown,PSMA6,0.6664318148209396,-0.3877856094053436,Other,"Age (Young=0, Old=1)"
P28074,brown,PSMB5,0.6747856022268914,-0.06034289448957596,Other,"Age (Young=0, Old=1)"
P28072,brown,PSMB6,0.6698456029551918,-0.12770654396486758,Other,"Age (Young=0, Old=1)"
P61019,brown,RAB2A,0.6717301678321604,-0.05786483038094426,Other,"Age (Young=0, Old=1)"
O75298,brown,RTN2,0.7333524374687965,-0.2895766792375397,Other,"Age (Young=0, Old=1)"
P60174,brown,TPI1,0.7447287095487114,-0.21246461183978482,Other,"Age (Young=0, Old=1)"
O60763,brown,USO1,0.7180948682271243,0.1720879093068807,Other,"Age (Young=0, Old=1)"
P68133,yellow,ACTA1,0.8485096209178443,-0.14324740284262288,Striated Muscle Contraction,"Age (Young=0, Old=1)"
P60709,yellow,ACTB,0.8842367405232258,-0.191933980439568,Other,"Age (Young=0, Old=1)"
P12814,yellow,ACTN1,0.9083867231459438,-0.4077268751243215,Muscle Cell Development,"Age (Young=0, Old=1)"
P35609,yellow,ACTN2,0.911023172950831,-0.3844015578431111,Striated Muscle Contraction,"Age (Young=0, Old=1)"
O43707,yellow,ACTN4,0.9223706329170419,-0.413928228963313,Muscle Cell Development,"Age (Young=0, Old=1)"
Q5TDH0,yellow,DDI2,0.8790211012741221,-0.47742671711710966,Other,"Age (Young=0, Old=1)"
Q9NP98,yellow,MYOZ1,0.9005746510591068,-0.4254923308199704,Muscle Cell Development,"Age (Young=0, Old=1)"
P10828,yellow,THRB,0.8965263994646457,-0.4528732545037799,Other,"Age (Young=0, Old=1)"
Q9NZQ9,yellow,TMOD4,0.9096312663420039,-0.37070383301559573,Striated Muscle Contraction,"Age (Young=0, Old=1)"
