pathway,pval,padj,foldEnrichment,overlap,size,overlapGenes,database,odds_ratio,module,Description
GOBP_ORGANIC_ACID_CATABOLIC_PROCESS,2.0812570865674626e-23,2.0979071432600023e-20,3.7948994252873565,55,88,,GO:BP,9.852104664391353,turquoise,Organic Acid Catabolic Process
GOBP_FATTY_ACID_CATABOLIC_PROCESS,7.519644827207294e-17,2.5266006619416507e-14,4.7590090090090085,29,37,,GO:BP,19.96590909090909,turquoise,Fatty Acid Catabolic Process
GOBP_FATTY_ACID_METABOLIC_PROCESS,4.805870668020143e-16,9.688635266728608e-14,2.979698808003406,53,108,,GO:BP,5.585824345146379,turquoise,Fatty Acid Metabolic Process
REACTOME_CITRIC_ACID_CYCLE_TCA_CYCLE,1.4045942478347281e-13,4.614194582051506e-11,5.100344827586207,21,25,,Reactome,28.272935779816514,turquoise,Citric Acid Cycle Tca Cycle
REACTOME_FATTY_ACID_METABOLISM,2.771288037268172e-13,4.614194582051506e-11,3.666016048579484,32,53,,Reactome,8.409885473176612,turquoise,Fatty Acid Metabolism
REACTOME_MITOCHONDRIAL_FATTY_ACID_BETA_OXIDATION,8.161793326539372e-13,9.059590592458703e-11,5.243861024033438,19,22,,Reactome,33.918946301925025,turquoise,Mitochondrial Fatty Acid Beta Oxidation
GOBP_LIPID_MODIFICATION,2.625659927471749e-12,3.3083315086144037e-10,3.903325123152709,27,42,,GO:BP,9.813084112149532,turquoise,Lipid Modification
GOBP_AMINO_ACID_CATABOLIC_PROCESS,2.436670532228069e-11,2.7290709960954373e-9,3.7587575259989054,26,42,,GO:BP,8.826475155279503,turquoise,Amino Acid Catabolic Process
GOBP_LIPID_CATABOLIC_PROCESS,2.7089904648165906e-11,2.7306623885351234e-9,3.180487137383689,33,63,,GO:BP,6.0587301587301585,turquoise,Lipid Catabolic Process
HALLMARK_FATTY_ACID_METABOLISM,2.2954796279179276e-10,8.263726660504539e-9,2.746784345922277,38,84,,Hallmark,4.58078541374474,turquoise,Fatty Acid Metabolism
GOBP_ALPHA_AMINO_ACID_METABOLIC_PROCESS,1.0221160491930484e-10,9.366299796241753e-9,3.190288330411066,31,59,,GO:BP,6.066584046867958,turquoise,Alpha Amino Acid Metabolic Process
GOSLIM_AMINO_ACID_METABOLIC_PROCESS,1.5858874084301692e-9,3.8061297802324065e-8,2.529932950191571,40,96,,GO Slim,3.9633580705009277,turquoise,Amino Acid Metabolic Process
GOBP_BRANCHED_CHAIN_AMINO_ACID_METABOLIC_PROCESS,2.802532357316496e-9,2.017823297267877e-7,4.793557168784029,15,19,,GO:BP,19.83108108108108,turquoise,Branched Chain Amino Acid Metabolic Process
