quadrant,pathway,n_flow
Concordant Up,Amino Acid & Cofactor Metabolism,3
Concordant Up,Carbohydrate & Energy Metabolism,1
Concordant Up,Circulatory System,2
Concordant Up,Cytoskeleton & Motility,5
Concordant Up,DNA & Cell Cycle,5
Concordant Up,Development,1
Concordant Up,ECM & Adhesion,1
Concordant Up,Immune & Inflammation,1
Concordant Up,Lipid Metabolism,2
Concordant Up,Mitochondria & Energy,1
Concordant Up,Muscle & Contractile,1
Concordant Up,Protein Homeostasis,7
Concordant Up,Translation & Ribosome,5
Concordant Up,Transport,4
Concordant Down,Amino Acid & Cofactor Metabolism,4
Concordant Down,Carbohydrate & Energy Metabolism,4
Concordant Down,Circulatory System,1
Concordant Down,Cytoskeleton & Motility,2
Concordant Down,DNA & Cell Cycle,2
Concordant Down,Development,1
Concordant Down,ECM & Adhesion,3
Concordant Down,Immune & Inflammation,3
Concordant Down,Lipid Metabolism,2
Concordant Down,Mitochondria & Energy,2
Concordant Down,Muscle & Contractile,1
Concordant Down,Transcription & Chromatin,2
Concordant Down,Transport,5
Discordant,Amino Acid & Cofactor Metabolism,1
Discordant,Carbohydrate & Energy Metabolism,2
Discordant,Circulatory System,2
Discordant,Cytoskeleton & Motility,1
Discordant,DNA & Cell Cycle,3
Discordant,Development,1
Discordant,ECM & Adhesion,5
Discordant,Immune & Inflammation,3
Discordant,Lipid Metabolism,1
Discordant,Mitochondria & Energy,2
Discordant,Protein Homeostasis,4
Discordant,Transcription & Chromatin,6
Discordant,Translation & Ribosome,2
Discordant,Transport,4
