pathway,quadrant,n_seg,xmin,xmax
Amino Acid & Cofactor Metabolism,Concordant Down,4,3.3,4.5
Amino Acid & Cofactor Metabolism,Concordant Up,3,4.5,5.4
Amino Acid & Cofactor Metabolism,Discordant,1,5.4,5.699999999999999
Carbohydrate & Energy Metabolism,Concordant Down,4,3.3,4.5
Carbohydrate & Energy Metabolism,Discordant,2,4.5,5.1
Carbohydrate & Energy Metabolism,Concordant Up,1,5.1,5.4
Circulatory System,Concordant Up,2,3.3,3.9
Circulatory System,Discordant,2,3.9,4.5
Circulatory System,Concordant Down,1,4.5,4.8
Cytoskeleton & Motility,Concordant Up,5,3.3,4.8
Cytoskeleton & Motility,Concordant Down,2,4.8,5.4
Cytoskeleton & Motility,Discordant,1,5.4,5.699999999999999
DNA & Cell Cycle,Concordant Up,5,3.3,4.8
DNA & Cell Cycle,Discordant,3,4.8,5.699999999999999
DNA & Cell Cycle,Concordant Down,2,5.699999999999999,6.3
Development,Concordant Up,1,3.3,3.5999999999999996
Development,Concordant Down,1,3.5999999999999996,3.9
Development,Discordant,1,3.9,4.199999999999999
ECM & Adhesion,Discordant,5,3.3,4.8
ECM & Adhesion,Concordant Down,3,4.8,5.699999999999999
ECM & Adhesion,Concordant Up,1,5.699999999999999,6
Immune & Inflammation,Concordant Down,3,3.3,4.199999999999999
Immune & Inflammation,Discordant,3,4.199999999999999,5.1
Immune & Inflammation,Concordant Up,1,5.1,5.4
Lipid Metabolism,Concordant Up,2,3.3,3.9
Lipid Metabolism,Concordant Down,2,3.9,4.5
Lipid Metabolism,Discordant,1,4.5,4.8
Mitochondria & Energy,Concordant Down,2,3.3,3.9
Mitochondria & Energy,Discordant,2,3.9,4.5
Mitochondria & Energy,Concordant Up,1,4.5,4.8
Muscle & Contractile,Concordant Up,1,3.3,3.5999999999999996
Muscle & Contractile,Concordant Down,1,3.5999999999999996,3.9
Protein Homeostasis,Concordant Up,7,3.3,5.4
Protein Homeostasis,Discordant,4,5.4,6.6
Transcription & Chromatin,Discordant,6,3.3,5.1
Transcription & Chromatin,Concordant Down,2,5.1,5.699999999999999
Translation & Ribosome,Concordant Up,5,3.3,4.8
Translation & Ribosome,Discordant,2,4.8,5.4
Transport,Concordant Down,5,3.3,4.8
Transport,Concordant Up,4,4.8,6
Transport,Discordant,4,6,7.199999999999999
