pathway,quadrant,n_slice,total,frac
Amino Acid & Cofactor Metabolism,Concordant Up,3,8,0.375
Amino Acid & Cofactor Metabolism,Concordant Down,4,8,0.5
Amino Acid & Cofactor Metabolism,Discordant,1,8,0.125
Carbohydrate & Energy Metabolism,Concordant Up,1,7,0.14285714285714285
Carbohydrate & Energy Metabolism,Concordant Down,4,7,0.5714285714285714
Carbohydrate & Energy Metabolism,Discordant,2,7,0.2857142857142857
Circulatory System,Concordant Up,2,5,0.4
Circulatory System,Concordant Down,1,5,0.2
Circulatory System,Discordant,2,5,0.4
Cytoskeleton & Motility,Concordant Up,5,8,0.625
Cytoskeleton & Motility,Concordant Down,2,8,0.25
Cytoskeleton & Motility,Discordant,1,8,0.125
DNA & Cell Cycle,Concordant Up,5,10,0.5
DNA & Cell Cycle,Concordant Down,2,10,0.2
DNA & Cell Cycle,Discordant,3,10,0.3
Development,Concordant Up,1,3,0.3333333333333333
Development,Concordant Down,1,3,0.3333333333333333
Development,Discordant,1,3,0.3333333333333333
ECM & Adhesion,Concordant Up,1,9,0.1111111111111111
ECM & Adhesion,Concordant Down,3,9,0.3333333333333333
ECM & Adhesion,Discordant,5,9,0.5555555555555556
Immune & Inflammation,Concordant Up,1,7,0.14285714285714285
Immune & Inflammation,Concordant Down,3,7,0.42857142857142855
Immune & Inflammation,Discordant,3,7,0.42857142857142855
Lipid Metabolism,Concordant Up,2,5,0.4
Lipid Metabolism,Concordant Down,2,5,0.4
Lipid Metabolism,Discordant,1,5,0.2
Mitochondria & Energy,Concordant Up,1,5,0.2
Mitochondria & Energy,Concordant Down,2,5,0.4
Mitochondria & Energy,Discordant,2,5,0.4
Muscle & Contractile,Concordant Up,1,2,0.5
Muscle & Contractile,Concordant Down,1,2,0.5
Protein Homeostasis,Concordant Up,7,11,0.6363636363636364
Protein Homeostasis,Discordant,4,11,0.36363636363636365
Transcription & Chromatin,Concordant Down,2,8,0.25
Transcription & Chromatin,Discordant,6,8,0.75
Translation & Ribosome,Concordant Up,5,7,0.7142857142857143
Translation & Ribosome,Discordant,2,7,0.2857142857142857
Transport,Concordant Up,4,13,0.3076923076923077
Transport,Concordant Down,5,13,0.38461538461538464
Transport,Discordant,4,13,0.3076923076923077
