term,Df,SumOfSqs,R2,F,Pr(>F)
parent_study,1,774.4897343404962,0.0656583431507848,2.099227816677021,0.007
supplement,2,1428.3557793975285,0.12109066104659136,1.9357546338402751,0.002
Timepoint,1,369.40213258942094,0.03131653126795964,1.0012517892594857,0.409
Residual,25,9223.507427203363,0.7819344645346649,NA,NA
Total,29,11795.755073530801,1,NA,NA
