contrast,median_absLFC,ci_lower,ci_upper,boot_se,n_proteins
Training_Young,0.13455254435276132,0.1283854936203327,0.14004631554941602,0.0030073943304314856,2102
Training_Old,0.09249088057557309,0.08742905799527634,0.0984755375848465,0.002823055736704388,2112
Aging,0.18261344994576945,0.17380044952273366,0.19263131607230477,0.005318518444439449,2103
Interaction,0.12792595589423073,0.1209702426974566,0.13514432084294725,0.0036188004883115897,2101
