test,statistic,p_value,interpretation
Kolmogorov-Smirnov,0.16944312232270295,1.2694808679672711e-26,Distributions differ significantly (shape/location)
Fligner-Killeen,172.99138724554015,1.6438044848058338e-39,Variance differs (consistent with blunted response)
Wilcoxon signed-rank,1516768,8.12223986096845e-50,Paired |logFC| shift significant (attenuated with age)
Cliff's delta,0.24892908138981437,NA,Small effect (delta = 0.249; >0 = young responds more)
