contrast,n_subjects,within_cor,effective_sigma,min_detectable_d,min_detectable_logFC,power,alpha
Training_Young,16,0.27774727682934436,0.5734,0.6517,0.3737,0.8,0.1
Training_Old,15,0.27774727682934436,0.5734,0.6754,0.3873,0.8,0.1
Aging,15,NA,0.6747,0.9307,0.628,0.8,0.1
Interaction,15,NA,0.6747,0.9307,0.628,0.8,0.1
