pathway,pval,padj,foldEnrichment,overlap,size,overlapGenes,database,odds_ratio,dedup_status,merged_into,overlap_jaccard,set,n_genes
GOBP_INTERMEDIATE_FILAMENT_BASED_PROCESS,1.2281503508057293e-5,0.017304638442852727,5.894440534834623,8,14,,GO:BP,12.88888888888889,kept,NA,NA,"discordant, both |logFC| >= 0.1",203
GOBP_CELLULAR_COMPONENT_ASSEMBLY_INVOLVED_IN_MORPHOGENESIS,3.2577602739211137e-4,0.1694770482692855,2.8531600461167597,13,47,,GO:BP,3.736996904024768,NA,NA,NA,"discordant, both |logFC| >= 0.1",203
GOBP_ACTIN_FILAMENT_ORGANIZATION,4.348140034508864e-4,0.1694770482692855,2.144759303516558,21,101,,GO:BP,2.612019230769231,NA,NA,NA,"discordant, both |logFC| >= 0.1",203
GOBP_ACTIN_POLYMERIZATION_OR_DEPOLYMERIZATION,4.8112717748555146e-4,0.1694770482692855,3.066702170150446,11,37,,GO:BP,4.10957532051282,NA,NA,NA,"discordant, both |logFC| >= 0.1",203
GOBP_MYOFIBRIL_ASSEMBLY,6.400001016110736e-4,0.18035202863400054,2.813255709807434,12,44,,GO:BP,3.649869109947644,NA,NA,NA,"discordant, both |logFC| >= 0.1",203
GOBP_INTERMEDIATE_FILAMENT_ORGANIZATION,0.0013697198568201352,0.3216558797099284,5.157635467980295,5,10,,GO:BP,9.525252525252526,NA,NA,NA,"discordant, both |logFC| >= 0.1",203
GOBP_MUSCLE_CELL_DEVELOPMENT,0.0016091711843039078,0.32390317124060086,2.2005911330049264,16,75,,GO:BP,2.6567570017221063,NA,NA,NA,"discordant, both |logFC| >= 0.1",203
GOBP_PROTEIN_DEPOLYMERIZATION,0.0019159472419376935,0.3374462079862763,2.994756078182107,9,31,,GO:BP,3.941190253045923,NA,NA,NA,"discordant, both |logFC| >= 0.1",203
GOBP_MUSCLE_CELL_DIFFERENTIATION,0.002286495372216579,0.3445968582727209,1.807054762504045,24,137,,GO:BP,2.1096554110841943,NA,NA,NA,"discordant, both |logFC| >= 0.1",203
GOBP_ACTIN_FILAMENT_POLYMERIZATION,0.002445683877024279,0.3445968582727209,2.9011699507389164,9,32,,GO:BP,3.767817122366652,NA,NA,NA,"discordant, both |logFC| >= 0.1",203
GOBP_REGULATION_OF_PROTEIN_DEPOLYMERIZATION,0.0029741694061401957,0.3809640630228669,3.056376573617953,8,27,,GO:BP,4.042105263157895,NA,NA,NA,"discordant, both |logFC| >= 0.1",203
GOBP_ELECTRON_TRANSPORT_CHAIN,0.0042300710367266185,0.4019383256702344,2.0127357923825544,16,82,,GO:BP,2.3659050397018313,NA,NA,NA,"discordant, both |logFC| >= 0.1",203
GOBP_ATP_SYNTHESIS_COUPLED_ELECTRON_TRANSPORT,0.00436391880708382,0.4019383256702344,2.0630541871921184,15,75,,GO:BP,2.434840425531915,NA,NA,NA,"discordant, both |logFC| >= 0.1",203
GOBP_ACTIN_FILAMENT_DEPOLYMERIZATION,0.004606932869435182,0.4019383256702344,3.1394302848575713,7,23,,GO:BP,4.185267857142857,NA,NA,NA,"discordant, both |logFC| >= 0.1",203
