pathway,pathway_label,database,NES_Aging,NES_Training_Old,padj_Aging,padj_Training_Old,independent_aging,independent_TO,significance,set_size
GOBP_FATTY_ACID_TRANSPORT,Fatty Acid Transport,GO:BP,1.929,-1.567,0.009316,0.2044,TRUE,FALSE,Sig Aging only,20
HALLMARK_FATTY_ACID_METABOLISM,Fatty Acid Metabolism,Hallmark,2.19,-1.176,1.73e-5,0.5173,TRUE,FALSE,Sig Aging only,84
GOBP_MUSCLE_ORGAN_DEVELOPMENT,Muscle Organ Development,GO:BP,-2.207,-1.13,6.274e-6,0.5694,TRUE,FALSE,Sig Aging only,91
REACTOME_MITOCHONDRIAL_PROTEIN_IMPORT,Mitochondrial Protein Import,Reactome,1.952,1.332,0.001835,0.3671,TRUE,FALSE,Sig Aging only,44
GOBP_REGULATION_OF_RESPONSE_TO_CYTOKINE_STIMULUS,Regulation Of Response To Cytokine Stimulus,GO:BP,1.847,-1.419,0.02668,0.3581,TRUE,FALSE,Sig Aging only,17
REACTOME_MITOCHONDRIAL_PROTEIN_DEGRADATION,Mitochondrial Protein Degradation,Reactome,2.079,1.069,1.107e-4,0.6829,TRUE,FALSE,Sig Aging only,76
GOBP_REGULATION_OF_HEMOPOIESIS,Regulation Of Hemopoiesis,GO:BP,1.767,-1.324,0.03124,0.4013,TRUE,FALSE,Sig Aging only,34
GOBP_REACTIVE_NITROGEN_SPECIES_METABOLIC_PROCESS,Reactive Nitrogen Species Metabolic Process,GO:BP,1.867,-1.184,0.01654,0.5842,TRUE,FALSE,Sig Aging only,22
GOBP_RESPONSE_TO_INSULIN,Response To Insulin,GO:BP,1.881,-1.149,0.00301,0.5779,TRUE,FALSE,Sig Aging only,59
GOBP_ENDOPLASMIC_RETICULUM_ORGANIZATION,Endoplasmic Reticulum Organization,GO:BP,-1.891,-1.133,0.005311,0.6219,TRUE,FALSE,Sig Aging only,35
GOBP_MUSCLE_CONTRACTION,Muscle Contraction,GO:BP,-2.06,0.922,2.968e-5,0.8572,TRUE,FALSE,Sig Aging only,118
GOBP_REGULATION_OF_LIPID_LOCALIZATION,Regulation Of Lipid Localization,GO:BP,1.805,-1.151,0.02668,0.6152,TRUE,FALSE,Sig Aging only,26
HALLMARK_HEME_METABOLISM,Heme Metabolism,Hallmark,1.723,-1.124,0.03031,0.621,TRUE,FALSE,Sig Aging only,46
HALLMARK_OXIDATIVE_PHOSPHORYLATION,OXPHOS,Hallmark,2.066,-0.605,1.842e-6,1,TRUE,FALSE,Sig Aging only,156
REACTOME_PROTEIN_LOCALIZATION,Protein Localization,Reactome,1.844,0.824,0.003663,0.9399,TRUE,FALSE,Sig Aging only,76
GOBP_MITOCHONDRIAL_TRANSPORT,Mitochondrial Transport,GO:BP,1.971,-0.685,4.173e-4,0.9973,TRUE,FALSE,Sig Aging only,64
REACTOME_COMPLEX_I_BIOGENESIS,Complex I Biogenesis,Reactome,-1.627,0.92,0.04631,0.8294,TRUE,FALSE,Sig Aging only,49
REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION,Eukaryotic Translation Elongation,Reactome,-2.989,2.815,4.378e-16,9.054e-13,TRUE,TRUE,Sig Both,78
REACTOME_TRANSLATION,Translation,Reactome,-2.667,2.407,4.705e-16,3.057e-11,TRUE,TRUE,Sig Both,177
GOBP_ORGANIC_ACID_CATABOLIC_PROCESS,Organic Acid Catabolic Process,GO:BP,2.733,-1.965,5.371e-12,0.00105,TRUE,TRUE,Sig Both,86
GOBP_MEMBRANELESS_ORGANELLE_ASSEMBLY,Membraneless Organelle Assembly,GO:BP,-2.46,2.055,1.093e-9,5.003e-5,TRUE,TRUE,Sig Both,114
REACTOME_METABOLISM_OF_VITAMINS_AND_COFACTORS,Metabolism Of Vitamins And Cofactors,Reactome,1.889,-1.865,0.003988,0.02153,TRUE,TRUE,Sig Both,48
GOBP_SULFUR_COMPOUND_METABOLIC_PROCESS,Sulfur Compound Metabolic Process,GO:BP,1.766,-1.878,0.01171,0.005968,TRUE,TRUE,Sig Both,79
GOBP_KETONE_METABOLIC_PROCESS,Ketone Metabolic Process,GO:BP,1.811,-1.755,0.007932,0.03401,TRUE,TRUE,Sig Both,51
HALLMARK_ADIPOGENESIS,Adipogenesis,Hallmark,1.861,-1.704,0.001553,0.01292,TRUE,TRUE,Sig Both,108
GOBP_MODIFIED_AMINO_ACID_METABOLIC_PROCESS,Modified Amino Acid Metabolic Process,GO:BP,1.667,-1.887,0.04134,0.01583,TRUE,TRUE,Sig Both,52
GOBP_CYTOPLASMIC_TRANSLATION,Cytoplasmic Translation,GO:BP,-2.884,2.613,9.36e-17,6.067e-12,FALSE,TRUE,Sig Training only,117
REACTOME_SARS_COV_2_MODULATES_HOST_TRANSLATION_MACHINERY,Sars Cov 2 Modulates Host Translation Machinery,Reactome,-2.464,2.692,1.754e-6,3.006e-9,FALSE,TRUE,Sig Training only,32
GOBP_LIPID_OXIDATION,Lipid Oxidation,GO:BP,2.636,-1.903,1.3e-8,0.01154,FALSE,TRUE,Sig Training only,37
GOBP_LIPID_CATABOLIC_PROCESS,Lipid Catabolic Process,GO:BP,2.515,-1.852,7.056e-8,0.01292,FALSE,TRUE,Sig Training only,59
GOBP_REGULATION_OF_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,Regulation Of Cellular Response To Insulin Stimulus,GO:BP,1.875,-1.904,0.01473,0.03323,FALSE,TRUE,Sig Training only,20
REACTOME_FORMATION_OF_THE_DYSTROPHIN_GLYCOPROTEIN_COMPLEX_DGC,Formation Of The Dystrophin Glycoprotein Complex Dgc,Reactome,-1.633,-2.026,0.1101,0.01292,FALSE,TRUE,Sig Training only,18
