"quintile_logFC","n","n_rev","frac","mid_x","ci_lo","ci_hi","type","or","or_lo","or_hi","p_value"
1,421,214,0.508313539192399,0.0332190540288195,0.459457436663388,0.557052020325506,"bin",NA,NA,NA,NA
2,421,240,0.570071258907363,0.10243855415024,0.521240099224107,0.617910737032566,"bin",NA,NA,NA,NA
3,421,258,0.612826603325416,0.182645541081275,0.564448468847412,0.659607148193174,"bin",NA,NA,NA,NA
4,420,289,0.688095238095238,0.293805070345995,0.641386478359838,0.732129855912014,"bin",NA,NA,NA,NA
5,420,305,0.726190476190476,0.549539619464074,0.680858561027469,0.768302495052688,"bin",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,"logistic_logFC",3.51483973542213,2.31838223914579,5.32875819918899,3.20969338724331e-09
NA,NA,NA,NA,NA,NA,NA,"logistic_t",1.41147666969727,1.29507421674211,1.53834148139514,4.22335869333039e-15
