"pathway","pval","padj","foldEnrichment","overlap","size","overlapGenes","database","odds_ratio","quadrant","pathway_label","ID","p.adjust","GeneRatio","geneID","direction"
"GOBP_SMALL_MOLECULE_CATABOLIC_PROCESS",5.96395945030539e-12,8.5224980544864e-09,1.98630460448642,72,126,NA,"GO:BP",3.61225766103815,"Reversed (Aging Up / Training Down)","Small Molecule Catabolic Process","GOBP_SMALL_MOLECULE_CATABOLIC_PROCESS",8.5224980544864e-09,"72/605","AASDHPPT/ACAA1/ACAA2/ACADS/ACADSB/ACADVL/ACAT1/ACSS1/ACSS2/ADH5/ADHFE1/ADIPOQ/AKR1A1/ALDH1L1/ALDH2/ALDH4A1/ALDH5A1/ALDH6A1/APOE/BCAT2/BCL2L13/CPT1B/CPT2/CRAT/DBT/DCXR/DLD/ECH1/ECHDC2/ECI1/ECI2/ETFA/ETFB/ETFDH/FAH/GALK1/GCDH/GCSH/GLUL/GNPDA1/GOT1/GPD2/GPT/GPT2/GSK3A/HADH/HADHA/HADHB/HAGH/HSD17B10/IVD/LDHD/MCCC1/MCCC2/MCEE/MLYCD/MPST/MTAP/NUDT3/OXCT1/PARK7/PCCA/PDXP/PGAM2/PGM1/PLIN5/RIDA/SHMT1/SULT1A1/TIGAR/TKFC/TST","Aging Up → Reversed Down"
"GOBP_LIPID_OXIDATION",2.46826373607018e-08,1.1757162929481e-05,2.53656466383739,27,37,NA,"GO:BP",6.95086505190311,"Reversed (Aging Up / Training Down)","Lipid Oxidation","GOBP_LIPID_OXIDATION",1.1757162929481e-05,"27/605","ACAA1/ACAA2/ACADS/ACADVL/ACAT1/ADH5/ADIPOQ/APOD/CPT1B/CPT2/CRAT/ECH1/ECHDC2/ECI1/ECI2/ETFA/ETFB/ETFDH/FABP3/GCDH/HADH/HADHA/HADHB/HSD17B10/IVD/MLYCD/PLIN5","Aging Up → Reversed Down"
"GOBP_LIPID_CATABOLIC_PROCESS",1.69497514959947e-07,4.0368658146294e-05,2.12096932343465,36,59,NA,"GO:BP",4.0574616031176,"Reversed (Aging Up / Training Down)","Lipid Catabolic Process","GOBP_LIPID_CATABOLIC_PROCESS",4.0368658146294e-05,"36/605","ABHD16A/ACAA1/ACAA2/ACADS/ACADVL/ACAT1/ADIPOQ/APOE/ASAH1/BCO2/CPT1B/CPT2/CRAT/ECH1/ECHDC2/ECI1/ECI2/ETFA/ETFB/ETFDH/GCDH/HADH/HADHA/HADHB/HSD17B10/IDH1/IVD/MCEE/MLYCD/OXCT1/PAFAH1B3/PCCA/PLIN5/PRDX6/RAB7A/SCARB2","Aging Up → Reversed Down"
"GOBP_MONOCARBOXYLIC_ACID_CATABOLIC_PROCESS",2.31232374055696e-07,4.72044375036556e-05,2.26697808120733,30,46,NA,"GO:BP",4.83260869565217,"Reversed (Aging Up / Training Down)","Monocarboxylic Acid Catabolic Process","GOBP_MONOCARBOXYLIC_ACID_CATABOLIC_PROCESS",4.72044375036556e-05,"30/605","ACAA1/ACAA2/ACADS/ACADVL/ACAT1/ADIPOQ/AKR1A1/CPT1B/CPT2/CRAT/DCXR/ECH1/ECHDC2/ECI1/ECI2/ETFA/ETFB/ETFDH/FAH/GCDH/HADH/HADHA/HADHB/HSD17B10/IVD/LDHD/MCEE/MLYCD/PCCA/PLIN5","Aging Up → Reversed Down"
"HALLMARK_XENOBIOTIC_METABOLISM",6.40110515065618e-06,0.000199297257724896,1.98630460448642,32,56,NA,"Hallmark",3.42990110529378,"Reversed (Aging Up / Training Down)","Xenobiotic Metabolism","HALLMARK_XENOBIOTIC_METABOLISM",0.000199297257724896,"32/605","ACO2/ADH5/AHCY/ALDH2/ALDH9A1/APOE/ATP2A2/BLVRB/CA2/CAT/CNDP2/CYB5A/DCXR/ECH1/EPHA2/ETFDH/FAH/FBLN1/FBP1/GSS/GSTO1/IDH1/KARS1/LONP1/MAOA/MCCC2/MT2A/MTHFD1/PGRMC1/PTGES3/RBP4/TKFC","Aging Up → Reversed Down"
"HALLMARK_ADIPOGENESIS",9.49034560594743e-06,0.000199297257724896,1.67364554637282,52,108,NA,"Hallmark",2.42133815551537,"Reversed (Aging Up / Training Down)","Adipogenesis","HALLMARK_ADIPOGENESIS",0.000199297257724896,"52/605","ACAA2/ACADS/ACO2/ADIPOQ/AK2/ALDH2/ALDOA/APOE/ARAF/BCL2L13/CAT/CAVIN1/CAVIN2/CMBL/COQ3/COQ5/COQ9/COX7B/CPT2/CRAT/CS/DBT/DLD/ECH1/ETFB/FABP4/FAH/GPD2/GPHN/GPX3/GRPEL1/HADH/IDH1/IMMT/ITGA7/MCCC1/NDUFA5/NDUFB7/NDUFS3/PGM1/PLIN2/PREB/SAMM50/SDHB/SLC27A1/SOD1/STOM/SULT1A1/TALDO1/TST/UBQLN1/YWHAG","Aging Up → Reversed Down"
"REACTOME_METABOLISM_OF_VITAMINS_AND_COFACTORS",3.79929203308075e-06,0.00161469911405932,2.10010330578512,29,48,NA,"Reactome",3.91913377192982,"Reversed (Aging Up / Training Down)","Metabolism Of Vitamins And Cofactors","REACTOME_METABOLISM_OF_VITAMINS_AND_COFACTORS",0.00161469911405932,"29/605","AASDHPPT/ACO1/ALDH1L1/APOE/BCO2/COQ3/COQ5/COQ6/COQ7/COQ8A/COQ9/CYB5A/CYB5R3/GPC1/GPHN/GSTO1/IDH1/MCCC1/MCCC2/MTHFD1/NADK2/NAXD/NAXE/PANK4/PCCA/PNPO/RBP4/SHMT1/SPR","Aging Up → Reversed Down"
"GOBP_FATTY_ACID_METABOLIC_PROCESS",1.88669373373436e-05,0.00299565038389601,1.66985901798736,49,102,NA,"GO:BP",2.40277589249355,"Reversed (Aging Up / Training Down)","Fatty Acid Metabolic Process","GOBP_FATTY_ACID_METABOLIC_PROCESS",0.00299565038389601,"49/605","ACAA1/ACAA2/ACADS/ACADSB/ACADVL/ACAT1/ACOT2/ACSF2/ACSL1/ACSS1/ACSS2/ADH5/ADIPOQ/AKR1B1/ALDH3A2/ASAH1/CBR4/CPT1B/CPT2/CRAT/DBI/ECH1/ECHDC2/ECHDC3/ECI1/ECI2/ETFA/ETFB/ETFDH/FABP3/FABP5/GCDH/GPX1/GSTP1/HADH/HADHA/HADHB/HSD17B10/HSD17B8/IVD/MCEE/MECR/MLYCD/PCCA/PDK1/PLAA/PLIN5/PTGES3/SLC27A1","Aging Up → Reversed Down"
"GOBP_SULFUR_COMPOUND_METABOLIC_PROCESS",2.44919749251164e-05,0.00349990321679913,1.76001673815253,40,79,NA,"GO:BP",2.64851372815975,"Reversed (Aging Up / Training Down)","Sulfur Compound Metabolic Process","GOBP_SULFUR_COMPOUND_METABOLIC_PROCESS",0.00349990321679913,"40/605","ABHD14B/ACAT1/ACOT2/ACSF2/ACSL1/ACSS1/ACSS2/AHCY/AKR1A1/ARL6IP5/BPNT1/CBR4/DLD/GCDH/GLO1/GPC1/GPX1/GSS/GSTO1/GSTP1/HAGH/IDH1/MAT2B/MCCC1/MCCC2/MCEE/MLYCD/MPST/MTHFD1/OGDH/OPLAH/PANK4/PDK1/SOD1/SOD2/STAT5B/SUCLG2/SULT1A1/SUOX/TST","Aging Up → Reversed Down"
"GOBP_MODIFIED_AMINO_ACID_METABOLIC_PROCESS",3.33323971339121e-05,0.0043301814094873,1.93855689764781,29,52,NA,"GO:BP",3.22878925120773,"Reversed (Aging Up / Training Down)","Modified Amino Acid Metabolic Process","GOBP_MODIFIED_AMINO_ACID_METABOLIC_PROCESS",0.0043301814094873,"29/605","AASDHPPT/ABHD16A/ALDH1L1/ALDH4A1/ALDH7A1/ALDH9A1/ARL6IP5/ASS1/CKB/CKM/CPT1B/CPT2/CRAT/GAMT/GLO1/GPX1/GSS/GSTO1/GSTP1/HAGH/IDH1/MTHFD1/OPLAH/PANK4/PARK7/SHMT1/SOD1/SOD2/SULT1A1","Aging Up → Reversed Down"
"GOBP_ALCOHOL_METABOLIC_PROCESS",7.10062315946158e-05,0.0084556587457255,1.73801652892562,37,74,NA,"GO:BP",2.57218309859155,"Reversed (Aging Up / Training Down)","Alcohol Metabolic Process","GOBP_ALCOHOL_METABOLIC_PROCESS",0.0084556587457255,"37/605","ACAA2/ACADVL/ACSS1/ACSS2/ADH1B/AKR1A1/AKR1B1/AKR7A2/ALDH1A1/ALDH2/ALDH3A2/APOE/ASAH1/CAT/CBR4/COQ3/CYB5R3/FDPS/FDX1/GALK1/GOT1/GPD2/H6PD/IDH1/IDI1/LSS/MECP2/NPC2/NUDT3/PARK7/PCBD1/PCBD2/PGP/RBP4/SPR/SULT1A1/TKFC","Aging Up → Reversed Down"
"KEGG_MEDICUS_REFERENCE_BETA_OXIDATION",0.00114025412198298,0.0102622870978468,2.78082644628099,8,10,NA,"KEGG",10.0234505862647,"Reversed (Aging Up / Training Down)","Reference Beta Oxidation","KEGG_MEDICUS_REFERENCE_BETA_OXIDATION",0.0102622870978468,"8/605","ACAA2/ACADS/ACADSB/ACADVL/ACAT1/HADH/HADHA/HADHB","Aging Up → Reversed Down"
"HALLMARK_FATTY_ACID_METABOLISM",0.000774498739826006,0.0108429823575641,1.57249114521842,38,84,NA,"Hallmark",2.1154819415689,"Reversed (Aging Up / Training Down)","Fatty Acid Metabolism","HALLMARK_FATTY_ACID_METABOLISM",0.0108429823575641,"38/605","ACAA1/ACAA2/ACADS/ACADVL/ACO2/ACOT2/ACSL1/ACSS1/ALDH1A1/ALDH3A2/ALDH9A1/ALDOA/CA2/CPT2/CRAT/DLD/ECH1/ECI1/ECI2/ETFDH/GCDH/GLUL/GPD2/HADH/HADHB/HSD17B10/HSDL2/IDH1/IDI1/MAOA/MCEE/MDH1/MLYCD/PCBD1/PRDX6/SDHA/SDHD/SUCLG2","Aging Up → Reversed Down"
"GOBP_ALDEHYDE_METABOLIC_PROCESS",0.000175466167339623,0.0192877810098708,2.1575377600456,18,29,NA,"GO:BP",4.14526870063497,"Reversed (Aging Up / Training Down)","Aldehyde Metabolic Process","GOBP_ALDEHYDE_METABOLIC_PROCESS",0.0192877810098708,"18/605","ADH5/AKR1A1/AKR7A2/ALDH1A1/ALDH2/ALDH3A2/ALDH7A1/ALDH9A1/BCO2/GLO1/HAGH/IDH1/PARK7/PDXP/PNPO/RBP4/TALDO1/TKFC","Aging Up → Reversed Down"
"GOBP_AMINO_ACID_CATABOLIC_PROCESS",0.000197719654489239,0.0201815275903659,1.94996976416045,23,41,NA,"GO:BP",3.24933180603284,"Reversed (Aging Up / Training Down)","Amino Acid Catabolic Process","GOBP_AMINO_ACID_CATABOLIC_PROCESS",0.0201815275903659,"23/605","ACADSB/ACAT1/ADHFE1/ALDH4A1/ALDH5A1/ALDH6A1/BCAT2/DBT/DLD/ETFA/ETFB/FAH/GCSH/GLUL/GOT1/GPT/GPT2/HSD17B10/IVD/MCCC1/MCCC2/RIDA/SHMT1","Aging Up → Reversed Down"
"GOBP_AMIDE_METABOLIC_PROCESS",0.000509202982239555,0.0485100707746883,1.53354399611084,45,102,NA,"GO:BP",2.03148496240602,"Reversed (Aging Up / Training Down)","Amide Metabolic Process","GOBP_AMIDE_METABOLIC_PROCESS",0.0485100707746883,"45/605","AASDHPPT/ACAT1/ACOT2/ACSF2/ACSL1/ACSS1/ACSS2/APOE/ARL6IP5/ASAH1/ASS1/CBR4/CLU/CPA3/CTSZ/DLD/GCDH/GLO1/GNPDA1/GPX1/GSK3A/GSS/GSTO1/GSTP1/HAGH/IDH1/MCCC1/MCCC2/MCEE/MECR/MLYCD/MTHFD1/NIT1/OGDH/OPLAH/PANK4/PDK1/PICALM/RTN4/SCARB2/SHMT1/SOD1/SOD2/SUCLG2/TIGAR","Aging Up → Reversed Down"
"REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION",2.31890807600785e-30,9.85535932303335e-28,3.28563551144196,68,78,NA,"Reactome",21.3020408163265,"Reversed (Aging Down / Training Up)","Eukaryotic Translation Elongation","REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION",9.85535932303335e-28,"68/558","EEF1A1/EEF1A2/EEF1B2/EEF1D/EEF1G/EEF2/RPL10/RPL10A/RPL11/RPL12/RPL13/RPL13A/RPL14/RPL17/RPL18A/RPL19/RPL22/RPL23/RPL23A/RPL24/RPL26/RPL27/RPL28/RPL29/RPL30/RPL31/RPL32/RPL35/RPL36/RPL36AL/RPL37A/RPL38/RPL3L/RPL4/RPL5/RPL6/RPL7/RPL7A/RPL8/RPLP0/RPLP2/RPS10/RPS12/RPS13/RPS14/RPS15/RPS15A/RPS16/RPS17/RPS18/RPS19/RPS2/RPS20/RPS21/RPS23/RPS24/RPS25/RPS26/RPS27/RPS3/RPS3A/RPS4X/RPS5/RPS6/RPS7/RPS8/RPS9/RPSA","Aging Down → Reversed Up"
"KEGG_MEDICUS_REFERENCE_TRANSLATION_INITIATION",5.92786039477101e-26,1.06701487105878e-24,3.23041474654378,60,70,NA,"KEGG",18.4939759036145,"Reversed (Aging Down / Training Up)","Reference Translation Initiation","KEGG_MEDICUS_REFERENCE_TRANSLATION_INITIATION",1.06701487105878e-24,"60/558","RPL10/RPL10A/RPL11/RPL12/RPL13/RPL13A/RPL14/RPL17/RPL18A/RPL19/RPL22/RPL23/RPL23A/RPL24/RPL26/RPL27/RPL28/RPL29/RPL30/RPL31/RPL32/RPL35/RPL36/RPL37A/RPL38/RPL4/RPL5/RPL6/RPL7/RPL7A/RPL8/RPLP0/RPLP2/RPS10/RPS12/RPS13/RPS14/RPS15/RPS15A/RPS16/RPS17/RPS18/RPS19/RPS2/RPS20/RPS21/RPS23/RPS24/RPS25/RPS26/RPS27/RPS3/RPS3A/RPS4X/RPS5/RPS6/RPS7/RPS8/RPS9/RPSA","Aging Down → Reversed Up"
"REACTOME_RRNA_PROCESSING",1.81720274895752e-25,1.28718528051157e-23,3.09236283429832,64,78,NA,"Reactome",14.1677270098323,"Reversed (Aging Down / Training Up)","Rrna Processing","REACTOME_RRNA_PROCESSING",1.28718528051157e-23,"64/558","RPL10/RPL10A/RPL11/RPL12/RPL13/RPL13A/RPL14/RPL17/RPL18A/RPL19/RPL22/RPL23/RPL23A/RPL24/RPL26/RPL27/RPL28/RPL29/RPL30/RPL31/RPL32/RPL35/RPL36/RPL36AL/RPL37A/RPL38/RPL3L/RPL4/RPL5/RPL6/RPL7/RPL7A/RPL8/RPLP0/RPLP2/RPS10/RPS12/RPS13/RPS14/RPS15/RPS15A/RPS16/RPS17/RPS18/RPS19/RPS2/RPS20/RPS21/RPS23/RPS24/RPS25/RPS26/RPS27/RPS3/RPS3A/RPS4X/RPS5/RPS6/RPS7/RPS8/RPS9/RPSA/TRMT112/UTP15","Aging Down → Reversed Up"
