pathway,pval,padj,foldEnrichment,overlap,size,overlapGenes,database,odds_ratio,set,pathway_label,neg_log10_padj,significant
REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS,5.342689244629926e-13,1.5624673508291063e-10,2.0098852040816326,72,112,,Reactome,4.167,Concordant Up,Regulation Of Expression Of Slits And Robos,9.806189048865745,TRUE
REACTOME_SELENOAMINO_ACID_METABOLISM,1.2644120987596978e-11,1.31077387571422e-9,2.0843253968253967,58,87,,Reactome,4.5602605863192185,Concordant Up,Selenoamino Acid Metabolism,8.882472222878782,TRUE
REACTOME_TRANSLATION,4.445499401716631e-11,2.7651006278677447e-9,1.7133861312886733,97,177,,Reactome,2.8446304347826086,Concordant Up,Translation,8.558289059175749,TRUE
KEGG_MEDICUS_REFERENCE_TRANSLATION_INITIATION,3.988021823424123e-9,3.5892196410817105e-8,2.0545493197278915,46,70,,KEGG,4.30178381256656,Concordant Up,Reference Translation Initiation,7.444999964349658,TRUE
REACTOME_CELLULAR_RESPONSE_TO_STARVATION,7.52637963524144e-9,2.600782296177876e-7,1.9267891749723145,53,86,,Reactome,3.622068830469477,Concordant Up,Cellular Response To Starvation,6.584895999794007,TRUE
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT,1.2930687471485197e-13,4.021443803631896e-11,2.5728864296081277,54,104,,Reactome,4.749081081081081,Discordant (Y Down / O Up),Respiratory Electron Transport,10.39561799582706,TRUE
GOBP_ATP_SYNTHESIS_COUPLED_ELECTRON_TRANSPORT,1.8011153450853025e-13,1.7849053069795347e-10,2.868793445878848,44,76,,GO:BP,5.952302631578948,Discordant (Y Down / O Up),ATP Synthesis Coupled Electron Transport,9.748384819186029,TRUE
REACTOME_COMPLEX_I_BIOGENESIS,1.5163546851040958e-9,2.357931535336869e-7,2.9326626877165958,29,49,,Reactome,6.082658227848102,Discordant (Y Down / O Up),Complex I Biogenesis,6.627468809188798,TRUE
KEGG_MEDICUS_REFERENCE_ELECTRON_TRANSFER_IN_COMPLEX_I,3.228611125253254e-7,2.905750012727929e-6,2.779739990796134,23,41,,KEGG,5.286367414796342,Discordant (Y Down / O Up),Reference Electron Transfer In Complex I,5.536741751621904,TRUE
REACTOME_STRIATED_MUSCLE_CONTRACTION,4.928752582442798e-8,5.109473510465701e-6,3.3624494609164417,19,28,,Reactome,8.694650205761317,Discordant (Y Down / O Up),Striated Muscle Contraction,5.291623848060875,TRUE
REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS,2.9296090588357272e-5,0.009111084172979112,2.2884086218757163,19,28,,Reactome,5.134473877851361,Concordant Down,Non Integrin Membrane Ecm Interactions,2.0404299411031004,TRUE
GOBP_POLYOL_METABOLIC_PROCESS,1.2830148486980606e-5,0.01271467715059778,2.5694412596499276,16,21,,GO:BP,7.765403624382207,Concordant Down,Polyol Metabolic Process,1.895694662896371,TRUE
HALLMARK_ADIPOGENESIS,5.845166073147258e-4,0.02104259786333013,1.498840734795791,48,108,,Hallmark,1.9728695652173913,Concordant Down,Adipogenesis,1.6769006443632828,TRUE
REACTOME_FORMATION_OF_THE_DYSTROPHIN_GLYCOPROTEIN_COMPLEX_DGC,2.2204000280233888e-4,0.02964477546760524,2.43561619404316,13,18,,Reactome,6.278360655737705,Concordant Down,Formation Of The Dystrophin Glycoprotein Complex Dgc,1.5280518346949439,TRUE
REACTOME_METABOLISM_OF_VITAMINS_AND_COFACTORS,2.859624643177354e-4,0.02964477546760524,1.8267121455323703,26,48,,Reactome,2.8822902390741585,Concordant Down,Metabolism Of Vitamins And Cofactors,1.5280518346949439,TRUE
HALLMARK_XENOBIOTIC_METABOLISM,0.0012074465168686972,0.0308333329298776,1.9642857142857142,20,56,,Hallmark,2.5828729281767955,Discordant (Y Up / O Down),Xenobiotic Metabolism,1.5109795276633953,TRUE
HALLMARK_UV_RESPONSE_UP,0.0017129629405487556,0.0308333329298776,2.0952380952380953,16,42,,Hallmark,2.846574190836486,Discordant (Y Up / O Down),UV Response Up,1.5109795276633953,TRUE
REACTOME_CARGO_RECOGNITION_FOR_CLATHRIN_MEDIATED_ENDOCYTOSIS,1.2227489475411082e-4,0.038027492268528466,2.8600000000000003,13,25,,Reactome,5.011517615176151,Discordant (Y Up / O Down),Cargo Recognition For Clathrin Mediated Endocytosis,1.419902313290749,TRUE
REACTOME_RAC1_GTPASE_CYCLE,3.8399925551289664e-4,0.04010386875662674,2.880952380952381,11,21,,Reactome,5.06711590296496,Discordant (Y Up / O Down),Rac1 Gtpase Cycle,1.396813729658868,TRUE
REACTOME_RAC3_GTPASE_CYCLE,0.0011467046333032114,0.08915628523932469,2.75,10,20,,Reactome,4.594086021505376,Discordant (Y Up / O Down),Rac3 Gtpase Cycle,1.049848035006426,FALSE
