module,compartment,odds_ratio,p_raw,n_overlap,n_module,n_compartment,n_universe,p_bh
turquoise,Mitochondria,5.501477788694366,1.7273615938809404e-31,130,274,325,1659,1.3818892751047523e-29
green,Mitochondria,9.53130706742998,2.161398310784691e-29,77,119,325,1659,8.645593243138764e-28
pink,Mitochondria,9.565068452409069,4.58609203620361e-18,45,67,325,1659,1.2229578763209627e-16
black,Endoplasmic reticulum,6.978256338947737,5.734173017391952e-12,28,79,143,1659,1.1468346034783904e-10
purple,Endoplasmic reticulum,5.791383345721696,9.567415605486443e-8,19,58,143,1659,1.5307864968778308e-6
black,Cytosol,2.5756365896173605,3.794425048868167e-5,48,79,641,1659,5.05923339849089e-4
blue,Cytosol,1.7093295949222753,1.5593921637835383e-4,110,220,641,1659,0.0017821624728954725
purple,Cytosol,2.692245709993521,2.0199323708354843e-4,36,58,641,1659,0.002019932370835484
brown,Cytoskeleton,3.05921185415463,4.548847559399026e-4,16,137,79,1659,0.004043420052799135
red,Cytosol,1.7093475597519447,0.0028277077018701523,63,124,641,1659,0.02262166161496122
brown,Nucleoplasm,1.714593413115095,0.003282222591528301,49,137,422,1659,0.023870709756569464
yellow,Nucleoplasm,1.5587061194097356,0.014138358290567088,46,136,422,1659,0.09425572193711393
blue,Endoplasmic reticulum,1.595022250413247,0.029795319450205242,27,220,143,1659,0.18335581200126302
blue,Cytoskeleton,1.71237713724158,0.04938535853951751,16,220,79,1659,0.2257201968243003
blue,Plasma membrane,1.482880454012604,0.03953407341042043,33,220,186,1659,0.2257201968243003
brown,Golgi apparatus,1.986460863896044,0.04826522190377745,10,137,68,1659,0.2257201968243003
red,Vesicles,1.6880449792080319,0.04560648500706345,17,124,149,1659,0.2257201968243003
yellow,Cytosol,1.3657115417132215,0.05078704428546757,62,136,641,1659,0.2257201968243003
red,Golgi apparatus,1.9568438388848157,0.06183586213210876,9,124,68,1659,0.2603615247667737
blue,Vesicles,1.4335631534543034,0.07638761829399464,26,220,149,1659,0.30555047317597855
red,Nucleoplasm,1.3241933590139445,0.10220149238641572,38,124,422,1659,0.38933901861491704
magenta,Endoplasmic reticulum,1.7733850229381,0.11106904603264332,8,57,143,1659,0.403887440118703
brown,Plasma membrane,1.3062242528342876,0.18539978774113608,19,137,186,1659,0.6448688269256907
magenta,Golgi apparatus,1.8127560207519298,0.2025606586509784,4,57,68,1659,0.6752021955032613
red,Plasma membrane,1.2839783453766158,0.21702514997500472,17,124,186,1659,0.6944804799200152
magenta,Nucleoplasm,1.2559471445454862,0.2632111942691967,17,57,422,1659,0.8098805977513746
brown,Endoplasmic reticulum,1.2289193397279312,0.28661862815249556,14,137,143,1659,0.8492403797110979
purple,Plasma membrane,1.2788923133116155,0.3213005036947939,8,58,186,1659,0.9180014391279826
green,Cytoskeleton,0.49834545163658706,0.9333753572557262,3,119,79,1659,1
green,Cytosol,0.24482854378654068,0.9999999996326525,17,119,641,1659,1
green,Endoplasmic reticulum,0.08348662096321004,0.9999855803833668,1,119,143,1659,1
green,Golgi apparatus,0.5870232946772923,0.8794112667044501,3,119,68,1659,1
green,Nucleoplasm,0.46725752999131737,0.9992482496772661,17,119,422,1659,1
green,Plasma membrane,0.3294604626603719,0.9985496105295278,5,119,186,1659,1
green,Vesicles,0.33478175044895636,0.9962774109849194,4,119,149,1659,1
blue,Golgi apparatus,0.8673728815195056,0.699881737997314,8,220,68,1659,1
blue,Mitochondria,0.11593389190083805,0.9999999999999973,7,220,325,1659,1
blue,Nucleoplasm,0.7018597602068323,0.9825385942641609,44,220,422,1659,1
brown,Cytosol,0.7600803697471582,0.9399614727882388,45,137,641,1659,1
brown,Mitochondria,0.26848080553813275,0.9999979022133938,9,137,325,1659,1
brown,Vesicles,0.8756327844687383,0.7045723454489936,11,137,149,1659,1
turquoise,Cytoskeleton,0.4782773891703079,0.9848917613283684,7,274,79,1659,1
turquoise,Cytosol,0.5572640845157348,0.999986526781262,76,274,641,1659,1
turquoise,Endoplasmic reticulum,0.16806413334215686,0.9999999257188049,5,274,143,1659,1
turquoise,Golgi apparatus,0.39019793270049624,0.9928089592522819,5,274,68,1659,1
turquoise,Nucleoplasm,0.5910321831001797,0.9995381162520534,49,274,422,1659,1
turquoise,Plasma membrane,0.5784070887170112,0.9929141158611565,20,274,186,1659,1
turquoise,Vesicles,0.9676886976413703,0.5933787676295029,24,274,149,1659,1
black,Cytoskeleton,0.5071746102447282,0.9007788939356505,2,79,79,1659,1
black,Golgi apparatus,0.2896461477055368,0.9662359141032889,1,79,68,1659,1
black,Mitochondria,0,1,0,79,325,1659,1
black,Nucleoplasm,0.9933414738520823,0.5549080135663231,20,79,422,1659,1
black,Plasma membrane,0.7610546725400961,0.802527028245104,7,79,186,1659,1
black,Vesicles,0.25332919649776303,0.9954947296590295,2,79,149,1659,1
red,Cytoskeleton,0.15195226687264227,0.9981493568473481,1,124,79,1659,1
red,Endoplasmic reticulum,0.5190308563025996,0.9664486399953169,6,124,143,1659,1
red,Mitochondria,0.15963452917430715,0.9999999700888916,5,124,325,1659,1
pink,Cytoskeleton,0,1,0,67,79,1659,1
pink,Cytosol,0.26736155843033194,0.9999963233986338,10,67,641,1659,1
pink,Endoplasmic reticulum,0.15480433328760115,0.9979060577545409,1,67,143,1659,1
pink,Golgi apparatus,0,1,0,67,68,1659,1
pink,Nucleoplasm,0.44315076382829266,0.9952911885226923,9,67,422,1659,1
pink,Plasma membrane,0.7716949457925087,0.7815774295910052,6,67,186,1659,1
pink,Vesicles,0.633754087767986,0.8679484537154811,4,67,149,1659,1
magenta,Cytoskeleton,0.7202962724138446,0.7666881424050637,2,57,79,1659,1
magenta,Cytosol,0.7878957253087991,0.8351900274815942,19,57,641,1659,1
magenta,Mitochondria,0.9808996394153752,0.57726536065391,11,57,325,1659,1
magenta,Plasma membrane,0.5890010276485395,0.8986880092647537,4,57,186,1659,1
magenta,Vesicles,0.7584833512580459,0.7694487892549977,4,57,149,1659,1
purple,Cytoskeleton,1.0944137263318101,0.5290436852282772,3,58,79,1659,1
purple,Golgi apparatus,0.4018274597221518,0.9155038678541523,1,58,68,1659,1
purple,Mitochondria,0,1,0,58,325,1659,1
purple,Nucleoplasm,0.4589166939084047,0.9907342851227892,8,58,422,1659,1
purple,Vesicles,0.17233373413365546,0.9961469121431997,1,58,149,1659,1
yellow,Cytoskeleton,0.7474884758773813,0.7922265956033681,5,136,79,1659,1
yellow,Endoplasmic reticulum,0.7346985451030347,0.8489585901510962,9,136,143,1659,1
yellow,Golgi apparatus,1.087571148637332,0.4897972768143744,6,136,68,1659,1
yellow,Mitochondria,0.20574155129481594,0.9999998889733765,7,136,325,1659,1
yellow,Plasma membrane,0.9801463042894302,0.5722755069845062,15,136,186,1659,1
yellow,Vesicles,0.9790550706504795,0.5748747811597897,12,136,149,1659,1
