module_color,contrast,n_proteins,mean_fc,median_fc,sd_fc,pct_up
purple,Aging,67,-0.20116090282788868,-0.1898209949504306,0.17476739465730617,0.11940298507462686
purple,Training_Young,67,0.004290369800679683,0.01826701148301524,0.18005946091324576,0.5970149253731343
purple,Training_Old,67,0.13506261604455955,0.13408356169390956,0.14334216349807255,0.835820895522388
purple,Interaction,67,0.1307722462438799,0.1210808842170188,0.22064118996242613,0.7014925373134329
magenta,Aging,78,-0.37432612686321437,-0.32350459495084394,0.32758192650963075,0.07692307692307693
magenta,Training_Young,78,0.04630376596128086,0.06815883920777921,0.16283640460434037,0.6666666666666666
magenta,Training_Old,78,-0.011327923819354258,-0.032999627193397885,0.14142347819318285,0.4358974358974359
magenta,Interaction,78,-0.05763168978063511,-0.07371206373531614,0.1979901000681304,0.2948717948717949
pink,Aging,84,-0.027943720328867452,-0.00703906653004793,0.1740847530257037,0.4578313253012048
pink,Training_Young,84,0.07622825466218519,0.07160503197543377,0.16225589971651236,0.7349397590361446
pink,Training_Old,84,0.01876852550245505,0.00603497095966787,0.15334119321792167,0.5476190476190477
pink,Interaction,84,-0.056609467768276724,-0.05920051153480088,0.1641596746714514,0.2891566265060241
black,Aging,99,-0.24996637891451623,-0.24472709979128737,0.25422247624117666,0.15151515151515152
black,Training_Young,99,0.03757886666812701,0.04773460184699729,0.17301590137738698,0.6464646464646465
black,Training_Old,99,0.1185966076867072,0.10383327666247057,0.1431519914369339,0.8181818181818182
black,Interaction,99,0.08101774101858025,0.06425130493745002,0.22654955310647845,0.6666666666666666
red,Aging,146,3.712758073839731e-4,0.018788368779345532,0.2136030565690168,0.541095890410959
red,Training_Young,146,0.02668467782818171,0.04626932373733439,0.12104300808178911,0.6232876712328768
red,Training_Old,146,0.008080959658237338,0.0061966142711806695,0.11469760290111801,0.547945205479452
red,Interaction,146,-0.018603718169944394,-0.03837725461266572,0.16627151525959483,0.4246575342465753
green,Aging,164,0.01470639880473641,0.01568569627596972,0.2512504152634973,0.5214723926380368
green,Training_Young,164,-0.27558872196823836,-0.2595094320925817,0.23707917840757148,0.04294478527607362
green,Training_Old,164,0.011921263399905192,0.02078933990676645,0.1503619272453703,0.5853658536585366
green,Interaction,164,0.28693413195688666,0.2559370857670338,0.27372693582110286,0.9079754601226994
yellow,Aging,165,-0.046716078053464956,-0.05276420033459317,0.1907273405767129,0.4
yellow,Training_Young,165,-0.0838283881128483,-0.06459130035242922,0.19242849084899102,0.3090909090909091
yellow,Training_Old,165,-0.09927728528618418,-0.08469841477268858,0.15197564960629117,0.23030303030303031
yellow,Interaction,165,-0.015448897173335908,-0.01205227929203189,0.20138138231874925,0.45454545454545453
brown,Aging,197,-0.5426862980071966,-0.4131850986005503,0.5168193536839246,0.07614213197969544
brown,Training_Young,197,-0.2567575307852804,-0.214695671375015,0.42671348786763486,0.19796954314720813
brown,Training_Old,197,0.0348772964530225,0.02845917976490142,0.21767977910460304,0.5634517766497462
brown,Interaction,197,0.29163482723830253,0.19696287590323536,0.46388935354427274,0.8020304568527918
blue,Aging,261,-0.13338910201775378,-0.10647925724270557,0.25432360881042865,0.29615384615384616
blue,Training_Young,261,0.27177479447712494,0.24232852101971147,0.20160549508011588,0.9692307692307692
blue,Training_Old,261,0.12114265834117294,0.0890494966289559,0.1602427990398261,0.8160919540229885
blue,Interaction,261,-0.15080092201655637,-0.14110469832245975,0.20087514026121608,0.14615384615384616
turquoise,Aging,345,0.3262503593124258,0.30736051774427864,0.2297513161159375,0.9623188405797102
turquoise,Training_Young,345,-0.026257950778554296,-0.00493428262770834,0.23297313798376196,0.47246376811594204
turquoise,Training_Old,345,-0.042361427942950974,-0.03788088953267987,0.15017383052196637,0.3536231884057971
turquoise,Interaction,345,-0.01610347716439665,-0.02224188860281017,0.2521682799079685,0.4318840579710145
