pearson_module,bicor_module,jaccard,n_shared,n_pearson,n_bicor
green,green,0.7925531914893617,149,164,173
brown,yellow,0.7619047619047619,176,197,210
blue,blue,0.7424749163879598,222,261,260
turquoise,turquoise,0.7423167848699763,314,345,392
black,black,0.574468085106383,81,99,123
magenta,red,0.41830065359477125,64,78,139
red,brown,0.36101083032490977,100,146,231
