fcm_cluster,wgcna_module,n_overlap,odds_ratio,or_ci_lo,or_ci_hi,p_value,p_adj_bh,significant
C1,Black,71,12.395,7.719,20.359,2.2335634222315483e-30,1.276321955560885e-29,TRUE
C1,Blue,5,0.062,0.02,0.15,2.7035204529738293e-21,8.318524470688705e-21,TRUE
C1,Brown,149,21.483,14.824,31.597,9.58410043555806e-75,1.916820087111612e-73,TRUE
C1,Green,30,0.872,0.555,1.334,0.6076334495996447,0.623213794461174,FALSE
C1,Magenta,1,0.048,0.001,0.278,3.8798319654379574e-7,5.542617093482797e-7,TRUE
C1,Pink,0,0,0,0.168,8.106099470443442e-9,1.4738362673533532e-8,TRUE
C1,Purple,33,4.113,2.425,6.97,5.8950222024985645e-8,9.82238999953924e-8,TRUE
C1,Red,24,0.752,0.456,1.198,0.23700736652373378,0.25622418002565817,FALSE
C1,Turquoise,10,0.089,0.042,0.169,2.282785098881289e-25,9.131140395525156e-25,TRUE
C1,Yellow,3,0.064,0.013,0.192,1.2794728989042674e-13,2.5589457978085347e-13,TRUE
C2,Black,25,0.863,0.518,1.397,0.6437484517265445,0.6437484517265445,FALSE
C2,Blue,240,65.297,40.169,111.224,5.025366430920845e-132,2.010146572368338e-130,TRUE
C2,Brown,11,0.131,0.064,0.244,5.118026610694542e-17,1.364807096185211e-16,TRUE
C2,Green,0,0,0,0.051,3.27886150615592e-25,1.1923132749657891e-24,TRUE
C2,Magenta,44,3.587,2.207,5.877,7.9473714433021e-8,1.2226725297387847e-7,TRUE
C2,Pink,9,0.3,0.131,0.607,2.169164106658036e-4,2.798921427945853e-4,TRUE
C2,Purple,28,1.907,1.115,3.225,0.012249821385544268,0.013610912650604743,TRUE
C2,Red,26,0.532,0.329,0.832,0.0036282403282750413,0.0042685180332647545,TRUE
C2,Turquoise,40,0.273,0.188,0.39,5.410263594571176e-16,1.2022807987935946e-15,TRUE
C2,Yellow,25,0.429,0.264,0.671,7.205013204116623e-5,9.937949247057411e-5,TRUE
C3,Black,0,0,0,0.083,3.1542618725777323e-16,7.421792641359371e-16,TRUE
C3,Blue,1,0.007,0,0.04,1.7686280755846082e-42,1.179085383723072e-41,TRUE
C3,Brown,9,0.096,0.043,0.189,9.425194688961241e-21,2.6929127682746402e-20,TRUE
C3,Green,128,11.451,7.662,17.508,1.5005339901133857e-42,1.179085383723072e-41,TRUE
C3,Magenta,12,0.416,0.203,0.786,0.003422696408072031,0.004148722918875189,TRUE
C3,Pink,73,20.199,10.25,44.356,5.939669694116815e-30,2.9698348470584077e-29,TRUE
C3,Purple,3,0.105,0.021,0.325,1.9201071971079535e-7,2.844603254974746e-7,TRUE
C3,Red,5,0.074,0.024,0.179,6.995655708098707e-17,1.7489139270246767e-16,TRUE
C3,Turquoise,243,10.459,7.922,13.883,1.4780754805312963e-72,1.970767307375062e-71,TRUE
C3,Yellow,2,0.025,0.003,0.092,5.229039184264138e-24,1.7430130614213795e-23,TRUE
C4,Black,3,0.103,0.021,0.314,6.138993749712024e-8,9.82238999953924e-8,TRUE
C4,Blue,14,0.169,0.09,0.294,3.507879706455635e-15,7.385009908327652e-15,TRUE
C4,Brown,28,0.551,0.349,0.844,0.004309811614573055,0.004925498988083491,TRUE
C4,Green,5,0.099,0.032,0.24,1.1242078720298482e-12,2.1413483276759012e-12,TRUE
C4,Magenta,21,1.324,0.751,2.256,0.32593240771351883,0.34308674496159874,FALSE
C4,Pink,1,0.04,0.001,0.234,2.945432069080531e-8,5.122490554922662e-8,TRUE
C4,Purple,3,0.159,0.032,0.491,1.1383986426280674e-4,1.517864856837423e-4,TRUE
C4,Red,91,7.532,5.185,11.026,1.133146311426809e-28,5.0362058285635955e-28,TRUE
C4,Turquoise,52,0.564,0.401,0.784,3.225096113354369e-4,4.031370141692961e-4,TRUE
C4,Yellow,135,25.118,16.32,39.657,4.929993829464214e-69,4.929993829464214e-68,TRUE
