power,r2,mean_k,slope,selected
1,-0.009621046521894822,1056.4111474384172,18.89636005850064,FALSE
2,0.042743057211793375,553.0168049146446,-8.781611468550388,FALSE
3,0.3817012863487503,301.6103739811008,-11.216695347468214,FALSE
4,0.49842366175936503,170.77142708065205,-7.3627782478565535,FALSE
5,0.5524393402505559,100.0955422861167,-5.143712713007074,FALSE
6,0.6088311243240144,60.596154859875554,-4.097629965377829,FALSE
7,0.6663331578788492,37.816151945907805,-3.5179848997473404,FALSE
8,0.7184664084674757,24.28892624377423,-3.008213012763724,FALSE
9,0.7809879840080312,16.033376929243744,-2.587758607108626,FALSE
10,0.8362214344301291,10.863659168365535,-2.3049614530267264,FALSE
11,0.8490619440077434,7.5465593949147,-2.4073342231342916,FALSE
12,0.8735964736082629,5.368472068345976,-2.415672264634313,TRUE
13,0.9034766514954363,3.906552318935128,-2.3661369044187985,FALSE
14,0.9068642957734543,2.9045927782972916,-2.3209659953995074,FALSE
15,0.9118031235615388,2.2040525041889363,-2.2685001088490813,FALSE
16,0.8875587017294363,1.7048539336922246,-2.2209850693042266,FALSE
17,0.3535361374405261,1.3426203304773985,-3.340979633910299,FALSE
18,0.35285865737570477,1.0751910068499668,-3.184863047125884,FALSE
19,0.35170156624664545,0.874479640443771,-3.04746246460496,FALSE
20,0.3510280458533408,0.7214693006227246,-2.927769733782321,FALSE
