gene,fcm_cluster,fcm_membership,wgcna_module,concordance_quadrant,reversal_quadrant
MMP24OS,C3,0.9997906516825584,Green,Conc. Down,Reversed (Aging Up / Training Down)
ESYT2,C2,0.961053023897504,Blue,Conc. Up,Reversed (Aging Down / Training Up)
FSD2,C1,0.995374274559766,Brown,Conc. Up,Reversed (Aging Down / Training Up)
TARS3,C3,0.9983438751416616,Turquoise,Conc. Down,Reversed (Aging Up / Training Down)
VWA8,C3,0.9996330649337608,Turquoise,Disc. YUp/ODn,Reversed (Aging Up / Training Down)
CARNS1,C2,0.8175261670935801,Blue,Conc. Up,Reversed (Aging Down / Training Up)
MAP1LC3B2,C1,0.9942017093275188,Black,Disc. YDn/OUp,Reversed (Aging Down / Training Up)
SMTNL1,C4,0.8838572321211764,Red,Disc. YUp/ODn,Exacerbated Down
NUDT19,C3,0.9894614519096652,Pink,Disc. YDn/OUp,Reversed (Aging Down / Training Up)
NACA,C2,0.9999832399651452,Blue,Conc. Up,Reversed (Aging Down / Training Up)
SLC35A4,C1,0.8878802335785678,Brown,Disc. YDn/OUp,Reversed (Aging Down / Training Up)
PDLIM1,C1,0.8492050749800665,Turquoise,Conc. Down,Reversed (Aging Up / Training Down)
MYO1C,C2,0.8164499292436037,Turquoise,Disc. YUp/ODn,Reversed (Aging Up / Training Down)
NDUFS8,C3,0.9998843967832564,Green,Conc. Down,Exacerbated Down
PSMD11,C2,0.9493335082521238,Red,Conc. Up,Reversed (Aging Down / Training Up)
PSMD12,C2,0.9915794054644884,Magenta,Disc. YUp/ODn,Exacerbated Down
CLIC1,C2,0.8663193310091074,Black,Conc. Up,Reversed (Aging Down / Training Up)
EIF3F,C2,0.9679875785591086,Purple,Disc. YUp/ODn,Reversed (Aging Up / Training Down)
PDHX,C3,0.999998192327016,Pink,Conc. Down,Exacerbated Down
DCTN6,C2,0.9980511373568504,Blue,Conc. Up,Reversed (Aging Down / Training Up)
IPO5,C2,0.9124820017368688,Blue,Disc. YUp/ODn,Exacerbated Down
EEF2K,C1,0.4924168026323794,Yellow,Conc. Down,Exacerbated Down
EML1,C4,0.9811708767412074,Yellow,Conc. Down,Exacerbated Down
DNM1L,C3,0.967137255073222,Turquoise,Disc. YUp/ODn,Reversed (Aging Up / Training Down)
RTCA,C3,0.9367193953230564,Turquoise,Conc. Down,Reversed (Aging Up / Training Down)
NDUFA4,C3,0.999808095816364,Pink,Conc. Up,Exacerbated Up
PSMD14,C2,0.996984530028591,Magenta,Conc. Up,Reversed (Aging Down / Training Up)
BIN1,C2,0.998558044122894,Blue,Disc. YUp/ODn,Exacerbated Down
KPNA3,C2,0.997411959433452,Black,Conc. Up,Reversed (Aging Down / Training Up)
DDX3X,C1,0.9946021825470744,Purple,Conc. Up,Reversed (Aging Down / Training Up)
KPNA4,C4,0.6966321027171565,Blue,Conc. Up,Exacerbated Up
CES2,C3,0.9052561115949228,Turquoise,Conc. Up,Exacerbated Up
FBP2,C4,0.9667592903028032,Magenta,Disc. YUp/ODn,Exacerbated Down
PDXK,C4,0.9730558467902596,Pink,Conc. Down,Exacerbated Down
SDHD,C3,0.9883691939187068,Pink,Disc. YUp/ODn,Reversed (Aging Up / Training Down)
COX7A2L,C3,0.9977083418403936,Green,Disc. YDn/OUp,Reversed (Aging Down / Training Up)
HSPB6,C2,0.5795261306272561,Blue,Conc. Up,Exacerbated Up
NDUFAB1,C3,0.9997725775127216,Green,Conc. Down,Exacerbated Down
IMPA2,C4,0.9991452614909464,Yellow,Conc. Down,Exacerbated Down
PRMT5,C2,0.8065740854638147,Magenta,Disc. YUp/ODn,Reversed (Aging Up / Training Down)
PSMA7,C2,0.7233081306937119,Red,Conc. Up,Reversed (Aging Down / Training Up)
OPLAH,C3,0.8685649208644829,Turquoise,Conc. Down,Reversed (Aging Up / Training Down)
MGST3,C3,0.7201266143902038,Green,Conc. Down,Exacerbated Down
RGS12,C3,0.6851061283503271,Green,Conc. Down,Exacerbated Down
HAT1,C2,0.4976122476652825,Blue,Disc. YDn/OUp,Reversed (Aging Down / Training Up)
UQCRQ,C3,0.9999963512439316,Green,Disc. YDn/OUp,Exacerbated Up
MYL12B,C3,0.5389666732659584,Turquoise,Disc. YDn/OUp,Exacerbated Up
UQCR11,C3,0.9998072201992868,Green,Disc. YDn/OUp,Reversed (Aging Down / Training Up)
CASQ2,C2,0.9983817802044032,Blue,Disc. YUp/ODn,Reversed (Aging Up / Training Down)
HGS,C2,0.8727291574298356,Black,Conc. Down,Exacerbated Down
HNRNPDL,C1,0.69740960823169,Brown,Conc. Down,Exacerbated Down
XPO1,C4,0.9967039330290032,Yellow,Disc. YUp/ODn,Reversed (Aging Up / Training Down)
ATP2A1,C4,0.998170686195822,Red,Conc. Up,Reversed (Aging Down / Training Up)
SYNM,C1,0.98967482110177,Brown,Disc. YUp/ODn,Exacerbated Down
ARPC1B,C2,0.9806459703216336,Blue,Conc. Up,Exacerbated Up
PGRMC2,C2,0.946820773120446,Pink,Disc. YUp/ODn,Reversed (Aging Up / Training Down)
PFDN6,C4,0.5303328824691924,Red,Conc. Down,Reversed (Aging Up / Training Down)
NDUFA1,C3,0.9299932998515736,Green,Disc. YDn/OUp,Reversed (Aging Down / Training Up)
SURF4,C2,0.9983864669191896,Blue,Disc. YUp/ODn,Exacerbated Down
TCAP,C1,0.998786296281418,Brown,Conc. Down,Exacerbated Down
EIF3D,C1,0.9852647201816052,Purple,Disc. YDn/OUp,Reversed (Aging Down / Training Up)
EIF3H,C2,0.569453992420417,Black,Disc. YUp/ODn,Exacerbated Down
BCAT2,C3,0.9978428924335908,Turquoise,Disc. YUp/ODn,Reversed (Aging Up / Training Down)
STX7,C2,0.9974858915452142,Blue,Conc. Up,Exacerbated Up
SLC16A3,C4,0.6719029480875459,Yellow,Disc. YDn/OUp,Reversed (Aging Down / Training Up)
CYB5B,C2,0.6010212601362099,Magenta,Disc. YUp/ODn,Exacerbated Down
NDUFS4,C3,0.7454813174738067,Green,Conc. Down,Exacerbated Down
DYNC1LI2,C2,0.7323492025754584,Blue,Disc. YUp/ODn,Exacerbated Down
PSMD3,C2,0.5106938171259255,Magenta,Disc. YUp/ODn,Exacerbated Down
HNRNPR,C2,0.4743070545005756,Black,Conc. Up,Reversed (Aging Down / Training Up)
TXNL1,C2,0.6119303695375773,Blue,Conc. Up,Reversed (Aging Down / Training Up)
TPD52L2,C4,0.9019970575018964,Yellow,Conc. Down,Exacerbated Down
ERI3,C2,0.48534252514452375,Yellow,Conc. Down,Reversed (Aging Up / Training Down)
AKR7A2,C3,0.9994018213060406,Turquoise,Conc. Down,Reversed (Aging Up / Training Down)
LAT,C4,0.983245574098097,Red,Conc. Up,Reversed (Aging Down / Training Up)
DENR,C1,0.923149678756098,Red,Conc. Down,Exacerbated Down
TIMM44,C3,0.9999950817564452,Turquoise,Conc. Up,Exacerbated Up
NDUFB5,C3,0.993792788212842,Green,Disc. YDn/OUp,Reversed (Aging Down / Training Up)
NDUFB3,C3,0.9991789578690295,Green,Disc. YDn/OUp,Reversed (Aging Down / Training Up)
NDUFA2,C3,0.9970522596601872,Green,Conc. Down,Exacerbated Down
BUB3,C4,0.5951784841346195,Turquoise,Disc. YUp/ODn,Reversed (Aging Up / Training Down)
ACTN4,C1,0.999938131632332,Brown,Disc. YDn/OUp,Reversed (Aging Down / Training Up)
PRKAB2,C4,0.7562148031145285,Red,Conc. Up,Exacerbated Up
SYNGR2,C2,0.7036905019329368,Yellow,Conc. Down,Exacerbated Down
SGTA,C3,0.6678222201749054,Turquoise,Conc. Down,Reversed (Aging Up / Training Down)
SLC25A20,C3,0.9999919835459288,Turquoise,Disc. YDn/OUp,Exacerbated Up
NARS1,C2,0.9820277720992152,Brown,Conc. Up,Reversed (Aging Down / Training Up)
LANCL1,C4,0.5111229787714539,Yellow,Conc. Down,Exacerbated Down
SLC37A4,C4,0.9515165560580514,Magenta,Disc. YUp/ODn,Exacerbated Down
IDH3B,C3,0.9999038707095596,Turquoise,Conc. Up,Exacerbated Up
CALU,C2,0.9775705197978504,Blue,Conc. Up,Reversed (Aging Down / Training Up)
AHCYL1,C2,0.917535900455978,Blue,Conc. Up,Exacerbated Up
NDUFS5,C3,0.9741763391196137,Green,Disc. YDn/OUp,Exacerbated Up
TIMM8A,C3,0.6449518975700345,Green,Disc. YDn/OUp,Exacerbated Up
PPP1R12B,C2,0.9538896246948652,Blue,Disc. YUp/ODn,Exacerbated Down
PRPSAP2,C4,0.4560984612857112,Red,Conc. Down,Exacerbated Down
SPAG9,C2,0.9990384731204242,Blue,Disc. YDn/OUp,Reversed (Aging Down / Training Up)
OPA1,C3,0.9999254767409992,Turquoise,Conc. Up,Exacerbated Up
TBC1D4,C4,0.6474350284696292,Green,Disc. YDn/OUp,Reversed (Aging Down / Training Up)
SYNCRIP,C2,0.8901315721522942,Black,Disc. YUp/ODn,Exacerbated Down
SELENOF,C1,0.6264469354418798,Black,Disc. YDn/OUp,Exacerbated Up
KLHL41,C2,0.801821914814702,Blue,Conc. Up,Reversed (Aging Down / Training Up)
