row,module,fpr,tpr
Age,turquoise,1,1
Age,turquoise,0.9333333333333333,1
Age,turquoise,0.8666666666666667,1
Age,turquoise,0.8,1
Age,turquoise,0.7333333333333334,1
Age,turquoise,0.6666666666666667,1
Age,turquoise,0.6,1
Age,turquoise,0.5333333333333333,1
Age,turquoise,0.4666666666666667,1
Age,turquoise,0.4,1
Age,turquoise,0.33333333333333337,1
Age,turquoise,0.2666666666666667,1
Age,turquoise,0.19999999999999996,1
Age,turquoise,0.19999999999999996,0.9333333333333333
Age,turquoise,0.19999999999999996,0.8666666666666667
Age,turquoise,0.1333333333333333,0.8666666666666667
Age,turquoise,0.06666666666666665,0.8666666666666667
Age,turquoise,0.06666666666666665,0.8
Age,turquoise,0.06666666666666665,0.7333333333333333
Age,turquoise,0,0.7333333333333333
Age,turquoise,0,0.6666666666666666
Age,turquoise,0,0.6
Age,turquoise,0,0.5333333333333333
Age,turquoise,0,0.4666666666666667
Age,turquoise,0,0.4
Age,turquoise,0,0.3333333333333333
Age,turquoise,0,0.26666666666666666
Age,turquoise,0,0.2
Age,turquoise,0,0.13333333333333333
Age,turquoise,0,0.06666666666666667
Age,turquoise,0,0
Age,blue,1,1
Age,blue,0.9333333333333333,1
Age,blue,0.8666666666666667,1
Age,blue,0.8,1
Age,blue,0.7333333333333334,1
Age,blue,0.6666666666666667,1
Age,blue,0.6,1
Age,blue,0.5333333333333333,1
Age,blue,0.4666666666666667,1
Age,blue,0.4,1
Age,blue,0.33333333333333337,1
Age,blue,0.33333333333333337,0.9333333333333333
Age,blue,0.33333333333333337,0.8666666666666667
Age,blue,0.2666666666666667,0.8666666666666667
Age,blue,0.2666666666666667,0.8
Age,blue,0.19999999999999996,0.8
Age,blue,0.1333333333333333,0.8
Age,blue,0.1333333333333333,0.7333333333333333
Age,blue,0.1333333333333333,0.6666666666666666
Age,blue,0.1333333333333333,0.6
Age,blue,0.06666666666666665,0.6
Age,blue,0.06666666666666665,0.5333333333333333
Age,blue,0.06666666666666665,0.4666666666666667
Age,blue,0.06666666666666665,0.4
Age,blue,0.06666666666666665,0.3333333333333333
Age,blue,0,0.3333333333333333
Age,blue,0,0.26666666666666666
Age,blue,0,0.2
Age,blue,0,0.13333333333333333
Age,blue,0,0.06666666666666667
Age,blue,0,0
Age,brown,1,1
Age,brown,0.9333333333333333,1
Age,brown,0.8666666666666667,1
Age,brown,0.8,1
Age,brown,0.8,0.9333333333333333
Age,brown,0.8,0.8666666666666667
Age,brown,0.7333333333333334,0.8666666666666667
Age,brown,0.6666666666666667,0.8666666666666667
Age,brown,0.6,0.8666666666666667
Age,brown,0.5333333333333333,0.8666666666666667
Age,brown,0.4666666666666667,0.8666666666666667
Age,brown,0.4,0.8666666666666667
Age,brown,0.33333333333333337,0.8666666666666667
Age,brown,0.33333333333333337,0.8
Age,brown,0.2666666666666667,0.8
Age,brown,0.2666666666666667,0.7333333333333333
Age,brown,0.2666666666666667,0.6666666666666666
Age,brown,0.19999999999999996,0.6666666666666666
Age,brown,0.19999999999999996,0.6
Age,brown,0.1333333333333333,0.6
Age,brown,0.06666666666666665,0.6
Age,brown,0.06666666666666665,0.5333333333333333
Age,brown,0.06666666666666665,0.4666666666666667
Age,brown,0.06666666666666665,0.4
Age,brown,0.06666666666666665,0.3333333333333333
Age,brown,0.06666666666666665,0.26666666666666666
Age,brown,0.06666666666666665,0.2
Age,brown,0.06666666666666665,0.13333333333333333
Age,brown,0.06666666666666665,0.06666666666666667
Age,brown,0,0.06666666666666667
Age,brown,0,0
Age,yellow,1,1
Age,yellow,1,0.9333333333333333
Age,yellow,1,0.8666666666666667
Age,yellow,0.9333333333333333,0.8666666666666667
Age,yellow,0.9333333333333333,0.8
Age,yellow,0.9333333333333333,0.7333333333333333
Age,yellow,0.9333333333333333,0.6666666666666666
Age,yellow,0.8666666666666667,0.6666666666666666
Age,yellow,0.8666666666666667,0.6
Age,yellow,0.8,0.6
Age,yellow,0.8,0.5333333333333333
Age,yellow,0.7333333333333334,0.5333333333333333
Age,yellow,0.6666666666666667,0.5333333333333333
Age,yellow,0.6,0.5333333333333333
Age,yellow,0.5333333333333333,0.5333333333333333
Age,yellow,0.4666666666666667,0.5333333333333333
Age,yellow,0.4,0.5333333333333333
Age,yellow,0.33333333333333337,0.5333333333333333
Age,yellow,0.2666666666666667,0.5333333333333333
Age,yellow,0.2666666666666667,0.4666666666666667
Age,yellow,0.19999999999999996,0.4666666666666667
Age,yellow,0.19999999999999996,0.4
Age,yellow,0.19999999999999996,0.3333333333333333
Age,yellow,0.1333333333333333,0.3333333333333333
Age,yellow,0.06666666666666665,0.3333333333333333
Age,yellow,0,0.3333333333333333
Age,yellow,0,0.26666666666666666
Age,yellow,0,0.2
Age,yellow,0,0.13333333333333333
Age,yellow,0,0.06666666666666667
Age,yellow,0,0
Age,green,1,1
Age,green,0.9333333333333333,1
Age,green,0.8666666666666667,1
Age,green,0.8666666666666667,0.9333333333333333
Age,green,0.8,0.9333333333333333
Age,green,0.7333333333333334,0.9333333333333333
Age,green,0.6666666666666667,0.9333333333333333
Age,green,0.6,0.9333333333333333
Age,green,0.6,0.8666666666666667
Age,green,0.5333333333333333,0.8666666666666667
Age,green,0.5333333333333333,0.8
Age,green,0.4666666666666667,0.8
Age,green,0.4666666666666667,0.7333333333333333
Age,green,0.4,0.7333333333333333
Age,green,0.4,0.6666666666666666
Age,green,0.33333333333333337,0.6666666666666666
Age,green,0.2666666666666667,0.6666666666666666
Age,green,0.19999999999999996,0.6666666666666666
Age,green,0.19999999999999996,0.6
Age,green,0.19999999999999996,0.5333333333333333
Age,green,0.19999999999999996,0.4666666666666667
Age,green,0.1333333333333333,0.4666666666666667
Age,green,0.1333333333333333,0.4
Age,green,0.1333333333333333,0.3333333333333333
Age,green,0.1333333333333333,0.26666666666666666
Age,green,0.1333333333333333,0.2
Age,green,0.06666666666666665,0.2
Age,green,0,0.2
Age,green,0,0.13333333333333333
Age,green,0,0.06666666666666667
Age,green,0,0
Age,red,1,1
Age,red,0.9333333333333333,1
Age,red,0.8666666666666667,1
Age,red,0.8,1
Age,red,0.7333333333333334,1
Age,red,0.6666666666666667,1
Age,red,0.6666666666666667,0.9333333333333333
Age,red,0.6,0.9333333333333333
Age,red,0.6,0.8666666666666667
Age,red,0.5333333333333333,0.8666666666666667
Age,red,0.4666666666666667,0.8666666666666667
Age,red,0.4666666666666667,0.8
Age,red,0.4,0.8
Age,red,0.33333333333333337,0.8
Age,red,0.33333333333333337,0.7333333333333333
Age,red,0.2666666666666667,0.7333333333333333
Age,red,0.2666666666666667,0.6666666666666666
Age,red,0.19999999999999996,0.6666666666666666
Age,red,0.19999999999999996,0.6
Age,red,0.19999999999999996,0.5333333333333333
Age,red,0.19999999999999996,0.4666666666666667
Age,red,0.19999999999999996,0.4
Age,red,0.19999999999999996,0.3333333333333333
Age,red,0.1333333333333333,0.3333333333333333
Age,red,0.1333333333333333,0.26666666666666666
Age,red,0.1333333333333333,0.2
Age,red,0.1333333333333333,0.13333333333333333
Age,red,0.1333333333333333,0.06666666666666667
Age,red,0.1333333333333333,0
Age,red,0.06666666666666665,0
Age,red,0,0
Age,black,1,1
Age,black,0.9333333333333333,1
Age,black,0.9333333333333333,0.9333333333333333
Age,black,0.8666666666666667,0.9333333333333333
Age,black,0.8,0.9333333333333333
Age,black,0.8,0.8666666666666667
Age,black,0.7333333333333334,0.8666666666666667
Age,black,0.6666666666666667,0.8666666666666667
Age,black,0.6,0.8666666666666667
Age,black,0.5333333333333333,0.8666666666666667
Age,black,0.5333333333333333,0.8
Age,black,0.4666666666666667,0.8
Age,black,0.4,0.8
Age,black,0.33333333333333337,0.8
Age,black,0.33333333333333337,0.7333333333333333
Age,black,0.2666666666666667,0.7333333333333333
Age,black,0.2666666666666667,0.6666666666666666
Age,black,0.2666666666666667,0.6
Age,black,0.19999999999999996,0.6
Age,black,0.19999999999999996,0.5333333333333333
Age,black,0.19999999999999996,0.4666666666666667
Age,black,0.19999999999999996,0.4
Age,black,0.1333333333333333,0.4
Age,black,0.1333333333333333,0.3333333333333333
Age,black,0.1333333333333333,0.26666666666666666
Age,black,0.06666666666666665,0.26666666666666666
Age,black,0.06666666666666665,0.2
Age,black,0,0.2
Age,black,0,0.13333333333333333
Age,black,0,0.06666666666666667
Age,black,0,0
Age,pink,1,1
Age,pink,1,0.9333333333333333
Age,pink,0.9333333333333333,0.9333333333333333
Age,pink,0.8666666666666667,0.9333333333333333
Age,pink,0.8666666666666667,0.8666666666666667
Age,pink,0.8666666666666667,0.8
Age,pink,0.8666666666666667,0.7333333333333333
Age,pink,0.8,0.7333333333333333
Age,pink,0.7333333333333334,0.7333333333333333
Age,pink,0.7333333333333334,0.6666666666666666
Age,pink,0.6666666666666667,0.6666666666666666
Age,pink,0.6666666666666667,0.6
Age,pink,0.6,0.6
Age,pink,0.6,0.5333333333333333
Age,pink,0.5333333333333333,0.5333333333333333
Age,pink,0.4666666666666667,0.5333333333333333
Age,pink,0.4,0.5333333333333333
Age,pink,0.33333333333333337,0.5333333333333333
Age,pink,0.2666666666666667,0.5333333333333333
Age,pink,0.2666666666666667,0.4666666666666667
Age,pink,0.2666666666666667,0.4
Age,pink,0.19999999999999996,0.4
Age,pink,0.1333333333333333,0.4
Age,pink,0.06666666666666665,0.4
Age,pink,0.06666666666666665,0.3333333333333333
Age,pink,0.06666666666666665,0.26666666666666666
Age,pink,0.06666666666666665,0.2
Age,pink,0.06666666666666665,0.13333333333333333
Age,pink,0.06666666666666665,0.06666666666666667
Age,pink,0,0.06666666666666667
Age,pink,0,0
ΔVL-responder,turquoise,1,1
ΔVL-responder,turquoise,0.9333333333333333,1
ΔVL-responder,turquoise,0.9333333333333333,0.9333333333333333
ΔVL-responder,turquoise,0.8666666666666667,0.9333333333333333
ΔVL-responder,turquoise,0.8,0.9333333333333333
ΔVL-responder,turquoise,0.8,0.8666666666666667
ΔVL-responder,turquoise,0.8,0.8
ΔVL-responder,turquoise,0.7333333333333334,0.8
ΔVL-responder,turquoise,0.6666666666666667,0.8
ΔVL-responder,turquoise,0.6666666666666667,0.7333333333333333
ΔVL-responder,turquoise,0.6,0.7333333333333333
ΔVL-responder,turquoise,0.5333333333333333,0.7333333333333333
ΔVL-responder,turquoise,0.4666666666666667,0.7333333333333333
ΔVL-responder,turquoise,0.4,0.7333333333333333
ΔVL-responder,turquoise,0.4,0.6666666666666666
ΔVL-responder,turquoise,0.33333333333333337,0.6666666666666666
ΔVL-responder,turquoise,0.2666666666666667,0.6666666666666666
ΔVL-responder,turquoise,0.2666666666666667,0.6
ΔVL-responder,turquoise,0.2666666666666667,0.5333333333333333
ΔVL-responder,turquoise,0.2666666666666667,0.4666666666666667
ΔVL-responder,turquoise,0.2666666666666667,0.4
ΔVL-responder,turquoise,0.2666666666666667,0.3333333333333333
ΔVL-responder,turquoise,0.19999999999999996,0.3333333333333333
ΔVL-responder,turquoise,0.1333333333333333,0.3333333333333333
ΔVL-responder,turquoise,0.06666666666666665,0.3333333333333333
ΔVL-responder,turquoise,0.06666666666666665,0.26666666666666666
ΔVL-responder,turquoise,0.06666666666666665,0.2
ΔVL-responder,turquoise,0.06666666666666665,0.13333333333333333
ΔVL-responder,turquoise,0.06666666666666665,0.06666666666666667
ΔVL-responder,turquoise,0.06666666666666665,0
ΔVL-responder,turquoise,0,0
ΔVL-responder,blue,1,1
ΔVL-responder,blue,0.9333333333333333,1
ΔVL-responder,blue,0.8666666666666667,1
ΔVL-responder,blue,0.8666666666666667,0.9333333333333333
ΔVL-responder,blue,0.8666666666666667,0.8666666666666667
ΔVL-responder,blue,0.8666666666666667,0.8
ΔVL-responder,blue,0.8666666666666667,0.7333333333333333
ΔVL-responder,blue,0.8666666666666667,0.6666666666666666
ΔVL-responder,blue,0.8666666666666667,0.6
ΔVL-responder,blue,0.8,0.6
ΔVL-responder,blue,0.7333333333333334,0.6
ΔVL-responder,blue,0.6666666666666667,0.6
ΔVL-responder,blue,0.6,0.6
ΔVL-responder,blue,0.5333333333333333,0.6
ΔVL-responder,blue,0.5333333333333333,0.5333333333333333
ΔVL-responder,blue,0.4666666666666667,0.5333333333333333
ΔVL-responder,blue,0.4666666666666667,0.4666666666666667
ΔVL-responder,blue,0.4666666666666667,0.4
ΔVL-responder,blue,0.4666666666666667,0.3333333333333333
ΔVL-responder,blue,0.4,0.3333333333333333
ΔVL-responder,blue,0.33333333333333337,0.3333333333333333
ΔVL-responder,blue,0.2666666666666667,0.3333333333333333
ΔVL-responder,blue,0.19999999999999996,0.3333333333333333
ΔVL-responder,blue,0.19999999999999996,0.26666666666666666
ΔVL-responder,blue,0.19999999999999996,0.2
ΔVL-responder,blue,0.19999999999999996,0.13333333333333333
ΔVL-responder,blue,0.19999999999999996,0.06666666666666667
ΔVL-responder,blue,0.1333333333333333,0.06666666666666667
ΔVL-responder,blue,0.06666666666666665,0.06666666666666667
ΔVL-responder,blue,0,0.06666666666666667
ΔVL-responder,blue,0,0
ΔVL-responder,brown,1,1
ΔVL-responder,brown,0.9333333333333333,1
ΔVL-responder,brown,0.8666666666666667,1
ΔVL-responder,brown,0.8,1
ΔVL-responder,brown,0.7333333333333334,1
ΔVL-responder,brown,0.6666666666666667,1
ΔVL-responder,brown,0.6666666666666667,0.9333333333333333
ΔVL-responder,brown,0.6,0.9333333333333333
ΔVL-responder,brown,0.6,0.8666666666666667
ΔVL-responder,brown,0.6,0.8
ΔVL-responder,brown,0.6,0.7333333333333333
ΔVL-responder,brown,0.6,0.6666666666666666
ΔVL-responder,brown,0.5333333333333333,0.6666666666666666
ΔVL-responder,brown,0.4666666666666667,0.6666666666666666
ΔVL-responder,brown,0.4,0.6666666666666666
ΔVL-responder,brown,0.4,0.6
ΔVL-responder,brown,0.4,0.5333333333333333
ΔVL-responder,brown,0.33333333333333337,0.5333333333333333
ΔVL-responder,brown,0.2666666666666667,0.5333333333333333
ΔVL-responder,brown,0.19999999999999996,0.5333333333333333
ΔVL-responder,brown,0.19999999999999996,0.4666666666666667
ΔVL-responder,brown,0.19999999999999996,0.4
ΔVL-responder,brown,0.19999999999999996,0.3333333333333333
ΔVL-responder,brown,0.19999999999999996,0.26666666666666666
ΔVL-responder,brown,0.19999999999999996,0.2
ΔVL-responder,brown,0.1333333333333333,0.2
