gene,pathway,database,cluster,theme
PDLIM1,Actomyosin Structure Organization,GO:BP,C1,Other
DDX3X,Membraneless Organelle Assembly,GO:BP,C1,Other
SYNM,Muscle System Process,GO Slim,C1,Muscle Structure & Myogenesis
ARPC2,Apical Junction,Hallmark,C1,Other
TCAP,Striated Muscle Contraction,Reactome,C1,Muscle Structure & Myogenesis
EIF3D,Cytoplasmic Translation,GO Slim,C1,Other
DENR,Cytoplasmic Translation,GO Slim,C1,Other
ACTN4,Muscle Cell Differentiation,GO:BP,C1,Muscle Structure & Myogenesis
LDB3,Myofibril Assembly,GO:BP,C1,Muscle Structure & Myogenesis
CSDE1,Cytoplasmic Translation,GO Slim,C1,Other
PRKRA,Ribonucleoprotein Complex Biogenesis,GO:BP,C1,Other
SVIL,Muscle Organ Development,GO:BP,C1,Muscle Structure & Myogenesis
LSM8,Mrna Splicing,Reactome,C1,Other
COL1A1,Myogenesis,Hallmark,C1,Muscle Structure & Myogenesis
COL3A1,Muscle Organ Development,GO:BP,C1,Muscle Structure & Myogenesis
COL4A1,Ecm Proteoglycans,Reactome,C1,Other
LMNA,Muscle Cell Differentiation,GO:BP,C1,Muscle Structure & Myogenesis
TNNC2,Striated Muscle Contraction,Reactome,C1,Muscle Structure & Myogenesis
VWF,Integrin Cell Surface Interactions,Reactome,C1,ECM & Tissue Remodeling
EIF2S1,Response Of Eif2ak4 Gcn2 To Amino Acid Deficiency,Reactome,C1,Other
RPLP1,Response Of Eif2ak4 Gcn2 To Amino Acid Deficiency,Reactome,C1,Other
RPLP2,Response Of Eif2ak4 Gcn2 To Amino Acid Deficiency,Reactome,C1,Other
RPLP0,Response Of Eif2ak4 Gcn2 To Amino Acid Deficiency,Reactome,C1,Other
SSB,Regulation Of Translation,GO:BP,C1,Other
MYL1,Striated Muscle Contraction,Reactome,C1,Muscle Structure & Myogenesis
NPM1,Membraneless Organelle Assembly,GO:BP,C1,Other
TPM3,Striated Muscle Contraction,Reactome,C1,Muscle Structure & Myogenesis
TPM2,Striated Muscle Contraction,Reactome,C1,Muscle Structure & Myogenesis
COL1A2,Ecm Proteoglycans,Reactome,C1,Other
CTSG,Extracellular Matrix Organization,GO Slim,C1,ECM & Tissue Remodeling
COL4A2,Myogenesis,Hallmark,C1,Muscle Structure & Myogenesis
MYL3,Striated Muscle Contraction,Reactome,C1,Muscle Structure & Myogenesis
VIM,Striated Muscle Contraction,Reactome,C1,Muscle Structure & Myogenesis
RPS17,Response Of Eif2ak4 Gcn2 To Amino Acid Deficiency,Reactome,C1,Other
RPSA,Response Of Eif2ak4 Gcn2 To Amino Acid Deficiency,Reactome,C1,Other
SNRPA,Mrna Splicing,Reactome,C1,Other
LGALS1,Epithelial Mesenchymal Transition,Hallmark,C1,ECM & Tissue Remodeling
TPM1,Striated Muscle Contraction,Reactome,C1,Muscle Structure & Myogenesis
HMOX1,Muscle System Process,GO Slim,C1,Muscle Structure & Myogenesis
PARP1,Muscle System Process,GO Slim,C1,Muscle Structure & Myogenesis
CALM1,Muscle Contraction,Reactome,C1,Muscle Structure & Myogenesis
MYL2,Striated Muscle Contraction,Reactome,C1,Muscle Structure & Myogenesis
LAMC1,Muscle Cell Differentiation,GO:BP,C1,Muscle Structure & Myogenesis
MYH3,Striated Muscle Contraction,Reactome,C1,Muscle Structure & Myogenesis
DBT,Metabolism Of Amino Acids And Derivatives,Reactome,C1,Metabolic & Redox Regulation
COL6A1,Muscle Cell Differentiation,GO:BP,C1,Muscle Structure & Myogenesis
COL6A2,Myogenesis,Hallmark,C1,Muscle Structure & Myogenesis
COL6A3,Muscle Organ Development,GO:BP,C1,Muscle Structure & Myogenesis
ACTN1,Muscle Cell Differentiation,GO:BP,C1,Muscle Structure & Myogenesis
MYH1,Myogenesis,Hallmark,C1,Muscle Structure & Myogenesis
MYH7,Muscle Organ Development,GO:BP,C1,Muscle Structure & Myogenesis
MYH8,Striated Muscle Contraction,Reactome,C1,Muscle Structure & Myogenesis
TNNT1,Striated Muscle Contraction,Reactome,C1,Muscle Structure & Myogenesis
NID1,Muscle Cell Differentiation,GO:BP,C1,Muscle Structure & Myogenesis
MYL6B,Muscle Organ Development,GO:BP,C1,Muscle Structure & Myogenesis
HNRNPL,Mrna Splicing,Reactome,C1,Other
DES,Striated Muscle Contraction,Reactome,C1,Muscle Structure & Myogenesis
RPL7,Response Of Eif2ak4 Gcn2 To Amino Acid Deficiency,Reactome,C1,Other
RPL17,Response Of Eif2ak4 Gcn2 To Amino Acid Deficiency,Reactome,C1,Other
TNNI1,Striated Muscle Contraction,Reactome,C1,Muscle Structure & Myogenesis
NCL,Rrna Processing,Reactome,C1,Other
EIF2S2,Response Of Eif2ak4 Gcn2 To Amino Acid Deficiency,Reactome,C1,Other
PVALB,Myogenesis,Hallmark,C1,Muscle Structure & Myogenesis
CAPN3,Myofibril Assembly,GO:BP,C1,Muscle Structure & Myogenesis
NEB,Striated Muscle Contraction,Reactome,C1,Muscle Structure & Myogenesis
BGN,Ecm Proteoglycans,Reactome,C1,Other
TGM2,Epithelial Mesenchymal Transition,Hallmark,C1,ECM & Tissue Remodeling
HNRNPA2B1,Mrna Splicing,Reactome,C1,Other
SFPQ,RNA Splicing Via Transesterification Reactions,GO:BP,C1,Other
LAMA2,Muscle Cell Differentiation,GO:BP,C1,Muscle Structure & Myogenesis
MYL9,Myofibril Assembly,GO:BP,C1,Muscle Structure & Myogenesis
RPS12,Response Of Eif2ak4 Gcn2 To Amino Acid Deficiency,Reactome,C1,Other
RPL13,Response Of Eif2ak4 Gcn2 To Amino Acid Deficiency,Reactome,C1,Other
RPL10,Response Of Eif2ak4 Gcn2 To Amino Acid Deficiency,Reactome,C1,Other
TMOD1,Striated Muscle Contraction,Reactome,C1,Muscle Structure & Myogenesis
COL4A5,Signaling By Robo Receptors,Reactome,C1,Intracellular Transport & Signaling
RPL12,Response Of Eif2ak4 Gcn2 To Amino Acid Deficiency,Reactome,C1,Other
HNRNPH3,RNA Splicing Via Transesterification Reactions,GO:BP,C1,Other
HNRNPH1,Mrna Splicing,Reactome,C1,Other
RPL22,Response Of Eif2ak4 Gcn2 To Amino Acid Deficiency,Reactome,C1,Other
FBN1,Integrin Cell Surface Interactions,Reactome,C1,ECM & Tissue Remodeling
