module,delta_VL,delta_LBM
MEgreen,-0.6932169701367423,0.02875595412864848
MEpink,0.01729574092234935,0.38221648346042736
MEturquoise,-0.0707698489233261,0.11621006770952921
MEred,0.41401891409259894,-0.17169923922991226
MEyellow,0.18769731069295736,-0.084846333676463645
MEbrown,-0.008382119752836106,-0.6164715695285108
MEblack,0.037529241361745284,-0.21230362625776353
MEpurple,-0.05149122545612088,0.15154718844456724
MEblue,0.2723236957164833,0.27882896057970297
MEmagenta,0.08582506435778704,0.20557191567568728
MEgrey,-0.020707220236021843,0.11418235237805645
