module,age_num,time_num,interaction,VL_thick_cm,DXA_LBM_kg,BMI,Type_I_fCSA,Type_II_fCSA,deadlift_1rm_kg
MEgreen,0.28201506856190484,-0.19584535001991013,0.18456658719824698,-0.00789179909224667,0.16831087393466493,-0.10637473431501017,0.24528605933490308,-0.0365095604545299,-0.13839175689941544
MEpink,-0.06492784512028742,0.11602667634775002,-0.015144290390396421,0.08146736142184675,0.13764356875052938,-0.1255505937062716,0.11090886739124962,0.15484391161019706,0.054800535721932137
MEturquoise,0.7060607309774848,-0.06114510119286331,0.3702516471204442,-0.2800742021980195,0.015463458259561523,0.27529321186202693,0.009672449710800172,-0.35755915478109446,-0.3135636471776502
MEred,-0.051046819846165555,0.04703735806930726,-0.025507241500850236,0.00847969904946204,0.12648954109458863,0.2910720751643495,-0.0985633712222094,0.0034356565506041235,0.08095408779450823
MEyellow,-0.12092245278953645,-0.23994186492413944,-0.21991461140875684,0.030853391244902245,-0.12793930381001306,0.1165161363016856,-0.046344637761332096,0.12584409207489036,0.16904169135866848
MEbrown,-0.43435988305225864,-0.11210575433055692,-0.2365940497371525,0.37988737596152783,0.09508743878724658,-0.14742716404781542,0.14836285424463386,0.3816734795595147,0.2165800668602764
MEblack,-0.3393925491680884,0.13662579060671032,-0.09444691464846962,0.22779895389656699,-0.03581115900451409,-0.2367666911760136,-0.1055560184978253,0.08266761029113807,0.014295766414085512
MEpurple,-0.2889228127939472,0.17442357041845694,0.003934420921771435,0.08684194663032743,0.06982100249888744,-0.09915887822900758,-0.04508512300273788,0.027933508389605594,-0.09234178159635946
MEblue,-0.47202155631924936,0.4335990318818072,-0.13220680075723967,0.0786630205791862,-0.0439864637193939,-0.33869218535414863,-0.19264103118815493,0.07365311431044427,0.16494525293083478
MEmagenta,-0.6961380226967011,0.03171641696786904,-0.4390224406933904,0.19829405342992085,0.056000710062585654,-0.3024625776902409,0.12315974693108556,0.4357015686499645,0.238968686400316
MEgrey,0.3685279718741758,-0.31909585782296823,0.032927980593428455,-0.32737387808632473,-0.25799184386380564,0.10614437088616496,0.017978653030972673,-0.27309566362729853,-0.16245437691603926
