pathway,pval,padj,foldEnrichment,overlap,size,database,odds_ratio,module,Description,geneID,Count,p.adjust,ID
GOBP_RIBOSE_PHOSPHATE_BIOSYNTHETIC_PROCESS,8.043106876419078e-20,6.149883257815819e-18,5.208484691229891,38,94,GO:BP,10.194727891156463,green,Ribose Phosphate Biosynthetic Process,MT-ND1/MT-ND3/NDUFA1/NDUFA10/NDUFA12/NDUFA13/NDUFA2/NDUFA3/NDUFA5/NDUFA6/NDUFA7/NDUFA8/NDUFA9/NDUFAB1/NDUFB1/NDUFB10/NDUFB11/NDUFB3/NDUFB4/NDUFB5/NDUFB6/NDUFB7/NDUFB8/NDUFB9/NDUFC2/NDUFS1/NDUFS2/NDUFS3/NDUFS4/NDUFS5/NDUFS6/NDUFS7/NDUFS8/NDUFV1/NDUFV2/NDUFV3/SLC25A13/STOML2,38,6.149883257815819e-18,GOBP_RIBOSE_PHOSPHATE_BIOSYNTHETIC_PROCESS
KEGG_MEDICUS_REFERENCE_ELECTRON_TRANSFER_IN_COMPLEX_IV,1.2138489244075516e-17,3.186353426569823e-17,12.884146341463415,15,15,KEGG,Inf,green,Reference Electron Transfer In Complex Iv,COX4I1/COX5A/COX5B/COX6A2/COX6B1/COX6C/COX7A1/COX7A2/COX7A2L/COX7B/COX7C/COX8A/MT-CO1/MT-CO2/MT-CO3,15,3.186353426569823e-17,KEGG_MEDICUS_REFERENCE_ELECTRON_TRANSFER_IN_COMPLEX_IV
GOBP_MITOCHONDRION_ORGANIZATION,1.1383986307635593e-18,7.543788259859853e-17,4.03177368508379,46,147,GO:BP,7.132740392683336,green,Mitochondrion Organization,ATAD3A/CHCHD2/CHCHD3/COA6/COX17/COX7A1/COX7A2/COX7A2L/DNAJA3/DNAJC11/GHITM/IMMT/MCU/MFN1/MT-ND1/MTCH2/MTX2/NDUFA13/NDUFA6/NDUFB3/NDUFC2/NDUFS1/NDUFS2/NDUFS3/NDUFS4/NDUFS5/NDUFS6/NDUFS7/NDUFS8/PHB2/PNPT1/RALA/SAMM50/SMIM20/STOML2/SUPV3L1/TIMM21/TIMM8A/TIMM8B/TMEM11/TMEM126A/TOMM22/TOMM40/TOMM5/UQCRFS1/VDAC2,46,7.543788259859853e-17,GOBP_MITOCHONDRION_ORGANIZATION
GOBP_MITOCHONDRIAL_ELECTRON_TRANSPORT_CYTOCHROME_C_TO_OXYGEN,1.3681803825083836e-17,7.99983117772549e-16,12.12625538020086,16,17,GO:BP,210.59459459459458,green,Mitochondrial Electron Transport Cytochrome C To Oxygen,COX4I1/COX5A/COX5B/COX6A2/COX6B1/COX6C/COX7A1/COX7A2/COX7A2L/COX7B/COX7C/COX8A/CYCS/MT-CO1/MT-CO2/MT-CO3,16,7.99983117772549e-16,GOBP_MITOCHONDRIAL_ELECTRON_TRANSPORT_CYTOCHROME_C_TO_OXYGEN
GOBP_ATP_METABOLIC_PROCESS,3.8885695762056903e-16,2.0343358730255034e-14,4.118702518992403,39,122,GO:BP,7.014361445783132,green,ATP Metabolic Process,MT-ND1/MT-ND3/MTCH2/NDUFA1/NDUFA10/NDUFA12/NDUFA13/NDUFA2/NDUFA3/NDUFA5/NDUFA6/NDUFA7/NDUFA8/NDUFA9/NDUFAB1/NDUFB1/NDUFB10/NDUFB11/NDUFB3/NDUFB4/NDUFB5/NDUFB6/NDUFB7/NDUFB8/NDUFB9/NDUFC2/NDUFS1/NDUFS2/NDUFS3/NDUFS4/NDUFS5/NDUFS6/NDUFS7/NDUFS8/NDUFV1/NDUFV2/NDUFV3/SLC25A13/STOML2,39,2.0343358730255034e-14,GOBP_ATP_METABOLIC_PROCESS
GOBP_MITOCHONDRIAL_RESPIRATORY_CHAIN_COMPLEX_ASSEMBLY,1.6522273540251424e-15,7.820542809052341e-14,6.891520136131595,23,43,GO:BP,15.732978723404255,green,Mitochondrial Respiratory Chain Complex Assembly,COA6/COX17/COX7A1/COX7A2/COX7A2L/MT-ND1/NDUFA13/NDUFA6/NDUFB3/NDUFC2/NDUFS1/NDUFS2/NDUFS3/NDUFS4/NDUFS5/NDUFS6/NDUFS7/NDUFS8/SAMM50/SMIM20/TIMM21/TMEM126A/UQCRFS1,23,7.820542809052341e-14,GOBP_MITOCHONDRIAL_RESPIRATORY_CHAIN_COMPLEX_ASSEMBLY
REACTOME_COMPLEX_IV_ASSEMBLY,1.2711670190988675e-15,9.883323573493695e-14,9.276585365853657,18,25,Reactome,34.20352250489237,green,Complex Iv Assembly,COX17/COX4I1/COX5A/COX5B/COX6A2/COX6B1/COX6C/COX7A1/COX7A2/COX7A2L/COX7B/COX7C/COX8A/MT-CO1/MT-CO2/MT-CO3/SMIM20/TIMM21,18,9.883323573493695e-14,REACTOME_COMPLEX_IV_ASSEMBLY
REACTOME_CYTOPROTECTION_BY_HMOX1,4.2575704123401483e-14,2.6482087964755722e-12,9.37028824833703,16,22,Reactome,35.009009009009006,green,Cytoprotection By Hmox1,COX4I1/COX5A/COX5B/COX6A2/COX6B1/COX6C/COX7A1/COX7A2/COX7A2L/COX7B/COX7C/COX8A/CYCS/MT-CO1/MT-CO2/MT-CO3,16,2.6482087964755722e-12,REACTOME_CYTOPROTECTION_BY_HMOX1
GOBP_NADH_DEHYDROGENASE_COMPLEX_ASSEMBLY,8.533288911045602e-12,3.5342038239913867e-10,8.052591463414634,15,24,GO:BP,21.700223713646533,green,NADH Dehydrogenase Complex Assembly,MT-ND1/NDUFA13/NDUFA6/NDUFB3/NDUFC2/NDUFS1/NDUFS2/NDUFS3/NDUFS4/NDUFS5/NDUFS6/NDUFS7/NDUFS8/TIMM21/TMEM126A,15,3.5342038239913867e-10,GOBP_NADH_DEHYDROGENASE_COMPLEX_ASSEMBLY
GOBP_NUCLEOTIDE_METABOLIC_PROCESS,6.184053251925252e-11,2.45877957296548e-9,2.7563099138454072,43,201,GO:BP,4.02829793911497,green,Nucleotide Metabolic Process,MFN1/MPP1/MT-ND1/MT-ND3/MTCH2/NDUFA1/NDUFA10/NDUFA12/NDUFA13/NDUFA2/NDUFA3/NDUFA5/NDUFA6/NDUFA7/NDUFA8/NDUFA9/NDUFAB1/NDUFB1/NDUFB10/NDUFB11/NDUFB3/NDUFB4/NDUFB5/NDUFB6/NDUFB7/NDUFB8/NDUFB9/NDUFC2/NDUFS1/NDUFS2/NDUFS3/NDUFS4/NDUFS5/NDUFS6/NDUFS7/NDUFS8/NDUFV1/NDUFV2/NDUFV3/NUDT16/SLC25A12/SLC25A13/STOML2,43,2.45877957296548e-9,GOBP_NUCLEOTIDE_METABOLIC_PROCESS
