module,delta_VL,delta_LBM
MEgreen,0.5791285794421094,0.7885240997198533
MEpink,0.5791285794421094,0.8071844352240202
MEturquoise,0.5791285794421094,0.7885240997198533
MEred,0.5791285794421094,0.7036927964879034
MEyellow,0.5791285794421094,0.7036927964879034
MEbrown,0.8125899266096144,0.7885240997198533
MEblack,0.8125899266096144,0.7885240997198533
MEpurple,0.8125899266096144,0.7036927964879034
MEblue,0.8125899266096144,0.8071844352240202
MEmagenta,0.5791285794421094,0.7301250990264396
MEgrey,0.3047518146783414,0.8071844352240202
