module,uniprot_id,gene,kME,kME_ci_lo,kME_ci_hi,kME_p,GS_pheno,GS,GS_ci_lo,GS_ci_hi,GS_p,GS_n
blue,P11142,HSPA8,0.8049,0.6948,0.8781,3.199566280638614e-15,"Age (Young=0, Old=1)",-0.4671,-0.642,-0.2461,1.2934930270087493e-4,62
blue,Q16082,HSPB2,0.7471,0.6115,0.8401,3.086706097855339e-12,"Age (Young=0, Old=1)",-0.3378,-0.5419,-0.0962,0.007247819219540452,62
blue,Q14974,KPNB1,0.7974,0.6838,0.8732,8.820767785512758e-15,"Age (Young=0, Old=1)",-0.67,-0.7879,-0.5047,2.594636684798993e-9,62
blue,P10636,MAPT,0.7924,0.6766,0.87,1.6851872124295726e-14,"Age (Young=0, Old=1)",-0.5752,-0.7213,-0.3801,1.0074891334037412e-6,62
blue,P26038,MSN,0.8918,0.826,0.9336,2.457292979921057e-22,"Age (Young=0, Old=1)",-0.5188,-0.6804,-0.3091,1.5618579564667483e-5,62
blue,E9PAV3,NACA,0.7557,0.6237,0.8458,1.2542029366735615e-12,"Age (Young=0, Old=1)",-0.6239,-0.7559,-0.4432,6.037858382946257e-8,62
blue,P35998,PSMC2,0.7437,0.6066,0.8378,4.365826540775685e-12,"Age (Young=0, Old=1)",-0.637,-0.7651,-0.4605,2.6039228981859128e-8,62
blue,Q00765,REEP5,0.8783,0.8051,0.9251,6.885613391483494e-21,"Age (Young=0, Old=1)",-0.4649,-0.6403,-0.2434,1.4093577575091754e-4,62
blue,Q99584,S100A13,0.7676,0.6407,0.8537,3.3695038545870385e-13,"Age (Young=0, Old=1)",-0.2739,-0.4901,-0.0259,0.031248411907856325,62
blue,P06703,S100A6,0.7473,0.6117,0.8402,3.0364398639078217e-12,"Age (Young=0, Old=1)",-0.3549,-0.5554,-0.1154,0.004649402655539719,62
blue,P68363,TUBA1B,0.7894,0.6722,0.8681,2.4660133991197212e-14,"Age (Young=0, Old=1)",-0.198,-0.4267,0.0544,0.12283520130682898,62
blue,P07437,TUBB,0.7852,0.6661,0.8653,4.185489155531154e-14,"Age (Young=0, Old=1)",-0.2152,-0.4412,0.0365,0.09303198913417825,62
blue,P55072,VCP,0.758,0.6269,0.8473,9.814024599780554e-13,"Age (Young=0, Old=1)",-0.5334,-0.6911,-0.3272,8.062310562640973e-6,62
brown,O14983,ATP2A1,0.8084,0.6999,0.8804,1.962542414337614e-15,"Age (Young=0, Old=1)",-0.2175,-0.4432,0.0341,0.08942666122440203,62
brown,Q93084,ATP2A3,0.7667,0.6394,0.8531,3.742471567808315e-13,"Age (Young=0, Old=1)",-0.3661,-0.5642,-0.128,0.0034337826834600666,62
brown,P63241,EIF5A,0.7672,0.64,0.8534,3.56304451503539e-13,"Age (Young=0, Old=1)",0.0709,-0.1821,0.3151,0.5837409623855117,62
brown,P10768,ESD,0.7604,0.6304,0.8489,7.543201973669466e-13,"Age (Young=0, Old=1)",-0.2124,-0.4389,0.0395,0.09749911014068183,62
