quadrant,max_neg_log10_pvalue,n_hotspot_genes,n_ora_pathways,matrix_rows,matrix_cols,n_shared_genes
Concordant_Up,34.06,591,101,108,108,2101
Concordant_Down,30.19,349,4,108,108,2101
Discordant_YoungUp_OldDown,3.32,0,0,108,108,2101
Discordant_YoungDown_OldUp,0.33,1,0,108,108,2101
