quadrant,gene
UU,MSN
UU,VARS1
UU,DYNC1H1
UU,RPS11
UU,GLRX3
UU,ALDH1B1
UU,FARSB
UU,CCT6A
UU,S100A4
UU,DYNLT1
UU,S100A13
UU,DYNC1LI1
UU,PSME1
UU,USP9X
UU,DYNC1I2
UU,CCT5
UU,FSCN1
UU,CBR1
UU,CAPN2
UU,EEF1D
UU,PSME2
UU,HSPB6
UU,CCT8
UU,UCHL1
UU,DCTN2
UU,HRC
UU,KPNB1
UU,EEF1G
UU,CALU
UU,ABCE1
UU,S100A6
UU,CARNS1
UU,TUBB
UU,GLUD1
UU,DCTN1
UU,NACA
UU,QARS1
UU,PRKAG1
UU,DARS1
UU,HSPB1
UU,YWHAH
UU,AKR1C3
UU,USP5
UU,YBX1
UU,S100A11
UU,FARSA
UU,HPRT1
UU,TARS1
UU,HSPB7
UU,EZR
UU,ACTR2
UU,GBE1
UU,CCT2
UU,EHBP1L1
UU,NME2
UU,TUBB6
UU,RAB6A
UU,TUBB2A
UU,MAPT
UU,JPT2
UU,AP1M1
UU,LGALS3
UU,RTCB
UU,TUBA1B
UU,DYSF
UU,CCT7
UU,PDIA3
UU,TXNDC5
UU,MARCKS
UU,TPM4
UU,FLNA
UU,ME2
UU,AKR1C1
UU,PADI2
UU,CCT4
UU,FLNC
UU,ANXA1
UU,PLIN3
UU,DDB1
UU,SLC25A3
UU,BCAP31
UU,DDAH2
UU,GART
UU,DNAJA2
UU,ARHGAP1
UU,BOLA2
UU,HYOU1
UU,RABEP1
UU,DDX1
UU,KIF5B
UU,VCL
UU,CANX
UU,CAMK2D
UU,PRKAA2
UU,TCP1
UU,CCT3
UU,HSPB2
UU,GSN
UU,PPP2R1A
UU,PRDX3
UU,KPNA1
UU,LAP3
UU,HSPA4
UU,ATP1A1
UU,DNAJA4
UU,TUFM
UU,AP2M1
UU,SEC23IP
UU,F13A1
UU,ANXA2
UU,CSRP3
UU,AHCYL1
UU,HSP90B1
UU,IDH3B
UU,AIMP1
UU,SERPINH1
UU,PRKDC
UU,SMPX
UU,RPS6
UU,PSMD4
UU,CLTC
UU,APPL1
UU,APMAP
UU,HSPA8
UU,MYBPH
UU,SSBP1
UU,SLMAP
UU,ANKRD2
UU,SLC16A1
UU,UNC45B
UU,MTDH
UU,PPP1R14B
UU,CLIC1
UU,KPNA4
UU,GAPDH
UU,TBCB
UU,EEF1B2
UU,MEMO1
UU,DPP3
UU,CRYAB
UU,AHCYL2
UU,FLNB
UU,GYS1
UU,PSMC2
UU,OBSCN
UU,ACTR1A
UU,HUWE1
UU,SEC23A
UU,EEA1
UU,EEF1A1
UU,ATIC
UU,VAT1
UU,RAP1B
UU,PRDX5
UU,TMEM43
UU,IDH3G
UU,KLHL41
UU,HSPA5
UU,RPS27
UU,EIF2B1
UU,PSMC1
UU,PHKG1
UU,HSP90AB1
UU,ARPC1B
UU,RPS2
UU,IDH3A
UU,DNAJA1
UU,PSME4
UU,CAPNS1
UU,MRPS15
UU,LMCD1
UU,ACY1
UU,NME1
UU,SARS1
UU,EIF3J
UU,NAA50
UU,APEH
UU,DHRS7
UU,IQGAP1
UU,GSR
UU,FHL1
UU,SPTBN1
UU,SAMHD1
UU,PSMD1
UU,HSPB3
UU,ANXA4
UU,SPTAN1
UU,AP2A1
UU,BAG3
UU,NAGK
UU,PSMA3
UU,ATP1A2
UU,CD99
UU,TUBB4B
UU,HK1
UU,APOL2
UU,FAM98A
UU,CALM1
UU,AHSA1
UU,ARPC4
UU,TMEM63A
UU,MAP4
UU,TLN1
UU,TFG
UU,TIPRL
UU,PAK2
UU,AP1B1
UU,PCCB
UU,CCDC124
UU,GLIPR2
UU,ETF1
UU,PSMD11
UU,ERO1A
UU,RUVBL2
UU,SEPTIN7
UU,ATP5F1C
UU,PHKA1
UU,FH
UU,IL18
UU,STX7
UU,ERAP1
UU,PDCD5
UU,PPM1A
UU,CLIC4
UU,GCN1
UU,PSMC6
UU,TNPO1
UU,TSPO
UU,TXNL1
UU,SLK
UU,UGP2
UU,ARL3
UU,PSMA7
UU,BLVRA
UU,PRKAA1
UU,DCTN6
UU,NAA10
UU,PSMF1
UU,ADD1
UU,PRDX2
UU,CST3
UU,TARDBP
UU,DCTN4
UU,RPL13A
UU,KLHL40
UU,PSMA5
