pathway,pval,padj,log2err,ES,NES,size,leadingEdge,database,contrast,dedup_status,merged_into,overlap_jaccard
KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_SNCA_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION,4.275992044034992e-6,1.746115732507483e-5,0.610526878385931,-0.6384898825487315,-2.2623659754220986,34,PSMD7;PSMD14;PSMC6;PSMC2;PSMD3;PSMC4;PSMD13;PSMC3;PSMC5;PSMA1;PSMD6;PSMA3;PSMD8;PSMD2;PSMB1;PSMD4;PSMA2;PSMA6,KEGG,Aging,redundant,KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_VCP_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION,0.8536585365853658
KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_UBQLN2_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION,4.988902092878522e-6,1.746115732507483e-5,0.610526878385931,-0.6232819137955493,-2.218772230161244,35,PSMD7;PSMD14;RPS27A;PSMC6;PSMC2;PSMD3;PSMC4;PSMD13;PSMC3;PSMC5;PSMA1;PSMD6;PSMA3;PSMD8;PSMD2;PSMB1;PSMD4;PSMA2;PSMA6,KEGG,Aging,redundant,KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_VCP_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION,0.9512195121951219
KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_ABETA_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION,1.1818207256393824e-5,2.7575816931585594e-5,0.5933254763964051,-0.6402498483435493,-2.252609779113275,33,PSMD7;PSMD14;PSMC6;PSMC2;PSMD3;PSMC4;PSMD13;PSMC3;PSMC5;PSMA1;PSMD6;PSMA3;PSMD8;PSMD2;PSMB1;PSMD4;PSMA2;PSMA6,KEGG,Aging,redundant,KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_VCP_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION,0.8536585365853658
KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_HTT_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION,1.1818207256393824e-5,2.7575816931585594e-5,0.5933254763964051,-0.6402498483435493,-2.252609779113275,33,PSMD7;PSMD14;PSMC6;PSMC2;PSMD3;PSMC4;PSMD13;PSMC3;PSMC5;PSMA1;PSMD6;PSMA3;PSMD8;PSMD2;PSMB1;PSMD4;PSMA2;PSMA6,KEGG,Aging,redundant,KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_VCP_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION,0.8536585365853658
KEGG_MEDICUS_VARIANT_SCRAPIE_CONFORMATION_PRPSC_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION,1.1818207256393824e-5,2.7575816931585594e-5,0.5933254763964051,-0.6402498483435493,-2.252609779113275,33,PSMD7;PSMD14;PSMC6;PSMC2;PSMD3;PSMC4;PSMD13;PSMC3;PSMC5;PSMA1;PSMD6;PSMA3;PSMD8;PSMD2;PSMB1;PSMD4;PSMA2;PSMA6,KEGG,Aging,redundant,KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_VCP_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION,0.8536585365853658
KEGG_MEDICUS_REFERENCE_ELECTRON_TRANSFER_IN_COMPLEX_I,0.01588897827835881,0.027805711987127918,0.16219053457684138,-0.4253658739913201,-1.5673686886161822,41,MT-ND4;MT-ND2;NDUFA11;NDUFA1;NDUFA6;NDUFAB1;MT-ND5;MT-ND3;NDUFS4;NDUFA8;NDUFA2;MT-ND1;NDUFB6;NDUFA13;NDUFS2;NDUFA10;NDUFA12;NDUFB3;NDUFB1,KEGG,Aging,kept,NA,NA
KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_SNCA_TO_ELECTRON_TRANSFER_IN_COMPLEX_I,0.015625,0.027805711987127918,0.16324176812787977,-0.42290776978908384,-1.5687951646074778,42,MT-ND4;MT-ND2;NDUFA11;NDUFA1;NDUFA6;NDUFAB1;MT-ND5;MT-ND3;NDUFS4;NDUFA8;NDUFA2;MT-ND1;NDUFB6;NDUFA13;NDUFS2;NDUFA10;NDUFA12;NDUFB3;NDUFB1,KEGG,Aging,redundant,KEGG_MEDICUS_REFERENCE_ELECTRON_TRANSFER_IN_COMPLEX_I,0.9777777777777777
KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_PINK1_TO_ELECTRON_TRANSFER_IN_COMPLEX_I,0.01588897827835881,0.027805711987127918,0.16219053457684138,-0.4253658739913201,-1.5673686886161822,41,MT-ND4;MT-ND2;NDUFA11;NDUFA1;NDUFA6;NDUFAB1;MT-ND5;MT-ND3;NDUFS4;NDUFA8;NDUFA2;MT-ND1;NDUFB6;NDUFA13;NDUFS2;NDUFA10;NDUFA12;NDUFB3;NDUFB1,KEGG,Aging,redundant,KEGG_MEDICUS_REFERENCE_ELECTRON_TRANSFER_IN_COMPLEX_I,0.9777777777777777
KEGG_MEDICUS_REFERENCE_GLYCOLYSIS,0.019762845849802372,0.03192459714198845,0.14390961974585495,-0.5578903997218015,-1.6237688447714307,16,ENO2;LDHA;PGK1;ENO3;GAPDH;PFKL;PFKM,KEGG,Aging,kept,NA,NA
KEGG_MEDICUS_ENV_FACTOR_ARSENIC_TO_ELECTRON_TRANSFER_IN_COMPLEX_IV,0.8891304347826087,0.9335869565217392,0.01595475394998776,-0.23336638305974125,-0.6792249201964446,16,MT-CO1;COX6A2;COX5B,KEGG,Aging,NA,NA,NA
