gene,logFC_Aging,logFC_Training_Old,sig_aging,sig_to
GPT2,1.6779,-0.5924,TRUE,FALSE
PLIN2,1.1226,-0.4256,TRUE,FALSE
LRG1,1.0808,-0.4159,TRUE,FALSE
CTSZ,1.0463,-0.0086,TRUE,FALSE
COPS7B,1.0124,-0.4562,TRUE,FALSE
PDLIM1,0.9976,-0.1296,TRUE,FALSE
SLC25A46,0.9434,-0.0513,TRUE,FALSE
HP,0.9064,-0.0605,TRUE,FALSE
IDI1,0.8806,-0.3416,TRUE,FALSE
MCEE,0.8343,-0.1314,TRUE,FALSE
TPSB2,0.8185,0.1102,TRUE,FALSE
SOD2,0.8101,-0.0624,TRUE,FALSE
MAOA,0.7801,-0.1941,TRUE,FALSE
ALDH6A1,0.7749,-0.5216,TRUE,TRUE
HMGB2,0.7507,-0.2043,TRUE,FALSE
ARHGDIB,0.7382,-0.15,TRUE,FALSE
JPT2,0.7354,0.4136,TRUE,FALSE
EPDR1,0.7294,-0.0903,TRUE,FALSE
DCXR,0.7183,-0.1384,TRUE,FALSE
MT2A,0.7142,-0.5347,TRUE,FALSE
MICU1,0.7028,-0.0829,TRUE,FALSE
MAPK13,0.6964,-0.2482,TRUE,FALSE
CLEC3B,0.69,-0.0729,TRUE,FALSE
PSAP,0.686,-0.1476,TRUE,FALSE
ABHD11,0.6834,0.0798,TRUE,FALSE
TPM4,0.6743,0.201,TRUE,FALSE
HMGCL,0.6634,0.0067,TRUE,FALSE
PNPO,0.6634,-0.2002,TRUE,FALSE
NAXD,0.6595,-0.1539,TRUE,FALSE
IBA57,0.6595,-0.1037,TRUE,FALSE
IGHG2,0.6581,0.1777,TRUE,FALSE
IGHA1,0.6528,0.0824,TRUE,FALSE
CP,0.637,-0.0287,TRUE,FALSE
MCCC1,0.6314,-0.1382,TRUE,FALSE
CA3,0.629,-0.0715,TRUE,FALSE
TGM2,0.6285,0.3831,TRUE,FALSE
FXN,0.6262,-0.1456,TRUE,FALSE
CLU,0.626,-0.0913,TRUE,FALSE
LRPAP1,0.6259,-0.0035,TRUE,FALSE
PLIN4,0.6198,-0.2877,TRUE,FALSE
CAP1,0.6111,0.2859,TRUE,FALSE
C3,0.6105,-0.0292,TRUE,FALSE
MDP1,0.6069,-0.1114,TRUE,FALSE
COQ5,0.6009,-0.0715,TRUE,FALSE
ACADM,0.6002,0.0958,TRUE,FALSE
NXN,0.5967,-0.055,TRUE,FALSE
SELENBP1,0.5954,-0.2524,TRUE,FALSE
LAMTOR1,0.5548,-7e-4,TRUE,FALSE
MAOB,0.5518,-0.1829,TRUE,FALSE
