pathway,pval,padj,foldEnrichment,overlap,size,overlapGenes,database,odds_ratio,dedup_status,merged_into,overlap_jaccard,module,Description
GOSLIM_AMINO_ACID_METABOLIC_PROCESS,1.9803839499685566e-10,5.347036664915103e-9,2.645404411764706,41,96,,GO Slim,4.265795074490726,kept,NA,NA,turquoise,Amino Acid Metabolic Process
GOSLIM_SULFUR_COMPOUND_METABOLIC_PROCESS,2.2101127140763606e-8,2.9836521640030867e-7,2.520861833105335,35,86,,GO Slim,3.8588878174220507,kept,NA,NA,turquoise,Sulfur Compound Metabolic Process
GOSLIM_MODIFIED_AMINO_ACID_METABOLIC_PROCESS,3.6968799000812e-5,3.32719191007308e-4,2.4776470588235293,20,50,,GO Slim,3.6166666666666667,kept,NA,NA,turquoise,Modified Amino Acid Metabolic Process
GOSLIM_MITOCHONDRION_ORGANIZATION,0.004547117213695659,0.0306930411924457,1.560722556739231,32,127,,GO Slim,1.8274777853725221,kept,NA,NA,turquoise,Mitochondrion Organization
GOSLIM_MITOCHONDRIAL_GENE_EXPRESSION,0.013013856203156302,0.07027482349704403,1.8450563204005006,14,47,,GO Slim,2.255251905558654,NA,NA,NA,turquoise,Mitochondrial Gene Expression
GOSLIM_GENERATION_OF_PRECURSOR_METABOLITES_AND_ENERGY,0.04424120061807124,0.1990854027813206,1.2743878412609062,43,209,,GO Slim,1.3954809135532027,NA,NA,NA,turquoise,Generation Of Precursor Metabolites And Energy
GOSLIM_DETOXIFICATION,0.18042853284871777,0.6959386267021971,1.3273109243697478,12,56,,GO Slim,1.4318181818181819,NA,NA,NA,turquoise,Detoxification
GOSLIM_PROTEIN_FOLDING,0.2592135083442657,0.8281619940374352,1.1831460674157306,17,89,,GO Slim,1.2383040935672514,NA,NA,NA,turquoise,Protein Folding
GOSLIM_DNA_RECOMBINATION,0.2760539980124784,0.8281619940374352,1.3139037433155079,7,33,,GO Slim,1.4067914067914067,NA,NA,NA,turquoise,DNA Recombination
GOBP_ORGANIC_ACID_CATABOLIC_PROCESS,6.8252160157017055e-25,6.743313423513285e-22,3.941711229946524,56,88,,GO:BP,10.684859154929578,kept,NA,NA,turquoise,Organic Acid Catabolic Process
GOBP_SMALL_MOLECULE_CATABOLIC_PROCESS,3.6669135729926324e-20,1.8114553050583604e-17,3.073050615595075,64,129,,GO:BP,6.068227424749164,redundant,GOBP_ORGANIC_ACID_CATABOLIC_PROCESS,0.6666666666666666,turquoise,Small Molecule Catabolic Process
GOBP_FATTY_ACID_CATABOLIC_PROCESS,4.2253325740280757e-17,1.3915428610465796e-14,4.854848966613673,29,37,,GO:BP,20.491157556270096,kept,NA,NA,turquoise,Fatty Acid Catabolic Process
GOBP_MONOCARBOXYLIC_ACID_CATABOLIC_PROCESS,7.32959105531403e-17,1.8104089906625654e-14,4.3490613266583225,33,47,,GO:BP,13.451838064215915,redundant,GOBP_FATTY_ACID_CATABOLIC_PROCESS,0.8125,turquoise,Monocarboxylic Acid Catabolic Process
