module_color,module_id,bio_label,n_proteins,ora_label,ora_padj,evidence,display_label
turquoise,M1,Lipid Catabolism | TCA Cycle,340,Organic Acid Catab.,6.743313423513285e-22,Organic Acid Catabolic Process; Fatty Acid Catabolic Process; Fatty Acid Metabolic Process; Citric Acid Cycle Tca Cycle; Mitochondrial Fatty Acid Beta Oxidation,Turquoise: Lipid Catabolism | TCA Cycle
blue,M2,Protein Folding | Chaperones,272,GTSE1 in G2/M,1.1291659442415959e-8,The Role Of Gtse1 In G2 M Progression After G2 Checkpoint; Separation Of Sister Chromatids; Mitotic G2 G2 M Phases; Protein Folding; Signaling By Hedgehog,Blue: Protein Folding | Chaperones
brown,M3,Protein Degrad. | Proteasome,211,Neddylation,3.661122598088766e-5,Neddylation; Signaling By Notch; Degradation Of Gli1 By The Proteasome; Gluconeogenesis; Nuclear Events Mediated By Nfe2l2,Brown: Protein Degrad. | Proteasome
yellow,M4,Muscle Contraction | Sarcomere,210,Striated Muscle Contr.,1.9579772644964768e-20,Striated Muscle Contraction; Myogenesis; Ecm Proteoglycans; Muscle Cell Development; Muscle Organ Development,Yellow: Muscle Contraction | Sarcomere
green,M5,Oxid. Phos. | Complex I,166,ATP Synth. Coupled ETC,9.949771667468388e-56,ATP Synthesis Coupled Electron Transport; Respiratory Electron Transport; Proton Transmembrane Transport; Reference Electron Transfer In Complex I; Cellular Respiration,Green: Oxid. Phos. | Complex I
black,M6,Glycolysis | Transl. Fact.,107,Glycolysis,1.1835993427450642e-4,Reference Glycolysis; Hypoxia; Cargo Recognition For Clathrin Mediated Endocytosis; Metabolism Of Carbohydrates And Carbohydrate Derivatives,Black: Glycolysis | Transl. Fact.
red,M7,Translation | 60S Ribo.,99,Neg. Reg. Syncytium Form.,9.582919665720742e-41,Negative Regulation Of Syncytium Formation By Plasma Membrane Fusion; Response Of Eif2ak4 Gcn2 To Amino Acid Deficiency; Syncytium Formation; Rrna Processing; Reference Translation Initiation,Red: Translation | 60S Ribo.
pink,M8,Chemiosm. | ATP Synth.,83,ATP by Chemiosmosis,6.76856320949803e-15,Formation Of ATP By Chemiosmotic Coupling; OXPHOS; Mitochondrial Biogenesis; Aerobic Respiration And Respiratory Electron Transport; Mitochondrial Gene Expression,Pink: Chemiosm. | ATP Synth.
magenta,M9,Initiation | 40S Ribo.,70,mRNA Activation,3.2345805473111384e-27,Activation Of The Mrna Upon Binding Of The Cap Binding Complex And Eifs And Subsequent Binding To 43s; Cytoplasmic Translation; Srp Dependent Cotranslational Protein Targeting To Membrane; Ribosomal Small Subunit Biogenesis; Reference Translation Initiation,Magenta: Initiation | 40S Ribo.
