module,uniprot_id,gene,kME,kME_ci_lo,kME_ci_hi,kME_p,GS_pheno,GS,GS_ci_lo,GS_ci_hi,GS_p,GS_n
turquoise,P42765,ACAA2,0.7958,0.6815,0.8722,1.079975504508697e-14,"Age (Young=0, Old=1)",0.4448,0.2194,0.6251,2.9208832845359654e-4,62
turquoise,P49748,ACADVL,0.7821,0.6615,0.8632,6.182376741793334e-14,"Age (Young=0, Old=1)",0.4277,0.1992,0.6121,5.25869390537705e-4,62
turquoise,Q99798,ACO2,0.8652,0.7851,0.9168,1.2141454716818904e-19,"Age (Young=0, Old=1)",0.4953,0.2802,0.6631,4.255114882332554e-5,62
turquoise,Q9Y4W6,AFG3L2,0.7445,0.6078,0.8384,4.0148473867477104e-12,"Age (Young=0, Old=1)",0.284,0.0368,0.4984,0.025309350838303983,62
turquoise,P51649,ALDH5A1,0.902,0.8419,0.94,1.464678959918749e-23,"Age (Young=0, Old=1)",0.6481,0.4752,0.7728,1.23858330072955e-8,62
turquoise,Q8NI60,COQ8A,0.8033,0.6924,0.8771,3.9799027845194466e-15,"Age (Young=0, Old=1)",0.499,0.2847,0.6658,3.65269995659287e-5,62
turquoise,P43155,CRAT,0.8999,0.8386,0.9387,2.714809111302731e-23,"Age (Young=0, Old=1)",0.67,0.5048,0.7879,2.5830578119881426e-9,62
turquoise,O75390,CS,0.7761,0.6529,0.8593,1.2655853088814118e-13,"Age (Young=0, Old=1)",0.3904,0.1559,0.5833,0.0017060657320539928,62
turquoise,P13804,ETFA,0.9004,0.8393,0.939,2.3647991657944343e-23,"Age (Young=0, Old=1)",0.534,0.328,0.6916,7.816393942002257e-6,62
turquoise,P38117,ETFB,0.9274,0.882,0.9558,2.6042228849510572e-27,"Age (Young=0, Old=1)",0.5741,0.3786,0.7205,1.0691269646024209e-6,62
turquoise,P07954,FH,0.8284,0.7296,0.8933,9.695243597128607e-17,"Age (Young=0, Old=1)",0.5132,0.3022,0.6763,1.9963927953435448e-5,62
turquoise,Q16595,FXN,0.8067,0.6975,0.8793,2.4755046071984864e-15,"Age (Young=0, Old=1)",0.6333,0.4556,0.7625,3.3124726959756706e-8,62
turquoise,P00505,GOT2,0.8378,0.7437,0.8994,2.0647010771386218e-17,"Age (Young=0, Old=1)",0.4376,0.2109,0.6196,3.755098885460734e-4,62
turquoise,P35914,HMGCL,0.8403,0.7474,0.901,1.3419083188843044e-17,"Age (Young=0, Old=1)",0.6852,0.5254,0.7984,8.073273975081311e-10,62
turquoise,Q9NSE4,IARS2,0.7755,0.6521,0.8589,1.3555290313756096e-13,"Age (Young=0, Old=1)",0.3716,0.1343,0.5686,0.002942371445653975,62
turquoise,P48735,IDH2,0.9098,0.8541,0.9449,1.3731032888549107e-24,"Age (Young=0, Old=1)",0.6422,0.4673,0.7686,1.849880678488543e-8,62
turquoise,P05166,PCCB,0.7735,0.6491,0.8576,1.7219946097145697e-13,"Age (Young=0, Old=1)",0.4582,0.2354,0.6353,1.8051949587000806e-4,62
turquoise,Q9P0J1,PDP1,0.785,0.6658,0.8651,4.310808339131997e-14,"Age (Young=0, Old=1)",0.5957,0.4064,0.736,3.266792986242087e-7,62
turquoise,P30405,PPIF,0.8141,0.7084,0.8841,8.573488526283406e-16,"Age (Young=0, Old=1)",0.4448,0.2194,0.6251,2.926473348392434e-4,62
turquoise,Q9P2R7,SUCLA2,0.776,0.6527,0.8592,1.285994092871249e-13,"Age (Young=0, Old=1)",0.3449,0.1041,0.5475,0.006051816669029762,62
turquoise,P53597,SUCLG1,0.7451,0.6086,0.8388,3.798268531208095e-12,"Age (Young=0, Old=1)",0.2899,0.0433,0.5033,0.022269101645684155,62
turquoise,Q16762,TST,0.866,0.7863,0.9173,1.0325644449951725e-19,"Age (Young=0, Old=1)",0.4633,0.2414,0.6391,1.4955591552755503e-4,62
blue,P48643,CCT5,0.7947,0.6799,0.8715,1.2537286240897248e-14,"Age (Young=0, Old=1)",-0.2185,-0.4441,0.033,0.08793188573485694,62
blue,Q99832,CCT7,0.7539,0.6211,0.8446,1.5209334706997405e-12,"Age (Young=0, Old=1)",-0.3708,-0.568,-0.1334,0.00300711977926858,62
blue,P50990,CCT8,0.7451,0.6085,0.8387,3.809051050197736e-12,"Age (Young=0, Old=1)",-0.0932,-0.3352,0.1603,0.47127313994230946,62
blue,Q14204,DYNC1H1,0.837,0.7425,0.8989,2.36066503618845e-17,"Age (Young=0, Old=1)",-0.5398,-0.6958,-0.3353,5.958316879336667e-6,62
blue,Q13409,DYNC1I2,0.7317,0.5898,0.8298,1.4178243453944576e-11,"Age (Young=0, Old=1)",-0.4193,-0.6056,-0.1894,6.93616343503738e-4,62
blue,O75923,DYSF,0.801,0.6892,0.8756,5.396924232755397e-15,"Age (Young=0, Old=1)",-0.4794,-0.6512,-0.2608,8.08439346344918e-5,62
blue,Q14232,EIF2B1,0.74,0.6014,0.8354,6.338762513097255e-12,"Age (Young=0, Old=1)",-0.6201,-0.7532,-0.4381,7.682267486934354e-8,62
blue,P21333,FLNA,0.7341,0.593,0.8314,1.1330110357833457e-11,"Age (Young=0, Old=1)",-0.5428,-0.6979,-0.3389,5.1805218201102055e-6,62
blue,O75369,FLNB,0.7325,0.5909,0.8304,1.3165194038885524e-11,"Age (Young=0, Old=1)",-0.617,-0.751,-0.4341,9.291023362795968e-8,62
blue,Q14315,FLNC,0.7401,0.6015,0.8354,6.297042947091878e-12,"Age (Young=0, Old=1)",-0.6174,-0.7513,-0.4347,9.04999954791274e-8,62
blue,P11142,HSPA8,0.8223,0.7205,0.8894,2.5367450481603593e-16,"Age (Young=0, Old=1)",-0.4673,-0.6421,-0.2463,1.2858596797353034e-4,62
blue,Q16082,HSPB2,0.7478,0.61240000000000006,0.8405,2.8883555924471515e-12,"Age (Young=0, Old=1)",-0.3378,-0.5418,-0.0961,0.007252905997737712,62
blue,Q9UBY9,HSPB7,0.7237,0.5785,0.8244,3.023266435694056e-11,"Age (Young=0, Old=1)",-0.4049,-0.5945,-0.1725,0.0010986418990234033,62
blue,Q14974,KPNB1,0.796,0.6818,0.8723,1.0586290492973216e-14,"Age (Young=0, Old=1)",-0.6698,-0.7878,-0.5045,2.625680004139652e-9,62
blue,P10636,MAPT,0.7998,0.6873,0.8748,6.397308259573315e-15,"Age (Young=0, Old=1)",-0.575,-0.7212,-0.3798,1.0188274855359967e-6,62
blue,P26038,MSN,0.8872,0.8189,0.9307,8.02394080919271e-22,"Age (Young=0, Old=1)",-0.5187,-0.6803,-0.3089,1.571037083702192e-5,62
blue,E9PAV3,NACA,0.7482,0.613,0.8409,2.7526015203515332e-12,"Age (Young=0, Old=1)",-0.6238,-0.7558,-0.443,6.096468938614576e-8,62
blue,P35998,PSMC2,0.759,0.6284,0.848,8.764285802470564e-13,"Age (Young=0, Old=1)",-0.6367,-0.7648,-0.46,2.6653123553910562e-8,62
blue,Q00765,REEP5,0.8812,0.8097,0.927,3.462071049072701e-21,"Age (Young=0, Old=1)",-0.4648,-0.6402,-0.2433,1.412291011284222e-4,62
blue,Q99584,S100A13,0.7466,0.6107,0.8398,3.248791485447389e-12,"Age (Young=0, Old=1)",-0.2737,-0.49,-0.0257,0.031362385535013096,62
blue,P06703,S100A6,0.7317,0.5896,0.8298,1.4300274560601884e-11,"Age (Young=0, Old=1)",-0.3517,-0.5529,-0.1118,0.005056762839039173,62
blue,P68363,TUBA1B,0.7932,0.6777,0.8705,1.5193280836543346e-14,"Age (Young=0, Old=1)",-0.1981,-0.4268,0.0543,0.12268934072265616,62
blue,P07437,TUBB,0.7952,0.6807,0.8718,1.1691111949476959e-14,"Age (Young=0, Old=1)",-0.2153,-0.4413,0.0364,0.0928597058831621,62
blue,P55072,VCP,0.7732,0.6488,0.8574,1.7708039325549908e-13,"Age (Young=0, Old=1)",-0.5333,-0.6911,-0.3271,8.074249071395166e-6,62
brown,O14983,ATP2A1,0.7857,0.6668,0.8656,3.931958424171367e-14,"Age (Young=0, Old=1)",-0.2177,-0.4434,0.0339,0.08915996629603214,62
brown,Q93084,ATP2A3,0.754,0.6213,0.8447,1.4977157857427673e-12,"Age (Young=0, Old=1)",-0.3661,-0.5643,-0.1281,0.003426435594717476,62
brown,P23528,CFL1,0.7528,0.6196,0.8439,1.703111327967792e-12,"Age (Young=0, Old=1)",0.2377,-0.0129,0.4601,0.06289166197883439,62
brown,P63241,EIF5A,0.8079,0.6992,0.8801,2.0965550428425987e-15,"Age (Young=0, Old=1)",0.071,-0.182,0.3152,0.5833086032865511,62
brown,P10768,ESD,0.7914,0.6751,0.8693,1.9189384623093283e-14,"Age (Young=0, Old=1)",-0.2123,-0.4388,0.0396,0.09759591303395952,62
brown,P62942,FKBP1A,0.7685,0.642,0.8543,3.0462662971804273e-13,"Age (Young=0, Old=1)",0.0654,-0.1874,0.3101,0.6134180955914148,62
brown,Q15843,NEDD8,0.782,0.6614,0.8631,6.264656235697982e-14,"Age (Young=0, Old=1)",0.1103,-0.1434,0.3504,0.3933166690102631,62
brown,P22061,PCMT1,0.7123,0.5626,0.8168,8.460824321189009e-11,"Age (Young=0, Old=1)",0.1763,-0.0768,0.4081,0.17045304185955626,62
brown,Q9UHG3,PCYOX1,0.8623,0.7807,0.915,2.190698864174612e-19,"Age (Young=0, Old=1)",-0.1634,-0.397,0.09,0.20433634570188008,62
brown,Q5VU43,PDE4DIP,0.7836,0.6638,0.8643,5.094086393863846e-14,"Age (Young=0, Old=1)",-0.1523,-0.3873,0.1014,0.23745979441463153,62
brown,P10644,PRKAR1A,0.7274,0.5837,0.8269,2.1446193996457758e-11,"Age (Young=0, Old=1)",0.0986,-0.155,0.34,0.44573069644064034,62
brown,P25789,PSMA4,0.7828,0.6626,0.8637,5.6544426064112653e-14,"Age (Young=0, Old=1)",-0.1427,-0.379,0.111,0.26857428752408646,62
brown,P49720,PSMB3,0.7482,0.6129,0.8408,2.7687383197241698e-12,"Age (Young=0, Old=1)",-0.1081,-0.3485,0.1456,0.40297577470707646,62
brown,P28074,PSMB5,0.727,0.5831,0.8266,2.228003838484067e-11,"Age (Young=0, Old=1)",-0.0599,-0.3051,0.1928,0.6439702639810951,62
brown,P28072,PSMB6,0.7367,0.5968,0.8332,8.757631478401211e-12,"Age (Young=0, Old=1)",-0.1272,-0.3653,0.1266,0.32459552138453873,62
brown,P61019,RAB2A,0.7272,0.5834,0.8268,2.1820098473821944e-11,"Age (Young=0, Old=1)",-0.0575,-0.3029,0.1951,0.6572609805720651,62
brown,P61586,RHOA,0.7603,0.6303,0.8489,7.594706400398068e-13,"Age (Young=0, Old=1)",0.0765,-0.1766,0.3202,0.5544027945836056,62
brown,Q9NQC3,RTN4,0.7283,0.5849,0.8275,1.9745435289283773e-11,"Age (Young=0, Old=1)",-0.0489,-0.2951,0.2034,0.7058887567624048,62
brown,P13693,TPT1,0.7393,0.6003,0.8349,6.8266770726758e-12,"Age (Young=0, Old=1)",0.053900000000000003,-0.1985,0.2996,0.6774000054262843,62
brown,O60763,USO1,0.7306,0.5882,0.8291,1.5802794219090996e-11,"Age (Young=0, Old=1)",0.1727,-0.0806,0.405,0.17952875091196357,62
yellow,P68133,ACTA1,0.8356,0.7404,0.898,2.9889820660775186e-17,"Age (Young=0, Old=1)",-0.1434,-0.3796,0.1103,0.2661326737616223,62
yellow,P60709,ACTB,0.8698,0.7922,0.9198,4.5448762700082507e-20,"Age (Young=0, Old=1)",-0.1921,-0.4216,0.0606,0.13474023469100221,62
yellow,P12814,ACTN1,0.8964,0.8331,0.9365,7.25637802181076e-23,"Age (Young=0, Old=1)",-0.4077,-0.5967,-0.1758,0.001006141341996345,62
