fcm_cluster,wgcna_module,n_overlap,odds_ratio,or_ci_lo,or_ci_hi,p_value,p_adj_bh,significant
C1,Black,70,12.258,7.623,20.153,7.040727510512256e-30,2.8162910042049023e-29,TRUE
C1,Blue,8,0.089,0.038,0.18,3.309529983341751e-21,8.510219957164502e-21,TRUE
C1,Brown,23,0.353,0.215,0.555,5.222918487792739e-7,6.963891317056986e-7,TRUE
C1,Green,31,0.908,0.581,1.384,0.6830712097587929,0.7025875300376154,FALSE
C1,Magenta,30,3.232,1.904,5.438,8.559382791621855e-6,1.0625440706840923e-5,TRUE
C1,Pink,1,0.046,0.001,0.264,2.628577774960302e-7,3.785151995942835e-7,TRUE
C1,Red,0,0,0,0.134,5.383470053324149e-11,9.22880580569854e-11,TRUE
C1,Turquoise,10,0.097,0.045,0.183,3.7561316486955927e-23,1.0401595334849334e-22,TRUE
C1,Yellow,150,16.857,11.928,24.053,9.633034833712466e-69,8.66973135034122e-68,TRUE
C2,Black,25,0.913,0.547,1.48,0.814696056587146,0.814696056587146,FALSE
C2,Blue,261,56.939,37.526,89.029,7.749162419224711e-144,2.789698470920896e-142,TRUE
C2,Brown,39,0.446,0.302,0.644,4.244255932437524e-6,5.456900484562531e-6,TRUE
C2,Green,0,0,0,0.053,1.4837977372118494e-24,4.8560653217842345e-24,TRUE
C2,Magenta,32,2.423,1.44,4.058,4.7248287200671806e-4,5.315432310075578e-4,TRUE
C2,Pink,12,0.444,0.217,0.837,0.007320007472439466,0.007985462697206689,TRUE
C2,Red,10,0.275,0.126,0.535,1.5195093636750788e-5,1.8234112364100946e-5,TRUE
C2,Turquoise,36,0.273,0.183,0.395,6.6270549994664115e-15,1.3254109998932823e-14,TRUE
C2,Yellow,18,0.216,0.124,0.357,1.1363984182201825e-12,2.0455171527963284e-12,TRUE
C3,Black,0,0,0,0.088,2.4817664385088375e-15,5.255505399195185e-15,TRUE
C3,Blue,3,0.02,0.004,0.059,1.0457247767934302e-42,5.378013137794784e-42,TRUE
C3,Brown,3,0.024,0.005,0.072,1.8560845848350053e-35,8.352380631757524e-35,TRUE
C3,Green,127,11.512,7.747,17.45,2.76560236047828e-43,1.659361416286968e-42,TRUE
C3,Magenta,3,0.108,0.022,0.332,3.698613401824815e-7,5.121157017911282e-7,TRUE
C3,Pink,68,14.092,7.744,27.455,7.954337314758737e-26,2.8635614333131454e-25,TRUE
C3,Red,0,0,0,0.084,4.696644680451931e-16,1.0567450531016845e-15,TRUE
C3,Turquoise,244,14.87,11.043,20.173,4.134996301963678e-88,7.44299334353462e-87,TRUE
C3,Yellow,7,0.071,0.028,0.151,8.116487054008001e-24,2.4349461162024002e-23,TRUE
C4,Black,3,0.093,0.019,0.282,7.007276475442136e-9,1.0510914713163205e-8,TRUE
C4,Blue,19,0.18,0.105,0.293,2.4858739510302884e-17,5.966097482472692e-17,TRUE
C4,Brown,185,16.428,11.827,23.039,2.587223650741858e-77,3.10466838089023e-76,TRUE
C4,Green,6,0.106,0.038,0.239,1.5408075474036536e-13,2.9194248266595543e-13,TRUE
C4,Magenta,4,0.186,0.049,0.505,7.409128391762332e-5,8.604149100111096e-5,TRUE
C4,Pink,1,0.037,0.001,0.211,4.9984253540870285e-9,7.82362229335361e-9,TRUE
C4,Red,92,37.873,19.377,82.589,2.5838389696650406e-49,1.8603640581588294e-48,TRUE
C4,Turquoise,36,0.33,0.222,0.479,9.862888712787252e-11,1.6139272439106413e-10,TRUE
C4,Yellow,37,0.633,0.423,0.928,0.015610796248762186,0.016529078381042315,TRUE
