module,age_cor,mean_old_pre,mean_old_post,mean_young_pre,t_stat,p_value,ci_lo_mean_diff,ci_hi_mean_diff,shapiro_p,normality_ok,wilcox_p_sensitivity,toward_young,reversal_pct,n_old_subjects,p_adj_bh
blue,-0.535,-0.0982,-0.0422,-0.0056,1.707,0.10991097684512566,-0.0144,0.1265,0.0542,TRUE,NA,TRUE,60.5,15,0.5495548842256283
black,-0.347,-0.0693,-0.0217,0.0308,1.157,0.26649953265490345,-0.0406,0.1357,0.4816,TRUE,NA,TRUE,47.5,15,0.6662488316372586
yellow,-0.449,-0.0603,-0.0575,0.0878,0.089,0.9305040536966467,-0.0659,0.0716,0.4294,TRUE,NA,TRUE,1.9,15,0.9305040536966467
red,0.381,0.0548,0.0452,-0.0571,-0.196,0.8473148494026965,-0.114,0.0949,0.2158,TRUE,NA,TRUE,8.5,15,0.9305040536966467
turquoise,0.689,0.0987,0.082,-0.0785,-0.457,0.6548089699094842,-0.0956,0.062,0.0807,TRUE,NA,TRUE,9.5,15,0.9305040536966467
