pathway,pval,padj,foldEnrichment,overlap,size,overlapGenes,database,odds_ratio,quadrant,pathway_label,ID,p.adjust,GeneRatio,geneID
GOBP_SMALL_MOLECULE_CATABOLIC_PROCESS,5.963959450305387e-12,8.522498054486399e-9,1.9863046044864228,72,126,,GO:BP,3.6122576610381487,Reversed (Aging Up / Training Down),Small Molecule Catabolic Process,GOBP_SMALL_MOLECULE_CATABOLIC_PROCESS,8.522498054486399e-9,72/605,AASDHPPT/ACAA1/ACAA2/ACADS/ACADSB/ACADVL/ACAT1/ACSS1/ACSS2/ADH5/ADHFE1/ADIPOQ/AKR1A1/ALDH1L1/ALDH2/ALDH4A1/ALDH5A1/ALDH6A1/APOE/BCAT2/BCL2L13/CPT1B/CPT2/CRAT/DBT/DCXR/DLD/ECH1/ECHDC2/ECI1/ECI2/ETFA/ETFB/ETFDH/FAH/GALK1/GCDH/GCSH/GLUL/GNPDA1/GOT1/GPD2/GPT/GPT2/GSK3A/HADH/HADHA/HADHB/HAGH/HSD17B10/IVD/LDHD/MCCC1/MCCC2/MCEE/MLYCD/MPST/MTAP/NUDT3/OXCT1/PARK7/PCCA/PDXP/PGAM2/PGM1/PLIN5/RIDA/SHMT1/SULT1A1/TIGAR/TKFC/TST
GOBP_LIPID_OXIDATION,2.4682637360701837e-8,1.1757162929480975e-5,2.536564663837391,27,37,,GO:BP,6.950865051903114,Reversed (Aging Up / Training Down),Lipid Oxidation,GOBP_LIPID_OXIDATION,1.1757162929480975e-5,27/605,ACAA1/ACAA2/ACADS/ACADVL/ACAT1/ADH5/ADIPOQ/APOD/CPT1B/CPT2/CRAT/ECH1/ECHDC2/ECI1/ECI2/ETFA/ETFB/ETFDH/FABP3/GCDH/HADH/HADHA/HADHB/HSD17B10/IVD/MLYCD/PLIN5
GOBP_LIPID_CATABOLIC_PROCESS,1.6949751495994706e-7,4.036865814629405e-5,2.1209693234346547,36,59,,GO:BP,4.057461603117598,Reversed (Aging Up / Training Down),Lipid Catabolic Process,GOBP_LIPID_CATABOLIC_PROCESS,4.036865814629405e-5,36/605,ABHD16A/ACAA1/ACAA2/ACADS/ACADVL/ACAT1/ADIPOQ/APOE/ASAH1/BCO2/CPT1B/CPT2/CRAT/ECH1/ECHDC2/ECI1/ECI2/ETFA/ETFB/ETFDH/GCDH/HADH/HADHA/HADHB/HSD17B10/IDH1/IVD/MCEE/MLYCD/OXCT1/PAFAH1B3/PCCA/PLIN5/PRDX6/RAB7A/SCARB2
GOBP_MONOCARBOXYLIC_ACID_CATABOLIC_PROCESS,2.3123237405569596e-7,4.720443750365564e-5,2.2669780812073306,30,46,,GO:BP,4.832608695652174,Reversed (Aging Up / Training Down),Monocarboxylic Acid Catabolic Process,GOBP_MONOCARBOXYLIC_ACID_CATABOLIC_PROCESS,4.720443750365564e-5,30/605,ACAA1/ACAA2/ACADS/ACADVL/ACAT1/ADIPOQ/AKR1A1/CPT1B/CPT2/CRAT/DCXR/ECH1/ECHDC2/ECI1/ECI2/ETFA/ETFB/ETFDH/FAH/GCDH/HADH/HADHA/HADHB/HSD17B10/IVD/LDHD/MCEE/MLYCD/PCCA/PLIN5
HALLMARK_XENOBIOTIC_METABOLISM,6.401105150656178e-6,1.992972577248961e-4,1.9863046044864225,32,56,,Hallmark,3.4299011052937756,Reversed (Aging Up / Training Down),Xenobiotic Metabolism,HALLMARK_XENOBIOTIC_METABOLISM,1.992972577248961e-4,32/605,ACO2/ADH5/AHCY/ALDH2/ALDH9A1/APOE/ATP2A2/BLVRB/CA2/CAT/CNDP2/CYB5A/DCXR/ECH1/EPHA2/ETFDH/FAH/FBLN1/FBP1/GSS/GSTO1/IDH1/KARS1/LONP1/MAOA/MCCC2/MT2A/MTHFD1/PGRMC1/PTGES3/RBP4/TKFC
HALLMARK_ADIPOGENESIS,9.490345605947434e-6,1.992972577248961e-4,1.6736455463728193,52,108,,Hallmark,2.421338155515371,Reversed (Aging Up / Training Down),Adipogenesis,HALLMARK_ADIPOGENESIS,1.992972577248961e-4,52/605,ACAA2/ACADS/ACO2/ADIPOQ/AK2/ALDH2/ALDOA/APOE/ARAF/BCL2L13/CAT/CAVIN1/CAVIN2/CMBL/COQ3/COQ5/COQ9/COX7B/CPT2/CRAT/CS/DBT/DLD/ECH1/ETFB/FABP4/FAH/GPD2/GPHN/GPX3/GRPEL1/HADH/IDH1/IMMT/ITGA7/MCCC1/NDUFA5/NDUFB7/NDUFS3/PGM1/PLIN2/PREB/SAMM50/SDHB/SLC27A1/SOD1/STOM/SULT1A1/TALDO1/TST/UBQLN1/YWHAG
REACTOME_METABOLISM_OF_VITAMINS_AND_COFACTORS,3.7992920330807506e-6,0.001614699114059319,2.100103305785124,29,48,,Reactome,3.9191337719298245,Reversed (Aging Up / Training Down),Metabolism Of Vitamins And Cofactors,REACTOME_METABOLISM_OF_VITAMINS_AND_COFACTORS,0.001614699114059319,29/605,AASDHPPT/ACO1/ALDH1L1/APOE/BCO2/COQ3/COQ5/COQ6/COQ7/COQ8A/COQ9/CYB5A/CYB5R3/GPC1/GPHN/GSTO1/IDH1/MCCC1/MCCC2/MTHFD1/NADK2/NAXD/NAXE/PANK4/PCCA/PNPO/RBP4/SHMT1/SPR
GOBP_FATTY_ACID_METABOLIC_PROCESS,1.8866937337343633e-5,0.0029956503838960056,1.66985901798736,49,102,,GO:BP,2.4027758924935525,Reversed (Aging Up / Training Down),Fatty Acid Metabolic Process,GOBP_FATTY_ACID_METABOLIC_PROCESS,0.0029956503838960056,49/605,ACAA1/ACAA2/ACADS/ACADSB/ACADVL/ACAT1/ACOT2/ACSF2/ACSL1/ACSS1/ACSS2/ADH5/ADIPOQ/AKR1B1/ALDH3A2/ASAH1/CBR4/CPT1B/CPT2/CRAT/DBI/ECH1/ECHDC2/ECHDC3/ECI1/ECI2/ETFA/ETFB/ETFDH/FABP3/FABP5/GCDH/GPX1/GSTP1/HADH/HADHA/HADHB/HSD17B10/HSD17B8/IVD/MCEE/MECR/MLYCD/PCCA/PDK1/PLAA/PLIN5/PTGES3/SLC27A1
GOBP_SULFUR_COMPOUND_METABOLIC_PROCESS,2.4491974925116362e-5,0.003499903216799128,1.7600167381525265,40,79,,GO:BP,2.6485137281597457,Reversed (Aging Up / Training Down),Sulfur Compound Metabolic Process,GOBP_SULFUR_COMPOUND_METABOLIC_PROCESS,0.003499903216799128,40/605,ABHD14B/ACAT1/ACOT2/ACSF2/ACSL1/ACSS1/ACSS2/AHCY/AKR1A1/ARL6IP5/BPNT1/CBR4/DLD/GCDH/GLO1/GPC1/GPX1/GSS/GSTO1/GSTP1/HAGH/IDH1/MAT2B/MCCC1/MCCC2/MCEE/MLYCD/MPST/MTHFD1/OGDH/OPLAH/PANK4/PDK1/SOD1/SOD2/STAT5B/SUCLG2/SULT1A1/SUOX/TST
GOBP_MODIFIED_AMINO_ACID_METABOLIC_PROCESS,3.333239713391207e-5,0.004330181409487304,1.9385568976478067,29,52,,GO:BP,3.2287892512077296,Reversed (Aging Up / Training Down),Modified Amino Acid Metabolic Process,GOBP_MODIFIED_AMINO_ACID_METABOLIC_PROCESS,0.004330181409487304,29/605,AASDHPPT/ABHD16A/ALDH1L1/ALDH4A1/ALDH7A1/ALDH9A1/ARL6IP5/ASS1/CKB/CKM/CPT1B/CPT2/CRAT/GAMT/GLO1/GPX1/GSS/GSTO1/GSTP1/HAGH/IDH1/MTHFD1/OPLAH/PANK4/PARK7/SHMT1/SOD1/SOD2/SULT1A1
GOBP_ALCOHOL_METABOLIC_PROCESS,7.100623159461583e-5,0.008455658745725502,1.7380165289256198,37,74,,GO:BP,2.5721830985915495,Reversed (Aging Up / Training Down),Alcohol Metabolic Process,GOBP_ALCOHOL_METABOLIC_PROCESS,0.008455658745725502,37/605,ACAA2/ACADVL/ACSS1/ACSS2/ADH1B/AKR1A1/AKR1B1/AKR7A2/ALDH1A1/ALDH2/ALDH3A2/APOE/ASAH1/CAT/CBR4/COQ3/CYB5R3/FDPS/FDX1/GALK1/GOT1/GPD2/H6PD/IDH1/IDI1/LSS/MECP2/NPC2/NUDT3/PARK7/PCBD1/PCBD2/PGP/RBP4/SPR/SULT1A1/TKFC
