source,module,outcome,stratum,n,r,p_raw,p_bh
delta_ME,MEgreen,delta_VL,Young,15,-0.6932169701367424,0.004162480542289797,0.8292683883061657
baseline,MEturquoise,delta_VL,Young,15,0.6280166055381033,0.01217847444916863,0.8292683883061657
delta_ME,MEbrown,delta_LBM,Young,15,-0.6164715695285109,0.014383772606389837,0.8292683883061657
delta_ME,MEturquoise,delta_T1,Young,11,0.6796725325013482,0.02140820881523672,0.8292683883061657
baseline,MEyellow,delta_T2,Young,11,0.6788866376614753,0.021617987138315142,0.8292683883061657
delta_ME,MEyellow,delta_T2,Young,11,-0.6203177485672824,0.04173050860010411,0.8292683883061657
baseline,MEbrown,delta_VL,Young,15,-0.5066633041268221,0.05392790569793685,0.8292683883061657
baseline,MEyellow,delta_VL,Old,15,0.4956159416374727,0.060282571467958845,0.8292683883061657
delta_ME,MEpink,delta_T1,Young,11,0.5795032481292689,0.061697737511976186,0.8292683883061657
delta_ME,MEyellow,delta_T2,Old,10,0.5880528506930199,0.073771052862892,0.8292683883061657
delta_ME,MEbrown,delta_T2,Young,11,-0.5570428676753918,0.07505685375662975,0.8292683883061657
baseline,MEblue,delta_T2,Young,11,-0.5460546454053347,0.08224567795048197,0.8292683883061657
baseline,MEred,delta_VL,Old,15,0.46198720656860426,0.08297021124616659,0.8292683883061657
delta_ME,MEmagenta,delta_DL,Old,9,0.6026323236664853,0.0858764666500781,0.8292683883061657
baseline,MEpink,delta_VL,Old,15,-0.4470611551026531,0.09476848795039333,0.8292683883061657
baseline,MEbrown,delta_T2,Young,11,0.5174901732776241,0.10303151524067408,0.8292683883061657
baseline,MEmagenta,delta_VL,Young,15,-0.4361339725972867,0.10412175924629737,0.8292683883061657
baseline,MEturquoise,delta_VL,Old,15,-0.4329869610837657,0.10693072695114238,0.8292683883061657
baseline,MEgreen,delta_VL,Old,15,-0.4320499960287465,0.10777713052496492,0.8292683883061657
delta_ME,MEred,delta_LBM,Old,15,-0.4310138991643948,0.10871849504791711,0.8292683883061657
delta_ME,MEred,delta_T1,Young,11,-0.5098311836917209,0.10913515958550132,0.8292683883061657
delta_ME,MEmagenta,delta_DL,Young,15,0.42674732033511226,0.11265515684076023,0.8292683883061657
delta_ME,MEred,delta_DL,Old,9,0.5620062313589554,0.11527348918104854,0.8292683883061657
delta_ME,MEyellow,delta_DL,Old,9,0.5613596812542984,0.11578409455450137,0.8292683883061657
baseline,MEpink,delta_LBM,Young,15,-0.4217235397210104,0.11741564743836588,0.8292683883061657
delta_ME,MEred,delta_VL,Young,15,0.414018914092599,0.12498292712045903,0.8292683883061657
baseline,MEpink,delta_VL,Young,15,0.40726924835771494,0.13188107374744407,0.8292683883061657
delta_ME,MEgreen,delta_T2,Old,10,-0.5079836266854006,0.13386300438099497,0.8292683883061657
delta_ME,MEpink,delta_T2,Young,11,0.4808437722162931,0.13433574604559145,0.8292683883061657
baseline,MEred,delta_VL,Young,15,-0.40460696105970684,0.1346717712882907,0.8292683883061657
baseline,MEmagenta,delta_T2,Old,10,-0.5067429495887916,0.13497432925181724,0.8292683883061657
delta_ME,MEred,delta_T2,Old,10,0.5060755368867544,0.13557449682154818,0.8292683883061657
delta_ME,MEpurple,delta_LBM,Old,15,-0.4025742882532156,0.13682928407051734,0.8292683883061657
delta_ME,MEpink,delta_T2,Old,10,-0.499060630099784,0.14198180924629078,0.8351871132134753
baseline,MEmagenta,delta_LBM,Old,15,0.39243039570309235,0.1479461658810192,0.8445300795248935
delta_ME,MEpink,delta_LBM,Young,15,0.3822164834604277,0.15973644373527715,0.8445300795248935
baseline,MEturquoise,delta_T2,Old,10,0.4782956358742429,0.162016427764566,0.8445300795248935
delta_ME,MEbrown,delta_T1,Young,11,-0.4517496609237323,0.16305720730864082,0.8445300795248935
baseline,MEyellow,delta_VL,Young,15,-0.37808038730768245,0.1646833655073542,0.8445300795248935
delta_ME,MEred,delta_T2,Young,11,-0.44179397298522743,0.17369036791421458,0.8507950519945503
baseline,MEblack,delta_VL,Young,15,-0.367255658978553,0.1781061777339478,0.8507950519945503
delta_ME,MEturquoise,delta_T2,Young,11,0.4372629002690387,0.17866696091885556,0.8507950519945503
delta_ME,MEyellow,delta_LBM,Old,15,-0.35666195465322514,0.19191621722397317,0.8585900169928896
delta_ME,MEyellow,delta_T1,Young,11,-0.4215319449298406,0.1966137057143577,0.8585900169928896
baseline,MEpink,delta_T2,Old,10,0.44381648455603473,0.19884196832662432,0.8585900169928896
delta_ME,MEturquoise,delta_T2,Old,10,-0.44093736199874023,0.202118894787601,0.8585900169928896
baseline,MEbrown,delta_T2,Old,10,-0.438363712182734,0.20507449445962958,0.8585900169928896
delta_ME,MEyellow,delta_VL,Old,15,-0.3434668701822122,0.21005995914576833,0.8585900169928896
delta_ME,MEgreen,delta_VL,Old,15,0.34325875492724195,0.21035455416325796,0.8585900169928896
