classifier,feature,n_selected,pct_selected
Pre,MEgreen,0,0
Pre,MEpink,0,0
Pre,MEturquoise,30,100
Pre,MEred,0,0
Pre,MEyellow,0,0
Pre,MEbrown,1,3.3
Pre,MEblack,0,0
Pre,MEpurple,0,0
Pre,MEblue,0,0
Pre,MEmagenta,29,96.7
Pre,MEgrey,0,0
Post,MEgreen,1,3.3
Post,MEpink,0,0
Post,MEturquoise,30,100
Post,MEred,0,0
Post,MEyellow,0,0
Post,MEbrown,0,0
Post,MEblack,0,0
Post,MEpurple,0,0
Post,MEblue,2,6.7
Post,MEmagenta,30,100
Post,MEgrey,1,3.3
DeltaME,MEgreen,29,96.7
DeltaME,MEpink,0,0
DeltaME,MEturquoise,0,0
DeltaME,MEred,0,0
DeltaME,MEyellow,0,0
DeltaME,MEbrown,14,46.7
DeltaME,MEblack,0,0
DeltaME,MEpurple,0,0
DeltaME,MEblue,17,56.7
DeltaME,MEmagenta,0,0
DeltaME,MEgrey,0,0
Combined,MEgreen,0,0
Combined,MEpink,0,0
Combined,MEturquoise,30,100
Combined,MEred,0,0
Combined,MEyellow,0,0
Combined,MEbrown,0,0
Combined,MEblack,0,0
Combined,MEpurple,0,0
Combined,MEblue,1,3.3
Combined,MEmagenta,30,100
Combined,MEgrey,1,3.3
