gene,n_miss,pct_miss,mean_intensity,vote_kmeans,vote_logistic,vote_lefttail,n_mnar_votes,classification,imputation_reliable,group_miss_pval
NTMT1,12,19.35483870967742,16.916862824482386,1,1,1,3,MNAR,TRUE,0.017491254372813594
TMEM109,0,0,21.454228112319537,NA,NA,NA,NA,Complete,TRUE,NA
TMED9,7,11.29032258064516,20.760944671626014,0,0,0,0,MAR,TRUE,NA
TIMM21,6,9.67741935483871,18.185886251581756,0,1,1,2,MNAR,TRUE,0.01249375312343828
TPPP3,18,29.03225806451613,21.008465281012754,0,0,0,0,MAR,TRUE,NA
NUDT9,12,19.35483870967742,16.130412548431345,1,1,1,3,MNAR,TRUE,0.012993503248375811
FUNDC2,0,0,24.403766875042813,NA,NA,NA,NA,Complete,TRUE,NA
SORBS1,34,54.83870967741935,18.147099603759507,1,1,1,3,MNAR,FALSE,0.010994502748625687
HINT2,0,0,21.789343280024244,NA,NA,NA,NA,Complete,TRUE,NA
OSBPL11,27,43.54838709677419,14.366571439468842,1,1,1,3,MNAR,TRUE,0.01899050474762619
NT5C1A,0,0,23.024289211987302,NA,NA,NA,NA,Complete,TRUE,NA
TMEM120A,31,50,15.201243208531707,1,1,1,3,MNAR,FALSE,4.997501249375312e-4
NAA15,30,48.38709677419355,18.3818952966093,1,1,1,3,MNAR,TRUE,0.001999000499750125
BCL2L13,0,0,22.172918741399027,NA,NA,NA,NA,Complete,TRUE,NA
AP1M1,14,22.58064516129032,19.579606234035293,0,0,0,0,MAR,TRUE,NA
OSBPL1A,5,8.064516129032258,17.431557739222697,0,1,1,2,MNAR,TRUE,9.995002498750624e-4
HDHD5,2,3.225806451612903,20.251218857422543,0,0,0,0,MAR,TRUE,NA
EIF2A,8,12.903225806451612,16.76552346949781,0,1,1,2,MNAR,TRUE,0.06846576711644178
MRPL13,20,32.25806451612903,19.136308482616492,1,0,0,1,MAR,TRUE,NA
MRPL9,21,33.87096774193548,17.02843491364723,1,1,1,3,MNAR,TRUE,0.5992003998001
MRPL4,32,51.61290322580645,20.27050228064463,1,0,0,1,MAR,FALSE,NA
MRPL1,11,17.741935483870968,17.997511813999157,0,1,1,2,MNAR,TRUE,0.12693653173413294
NLN,24,38.70967741935484,17.196822974238245,1,1,1,3,MNAR,TRUE,0.06996501749125437
TRIM54,1,1.6129032258064515,20.87379248361524,0,0,0,0,MAR,TRUE,NA
BCO2,31,50,17.18349945963785,1,1,1,3,MNAR,FALSE,0.0034982508745627187
MRPL37,21,33.87096774193548,20.88474360217528,0,0,0,0,MAR,TRUE,NA
ASPSCR1,34,54.83870967741935,17.551152605101933,1,1,1,3,MNAR,FALSE,0.16141929035482258
UBL5,1,1.6129032258064515,21.782322491163345,0,0,0,0,MAR,TRUE,NA
NIBAN1,2,3.225806451612903,19.966865332079156,0,0,0,0,MAR,TRUE,NA
UBXN6,15,24.193548387096776,17.72574271638029,1,1,1,3,MNAR,TRUE,0.0014992503748125937
UBE2O,37,59.67741935483871,14.379882866360608,1,1,1,3,MNAR,FALSE,4.997501249375312e-4
LNPK,1,1.6129032258064515,18.710764596904678,0,0,0,0,MAR,TRUE,NA
PITHD1,24,38.70967741935484,18.468988101880946,1,1,1,3,MNAR,TRUE,0.0014992503748125937
SLIRP,3,4.838709677419355,18.374593423894826,0,1,0,1,MAR,TRUE,NA
NIF3L1,0,0,20.24785208231937,NA,NA,NA,NA,Complete,TRUE,NA
EGLN1,24,38.70967741935484,15.448775901510679,1,1,1,3,MNAR,TRUE,4.997501249375312e-4
ANKRD2,0,0,26.50830545615589,NA,NA,NA,NA,Complete,TRUE,NA
NAA50,2,3.225806451612903,19.542025232635165,0,0,0,0,MAR,TRUE,NA
TMEM126A,1,1.6129032258064515,19.95148106345139,0,0,0,0,MAR,TRUE,NA
PAIP1,4,6.451612903225806,16.814074910113817,0,1,0,1,MAR,TRUE,NA
CLPB,24,38.70967741935484,16.32196607539576,1,1,1,3,MNAR,TRUE,0.04547726136931534
TOLLIP,0,0,21.71249467614214,NA,NA,NA,NA,Complete,TRUE,NA
PCBD2,0,0,23.143535409179528,NA,NA,NA,NA,Complete,TRUE,NA
NT5C3A,0,0,23.68083531066749,NA,NA,NA,NA,Complete,TRUE,NA
HDHD2,1,1.6129032258064515,19.736378573140655,0,0,0,0,MAR,TRUE,NA
RAB1B,0,0,24.24972183642771,NA,NA,NA,NA,Complete,TRUE,NA
C11orf54,0,0,22.241832380746,NA,NA,NA,NA,Complete,TRUE,NA
NUCKS1,0,0,21.383087634182537,NA,NA,NA,NA,Complete,TRUE,NA
TMX4,2,3.225806451612903,18.780996631574055,0,0,0,0,MAR,TRUE,NA
MYLK2,0,0,21.899748497052567,NA,NA,NA,NA,Complete,TRUE,NA
EHD4,26,41.935483870967744,16.539758981444674,1,1,1,3,MNAR,TRUE,4.997501249375312e-4
SH3BGRL3,10,16.129032258064516,19.969108603251637,0,0,0,0,MAR,TRUE,NA
SLK,21,33.87096774193548,17.123853331852764,1,1,1,3,MNAR,TRUE,0.010494752623688156
PPIL3,5,8.064516129032258,19.486759735834106,0,0,0,0,MAR,TRUE,NA
LRMDA,0,0,24.286429598218575,NA,NA,NA,NA,Complete,TRUE,NA
TNMD,1,1.6129032258064515,24.29321148299463,0,0,0,0,MAR,TRUE,NA
PPA2,0,0,20.9359455437982,NA,NA,NA,NA,Complete,TRUE,NA
MRPL46,14,22.58064516129032,16.8656713222424,1,1,1,3,MNAR,TRUE,0.014992503748125937
TMEM245,24,38.70967741935484,21.4090258905258,0,0,0,0,MAR,TRUE,NA
C11orf68,12,19.35483870967742,18.74212851293333,0,0,1,1,MAR,TRUE,NA
GHITM,0,0,19.439706035503068,NA,NA,NA,NA,Complete,TRUE,NA
BOLA2,6,9.67741935483871,18.97496843970118,0,0,0,0,MAR,TRUE,NA
TMX1,2,3.225806451612903,18.38582523766034,0,1,0,1,MAR,TRUE,NA
CHMP4B,0,0,20.517522333408444,NA,NA,NA,NA,Complete,TRUE,NA
RBKS,5,8.064516129032258,17.886499316149507,0,1,1,2,MNAR,TRUE,0.6846576711644178
FN3K,0,0,21.65432535890463,NA,NA,NA,NA,Complete,TRUE,NA
RNPEP,0,0,20.659924329052366,NA,NA,NA,NA,Complete,TRUE,NA
GLIPR2,25,40.32258064516129,15.947080117681985,1,1,1,3,MNAR,TRUE,0.014992503748125937
EHD1,0,0,23.48634173966568,NA,NA,NA,NA,Complete,TRUE,NA
TMEM38A,0,0,22.798256346582583,NA,NA,NA,NA,Complete,TRUE,NA
OPA3,18,29.03225806451613,18.899688123542028,0,0,1,1,MAR,TRUE,NA
DCTPP1,19,30.64516129032258,17.880264418766043,1,1,1,3,MNAR,TRUE,4.997501249375312e-4
AAMDC,0,0,25.237238190807652,NA,NA,NA,NA,Complete,TRUE,NA
PTGES2,0,0,22.170390099921562,NA,NA,NA,NA,Complete,TRUE,NA
UBE2Z,23,37.096774193548384,16.842139256434567,1,1,1,3,MNAR,TRUE,0.035982008995502246
ACAD9,11,17.741935483870968,17.910444100699962,0,1,1,2,MNAR,TRUE,0.655672163918041
METTL7A,0,0,21.827171056927085,NA,NA,NA,NA,Complete,TRUE,NA
COQ10B,11,17.741935483870968,21.661421679918966,0,0,0,0,MAR,TRUE,NA
MOB1A,27,43.54838709677419,17.570222360387877,1,1,1,3,MNAR,TRUE,0.11244377811094453
GORASP2,4,6.451612903225806,16.333463553359408,0,1,0,1,MAR,TRUE,NA
JPT2,28,45.16129032258064,15.587371605004861,1,1,1,3,MNAR,TRUE,0.0029985007496251873
SYNPO2L,4,6.451612903225806,17.74520805840799,0,1,0,1,MAR,TRUE,NA
ARMT1,7,11.29032258064516,19.1285244543479,0,0,0,0,MAR,TRUE,NA
