gene,pre_mean,post_mean,pre_sd,pct_miss,shift,effect_d,imputation_reliable
MMP24OS,16.322906735899043,16.24748352214779,0.6550584833182418,40.32258064516129,-0.07542321375125383,-0.11513966412463293,TRUE
ESYT2,17.098331165177516,17.10453946796546,0.3409113149249891,29.03225806451613,0.006208302787943154,0.018210902707377637,TRUE
ILVBL,17.0022662256138,16.992800843581772,0.49633878536757164,27.419354838709676,-0.00946538203202607,-0.019070405761291313,TRUE
TARS3,15.491210573111283,15.444518531691013,0.3875543139831935,35.483870967741936,-0.04669204142027006,-0.12047870385025539,TRUE
VWA8,21.47361209635668,21.369038076962013,0.47186132495348715,54.83870967741935,-0.10457401939466493,-0.22162023854142554,FALSE
MAP1LC3B2,20.71365448426334,20.74957970456294,0.3731862545521013,50,0.03592522029959966,0.09626619378764945,FALSE
NUDT19,17.09822072861629,17.06736410486631,0.6042757799956624,32.25806451612903,-0.03085662374997966,-0.05106381021956755,TRUE
PGRMC1,18.91983573998077,18.87246490738702,0.6377832097841362,48.38709677419355,-0.04737083259374941,-0.07427419202487712,TRUE
DCTN6,15.851648718794934,15.884165753642888,0.3905785274216487,53.2258064516129,0.03251703484795421,0.08325351386470478,FALSE
EEF2K,16.35507340966682,16.362648912053764,0.4739794094707643,19.35483870967742,0.007575502386945487,0.01598276683665254,TRUE
COX7A2L,16.51490204168833,16.47784951753129,0.46691275145430605,46.774193548387096,-0.03705252415704052,-0.07935641946301959,TRUE
GAPDHS,19.680137412117432,19.643444322232885,0.8379478698234502,38.70967741935484,-0.03669308988454745,-0.043789227475783704,TRUE
HGS,16.3499010490389,16.350334626734185,0.3181479155549184,25.806451612903224,4.3357769528640233e-4,0.001362817966385697,TRUE
ARPC1B,17.155284550604783,17.130295108260995,0.4703007377090483,20.967741935483872,-0.02498944234378797,-0.053135026888364564,TRUE
ARPC2,16.83268869422138,16.79376143445447,0.4204063684348956,62.903225806451616,-0.038927259766907696,-0.09259436271583502,FALSE
MAPK13,19.483493686791622,19.402974894331518,0.4557895986507695,64.51612903225806,-0.0805187924601043,-0.17665781031084604,FALSE
EIF3H,15.830370100917165,15.819316978919968,0.513924353031285,22.58064516129032,-0.011053121997196769,-0.02150729369410504,TRUE
ARPC5,17.791422909324567,17.77895269752457,0.4650188115926674,38.70967741935484,-0.012470211799996633,-0.026816574919381754,TRUE
TAPBP,15.367773758655241,15.306410911716542,0.4427912974933034,54.83870967741935,-0.06136284693869953,-0.1385818720604543,FALSE
DHX15,16.624050924683303,16.61434365426224,0.29093262266081815,30.64516129032258,-0.009707270421063896,-0.03336604307995069,TRUE
DYNC1LI2,16.65736356119539,16.665584754845547,0.34353834059586347,16.129032258064516,0.008221193650157943,0.023930934858386908,TRUE
TRAPPC3,16.10923959531714,16.1029856532161,0.29843896038995466,69.35483870967742,-0.006253942101039911,-0.02095551496650508,FALSE
BUB3,16.052906865050232,15.988703505418151,0.36497486776709276,45.16129032258064,-0.06420335963208146,-0.1759117279084887,TRUE
AP1G1,16.55714884081572,16.523380113666594,0.4467522069188328,48.38709677419355,-0.03376872714912693,-0.07558715239936606,TRUE
PPP1R12B,15.587303588088316,15.563834572471212,0.5717370751408186,46.774193548387096,-0.02346901561710446,-0.041048615941731696,TRUE
SPAG9,15.835318173191952,15.833280425026523,0.45616727675148133,14.516129032258066,-0.002037748165429676,-0.004467107285601802,TRUE
TBC1D4,17.522237209797368,17.525273520795377,0.2678478195595851,27.419354838709676,0.003036310998009384,0.011335955629588128,TRUE
SELENOF,13.634859580095178,13.589460113370446,0.48738888567359495,67.74193548387096,-0.045399466724731496,-0.09314834223596881,FALSE
CLASP2,17.03953403751402,17.00899079052126,0.42102434590639254,32.25806451612903,-0.03054324699276023,-0.0725450850757951,TRUE
COBL,17.794148463668837,17.772226637401754,0.45788861372316103,51.61290322580645,-0.021921826267082167,-0.04787589297937005,FALSE
CLUH,17.216646829720737,17.22253446320446,0.49311930271659343,54.83870967741935,0.0058876334837236755,0.011939572130494005,FALSE
CILP,17.966104018969183,17.975254929402823,0.46965232086441305,58.06451612903226,0.00915091043363958,0.01948443567104487,FALSE
VPS4B,18.846481151020406,18.79120487647141,0.4153768067033111,40.32258064516129,-0.05527627454899431,-0.1330750144373761,TRUE
MACROH2A1,19.81762922274909,19.766785878170438,0.6520184719752226,48.38709677419355,-0.05084334457865225,-0.07797838061953612,TRUE
TCEA3,17.4823436925276,17.434992359078542,0.42699620648104863,41.935483870967744,-0.04735133344905762,-0.1108940377697693,TRUE
DCTN3,17.203993230422096,17.210491596716494,0.4553687595731838,45.16129032258064,0.006498366294398039,0.014270557998947808,TRUE
SNCG,16.028362549389303,16.01503321043705,0.5145759385246936,64.51612903225806,-0.013329338952253522,-0.025903541060371345,FALSE
TPPP,16.036184552282815,16.029064486807503,0.4258538837289113,64.51612903225806,-0.007120065475312742,-0.016719503443216713,FALSE
SEC31A,18.250127337033163,18.24379784365372,0.30152537113755623,25.806451612903224,-0.006329493379443107,-0.020991578106890334,TRUE
ARIH2,19.243316125866848,19.274234779853117,0.38889680498553897,32.25806451612903,0.030918653986269362,0.07950349190299741,TRUE
ETHE1,17.39756971185419,17.391224596890474,0.31328919726930593,41.935483870967744,-0.006345114963714593,-0.02025321976952905,TRUE
ASMTL,17.637718575077166,17.6496981966068,0.35988151585414235,53.2258064516129,0.011979621529633278,0.03328768220062889,FALSE
SNAP29,16.511513997482048,16.486579730046852,0.28066328544455726,53.2258064516129,-0.024934267435195778,-0.0888405029382489,FALSE
BAG2,14.61298573039326,14.618939987589766,0.4444939235363681,22.58064516129032,0.005954257196504997,0.01339558738876174,TRUE
MLYCD,16.67549538727743,16.579113963995724,0.6781278243578451,30.64516129032258,-0.09638142328170574,-0.1421286958295427,TRUE
ABHD16A,14.876416308130075,14.8376832211345,0.537716276998902,46.774193548387096,-0.03873308699557576,-0.0720325730360118,TRUE
TXNDC12,19.115079531431665,19.044531354994998,0.7796492828368167,64.51612903225806,-0.07054817643666667,-0.09048706641526232,FALSE
CLPTM1,15.921570932919245,15.865598355597612,0.4790339472551726,58.06451612903226,-0.055972577321632855,-0.116844698882723,FALSE
PEX11B,15.09796418271817,15.063397436241106,0.5102058554136214,38.70967741935484,-0.034566746477064925,-0.06775058755262978,TRUE
CYB5A,17.11052868247609,17.0808132661566,0.44205920688796557,22.58064516129032,-0.029715416319490373,-0.06722044435785585,TRUE
F13A1,18.08687568785512,18.062250835959112,0.6154309877858066,25.806451612903224,-0.02462485189600727,-0.040012369192851976,TRUE
ASS1,19.660174883498325,19.605648280436853,0.7932473417485868,37.096774193548384,-0.054526603061471945,-0.06873846301366328,TRUE
CSTA,18.218692834575187,18.190614739222635,0.8996633715640697,29.03225806451613,-0.028078095352551458,-0.031209557085488025,TRUE
JCHAIN,16.482134530244405,16.448679526644067,0.9040965865357313,37.096774193548384,-0.03345500360033782,-0.037003793730190825,TRUE
HLA-B,15.55926720609746,15.496884391601233,0.6829191116345522,30.64516129032258,-0.0623828144962264,-0.09134729638319021,TRUE
APOE,16.802094698704828,16.7597396998058,0.6851775592596402,27.419354838709676,-0.04235499889902883,-0.06181609179494287,TRUE
LRG1,18.371561612152657,18.32934119654145,0.6794531788574455,27.419354838709676,-0.04222041561120804,-0.06213881533707006,TRUE
FN1,17.068188305105576,17.114067466363064,0.7206847097931235,59.67741935483871,0.04587916125748848,0.06366051705281543,FALSE
RBP4,20.393688157865473,20.287498063306295,0.7416256539362541,45.16129032258064,-0.10619009455917805,-0.14318557347033944,TRUE
PPBP,18.4551225445772,18.47063688329216,0.6768565226523324,51.61290322580645,0.015514338714957887,0.022921163046731592,FALSE
TFRC,16.77188201863427,16.75405452696439,0.904499729368354,29.03225806451613,-0.017827491669880402,-0.019709781098917526,TRUE
VWF,17.117809659775013,17.16529754410142,0.5599554685148015,59.67741935483871,0.047487884326407936,0.08480653729905073,FALSE
SSB,16.550341304807613,16.546171622855304,0.4393857795196913,22.58064516129032,-0.004169681952308935,-0.009489797227545612,TRUE
PTMA,15.021839166693912,14.981876321630946,0.497742181696049,25.806451612903224,-0.03996284506296632,-0.08028824265364355,TRUE
SOD3,18.48061564688999,18.425803508018635,0.6491365159947329,37.096774193548384,-0.05481213887135539,-0.08443853876770681,TRUE
CTSG,17.977382625924722,17.87632058454761,1.2956406666628204,61.29032258064516,-0.10106204137711217,-0.0780015971846712,FALSE
SNRNP70,14.61721643349383,14.630645683140413,0.34663693994100264,70.96774193548387,0.013429249646582875,0.038741542228212966,FALSE
RBP1,19.608485233123808,19.54222414079977,0.7712406821299016,77.41935483870968,-0.06626109232403721,-0.08591493402688101,FALSE
HMOX1,16.90195491471642,16.94285207694463,0.7544001178926677,48.38709677419355,0.04089716222820883,0.05421150031425031,TRUE
LIMS3,17.084431445067697,17.124676168287667,0.35175371237702047,41.935483870967744,0.040244723219970524,0.11441165168666362,TRUE
FDX1,17.430279274878902,17.382049199174094,0.5181636978590171,54.83870967741935,-0.04823007570480797,-0.09307883957152571,FALSE
ARAF,15.269332212000982,15.245100185474826,0.49705570962580664,50,-0.024232026526156858,-0.04875112800615288,FALSE
EPB41,18.351693726332304,18.336428784574434,0.5609708314046503,38.70967741935484,-0.015264941757870076,-0.027211649703153415,TRUE
UBL4A,16.306146934052627,16.30312323987551,0.4207197958335621,30.64516129032258,-0.003023694177116454,-0.007186954849903558,TRUE
IFITM1,15.934303796139636,15.91142860826154,0.45111095481835345,19.35483870967742,-0.02287518787809617,-0.05070856212593464,TRUE
MYH8,19.91368877909568,19.82266989498428,0.8837047603283399,38.70967741935484,-0.09101888411139925,-0.10299693766228128,TRUE
SLC2A4,17.571062734542295,17.54820672039256,0.4634252692683773,62.903225806451616,-0.022856014149734705,-0.04931974077679913,FALSE
JUP,19.5978716675808,19.62301393919788,0.599566430936222,40.32258064516129,0.025142271617077938,0.041934088234089964,TRUE
GLUL,15.520172015886235,15.449170496560576,0.5756535120829283,41.935483870967744,-0.07100151932565879,-0.12334072117227066,TRUE
RPA2,18.02071228344516,17.96024995652587,0.674330744051688,51.61290322580645,-0.06046232691928921,-0.0896627173721961,FALSE
ANK1,19.321056196168414,19.29803798398111,0.5853453602714075,32.25806451612903,-0.023018212187302822,-0.03932415587377331,TRUE
SRM,20.36428757748818,20.2758706175443,0.9616565305925123,46.774193548387096,-0.08841695994388132,-0.09194234857366834,TRUE
TYMP,16.15634961919419,16.18826736283491,0.4251440965994302,22.58064516129032,0.031917743640718754,0.07507511899145945,TRUE
ATP2B1,15.802648334460077,15.795982850115834,0.3780781507462182,54.83870967741935,-0.006665484344242856,-0.017629911517201127,FALSE
PVALB,22.536822357803604,22.450175960621802,1.319441133581703,56.451612903225815,-0.08664639718180212,-0.06566901317271746,FALSE
FDXR,18.015630140519807,17.9929142651822,0.41405882127727117,62.903225806451616,-0.02271587533760666,-0.054861469362091325,FALSE
FBLN1,17.872294993757194,17.855828682880563,0.4894573854220417,22.58064516129032,-0.01646631087663053,-0.03364197040858259,TRUE
MYL9,18.39955947327527,18.38464629104653,0.7286302869992011,66.12903225806451,-0.014913182228742272,-0.020467420164705045,FALSE
TARS1,16.62552179025922,16.615837755688442,0.3883971768784658,19.35483870967742,-0.009684034570778266,-0.024933328940772704,TRUE
COL4A5,20.497645371854386,20.39046177245724,0.9623451904053327,58.06451612903226,-0.10718359939714617,-0.1113774978726721,FALSE
TKT,16.894553884135394,16.872380846879636,0.4610496553514796,19.35483870967742,-0.022173037255758032,-0.04809251454456569,TRUE
GNA11,18.014821199271296,18.002511036624625,0.5001325668481701,37.096774193548384,-0.01231016264667062,-0.024613799345739727,TRUE
NMT1,18.948683530146347,18.950613389905442,0.2821268157802321,46.774193548387096,0.0019298597590946542,0.006840398186742923,TRUE
LRPAP1,18.002414716439283,17.93324548370462,0.5061927933602893,27.419354838709676,-0.06916923273466224,-0.13664602428551395,TRUE
DNAJA1,16.19349602659613,16.174191072366806,0.31859105943994503,59.67741935483871,-0.0193049542293231,-0.06059477708903541,FALSE
AKT2,17.430521070855207,17.42179301044345,0.3903386420137054,37.096774193548384,-0.008728060411755223,-0.022360226409377033,TRUE
GBP2,17.745843716101355,17.72070301441991,0.3780291731457325,43.54838709677419,-0.025140701681444,-0.0665046601357195,TRUE
CTNNA1,15.423402923184193,15.388026808828327,0.5636649597796255,33.87096774193548,-0.035376114355866406,-0.06276088967761506,TRUE
THBS4,17.969085486607742,17.937857321770736,0.5728787522213933,33.87096774193548,-0.031228164837006744,-0.05451094968336055,TRUE
COPB2,16.00616738199445,15.998413374546146,0.3074861817847218,41.935483870967744,-0.0077540074483053445,-0.025217417587025438,TRUE
ADD1,17.122850919425677,17.114391082713688,0.5424637393122119,32.25806451612903,-0.0084598367119888,-0.01559521143793869,TRUE
DEK,19.715561757952585,19.725940002253896,0.3068760042668169,41.935483870967744,0.010378244301310957,0.033819015358031945,TRUE
ARL3,17.329767699402993,17.318025361872554,0.31212877114301146,40.32258064516129,-0.011742337530439073,-0.03762017031444678,TRUE
PPP1CC,15.68622815034573,15.624748030812864,0.49978850503909683,51.61290322580645,-0.061480119532866695,-0.1230122720170551,FALSE
SNCA,18.8466494377168,18.80706121057909,0.9194342137340659,53.2258064516129,-0.03958822713770971,-0.043057161182779385,FALSE
RPL3,18.09207508212997,18.03436904741188,0.8093717557735123,24.193548387096776,-0.057706034718091104,-0.07129731709372754,TRUE
COL15A1,17.04171174136691,17.02142567162934,0.6617518947731709,20.967741935483872,-0.02028606973756908,-0.030655098833562915,TRUE
COL18A1,15.925854788439286,15.893567280272244,0.656813954972071,37.096774193548384,-0.032287508167042844,-0.04915776822740585,TRUE
CAPG,15.451060375774105,15.41325817990509,0.564940540655332,56.451612903225815,-0.037802195869014454,-0.06691358319791291,FALSE
ARL1,17.735214512709284,17.615957470658582,0.8363011744091834,51.61290322580645,-0.11925704205070176,-0.14260059138976167,FALSE
NAA10,16.71707475112607,16.698826605173302,0.36215254251843826,29.03225806451613,-0.018248145952767914,-0.050388010051976496,TRUE
TMPO,15.597577853844362,15.528484844346783,0.5273266373301394,51.61290322580645,-0.06909300949757835,-0.13102506986447152,FALSE
SLC1A4,18.331861191234236,18.321588872600707,0.45663465656823027,38.70967741935484,-0.010272318633528954,-0.022495705233433298,TRUE
PPIC,16.59003147732512,16.579722875783357,0.4590571506298808,37.096774193548384,-0.010308601541762386,-0.02245603086155561,TRUE
MTIF2,20.611254726961022,20.607570250328234,0.21442101680280035,54.83870967741935,-0.0036844766327881473,-0.017183374501841406,FALSE
BAG6,16.083529994071657,16.07025754636778,0.31382644551486943,43.54838709677419,-0.013272447703876367,-0.04229231759643884,TRUE
IQGAP1,17.374334397859116,17.34312282052357,0.3812810745557636,27.419354838709676,-0.031211577335547247,-0.08185976020947888,TRUE
PIP4K2A,17.529210033294305,17.525344074631004,0.27918581207775994,30.64516129032258,-0.0038659586633009724,-0.013847260484082946,TRUE
NES,20.180566871901345,19.971282657564746,1.0592106103106782,58.06451612903226,-0.2092842143365985,-0.19758508109658485,FALSE
PXN,14.511635378418276,14.481456853608837,0.3492194364458348,33.87096774193548,-0.030178524809439722,-0.08641708238401707,TRUE
MRPL19,18.06992422969458,18.011954535382667,0.4408783735810178,37.096774193548384,-0.05796969431191101,-0.13148681764781153,TRUE
CARS1,17.998343053660403,17.992467710833225,0.2971754887767295,30.64516129032258,-0.005875342827177832,-0.019770617191083438,TRUE
GSK3A,16.13581066058742,16.116302169586433,0.3928404993960473,16.129032258064516,-0.019508491000987505,-0.04966008095137809,TRUE
SERPINH1,20.20974222808249,20.19015595512546,0.7906314148160792,62.903225806451616,-0.019586272957031525,-0.024772950568360333,FALSE
NUDT2,19.71577195870647,19.71482995198629,0.7189190673646887,48.38709677419355,-9.420067201801885e-4,-0.0013103098289398037,TRUE
SSR4,13.067908107293542,13.093367987441594,0.5166010343646046,48.38709677419355,0.025459880148051894,0.049283447872624515,TRUE
MECP2,16.23434295505996,16.223611773203434,0.43377097782295604,30.64516129032258,-0.010731181856527883,-0.024739280415638647,TRUE
CAV2,15.97757051426819,15.906457986822106,0.5709833264160298,62.903225806451616,-0.07111252744608443,-0.12454396504438456,FALSE
HNRNPM,18.320135876846567,18.305800402592176,0.38130422984505974,27.419354838709676,-0.0143354742543913,-0.03759589622233254,TRUE
MRPL12,17.656792865774328,17.60176869554864,0.6536461948983796,27.419354838709676,-0.05502417022568906,-0.08418035728677882,TRUE
NUBP1,15.867007692711756,15.872640115205215,0.3734070394337949,38.70967741935484,0.005632422493459188,0.015083868000988283,TRUE
TTC3,22.261520119996288,22.30825011608068,0.4065437396058538,62.903225806451616,0.04672999608439099,0.11494457184286236,FALSE
DRG2,16.92664759576243,16.912545214860618,0.4188402895621849,58.06451612903226,-0.014102380901810818,-0.03367006769227498,FALSE
RRAD,18.87951757671011,18.857688655629822,0.675863757800479,46.774193548387096,-0.021828921080288666,-0.03229781272978504,TRUE
TPD52,17.652044111965203,17.611942101996203,0.5591283073103841,46.774193548387096,-0.04010200996900082,-0.0717223747119985,TRUE
HNRNPH2,19.071472428574992,19.09550723460147,0.34918913067124235,59.67741935483871,0.024034806026477895,0.06883033839076279,FALSE
OXCT1,18.0822532794561,18.058731383784046,0.6589920824723534,38.70967741935484,-0.023521895672054427,-0.03569374549054804,TRUE
MARS1,17.57400140831276,17.58474081562346,0.31894920484034817,51.61290322580645,0.010739407310698112,0.03367121518949635,FALSE
EEFSEC,16.116210382856547,16.14936543473157,0.4794240525269517,43.54838709677419,0.0331550518750241,0.06915600437706497,TRUE
CD81,17.475144168307953,17.436628390179006,0.63141858749583335,33.87096774193548,-0.038515778128946465,-0.06099880315797739,TRUE
SEC61B,16.189996273649886,16.10513560069147,0.8331402452731358,51.61290322580645,-0.08486067295841693,-0.1018564082576473,FALSE
RPL27,18.791632063112356,18.780374123638218,0.7221536845046035,53.2258064516129,-0.011257939474138112,-0.01558939560332098,FALSE
SEC61A1,16.93146525345134,16.86193878240382,0.3782969262560254,58.06451612903226,-0.06952647104752074,-0.1837880940128663,FALSE
DAD1,16.142955681837044,16.114685770918133,0.44765242397456834,59.67741935483871,-0.028269910918911734,-0.06315147512865424,FALSE
NPC2,14.564454117280135,14.419395570698272,0.6511272302881708,48.38709677419355,-0.145058546581863,-0.22278064844203205,TRUE
UFM1,18.796802471830052,18.795915376853852,0.3440899022487782,33.87096774193548,-8.870949761998759e-4,-0.002578090697815663,TRUE
UBE2G1,14.960463134605748,14.939056499798195,0.41737690465781674,51.61290322580645,-0.021406634807553004,-0.05128849864154096,FALSE
RAP1A,14.604048244362081,14.576539669059512,0.427122227813494,53.2258064516129,-0.027508575302569227,-0.06440445734559393,FALSE
RPL32,18.19136967865602,18.13356840840742,0.7657459236607457,27.419354838709676,-0.057801270248599934,-0.07548361468549988,TRUE
VAMP2,17.625649225222766,17.600435656497115,0.5630903971638797,61.29032258064516,-0.025213568725650504,-0.04477712433499811,FALSE
PAFAH1B2,19.44278154846137,19.427866654906115,0.5727931029379343,33.87096774193548,-0.014914893555253883,-0.026038884684109063,TRUE
MRPS5,17.220476200648807,17.17868463585534,0.45485570823014865,29.03225806451613,-0.04179156479346702,-0.09187872997368488,TRUE
MRPS15,17.16950336070589,17.126254888645317,0.6294484872484284,38.70967741935484,-0.04324847206057214,-0.06870851695843856,TRUE
MRPS21,15.302575799333455,15.297145658270345,0.5887195583773397,25.806451612903224,-0.005430141063110128,-0.009223646447345784,TRUE
SARNP,15.869591194197097,15.890950789647846,0.4319851367205091,33.87096774193548,0.021359595450748614,0.0494452091868339,TRUE
ERH,16.574589568234064,16.497534440192638,0.5306657832274994,35.483870967741936,-0.077055128041426,-0.14520462874538123,TRUE
RHOG,14.352405259071192,14.323403956423302,0.4504319619552942,46.774193548387096,-0.029001302647889915,-0.06438553454776444,TRUE
SRSF3,20.002375835091847,19.974155764002596,0.5476840594933396,43.54838709677419,-0.028220071089251064,-0.05152618667659844,TRUE
MXRA7,15.809344451684954,15.79964523124122,0.5262759948460373,53.2258064516129,-0.009699220443733836,-0.018429912324941507,FALSE
