LV,ME,r,pvalue,padj
LV6,MEyellow,0.9807681269984269,2.785276282246018e-44,9.748466987861062e-43
LV8,MEred,0.9526110836271897,1.047619858608429e-32,1.8333347525647508e-31
LV9,MEgreen,0.93913655480759,1.5715979422998646e-29,1.8335309326831752e-28
LV10,MEblack,0.9246228179746997,7.788884785906209e-27,6.815274187667933e-26
LV1,MEturquoise,0.9030775592489586,1.0719739957424168e-23,7.503817970196918e-23
LV3,MEblue,0.888486052273243,5.805555882668398e-22,3.3865742648898984e-21
LV10,MEmagenta,0.8495563465298168,2.584905532530043e-18,1.2924527662650215e-17
LV1,MEpink,0.8139261959682531,8.833129433089549e-16,3.864494126976678e-15
LV2,MEbrown,0.798268224791269,7.831887025304412e-15,3.045733843173938e-14
LV5,MEbrown,0.695792336578709,3.448914700951073e-10,1.2071201453328755e-9
LV2,MEpink,-0.676296611685058,1.613999497003077e-9,5.13545294500979e-9
LV3,MEgreen,-0.62658436887561,5.1038422175583814e-8,1.4886206467878612e-7
LV1,MEbrown,-0.6224672410537077,6.612913336188142e-8,1.7803997443583462e-7
LV5,MEgreen,-0.5894346437548694,4.645777738893015e-7,1.1614444347232537e-6
LV1,MEgreen,0.5745027711651796,1.0464759934942665e-6,2.4417773181532886e-6
LV5,MEblue,0.5730082802583368,1.1325906140968277e-6,2.4775419683368106e-6
LV9,MEblue,-0.5692186757899333,1.381666956296141e-6,2.844608439433231e-6
LV7,MEturquoise,0.55990461397072,2.2288302294895876e-6,4.333836557340865e-6
LV5,MEturquoise,-0.5319730143750193,8.601240139949817e-6,1.5844389731486503e-5
LV10,MEturquoise,-0.5271381106695749,1.0736437311152736e-5,1.878876529451729e-5
LV10,MEblue,0.5030950271733869,3.07959391070851e-5,5.132656517847516e-5
LV7,MEyellow,-0.4820726648989851,7.267284360095473e-5,1.1561588754697343e-4
LV1,MEblue,-0.4802146590307957,7.81937847120769e-5,1.189905419531605e-4
LV7,MEred,0.44990205132903865,2.437948715355225e-4,3.5553418765597026e-4
LV6,MEturquoise,-0.4414955081728332,3.281090676380516e-4,4.593526946932722e-4
LV9,MEbrown,-0.43373967018205517,4.2865628569020215e-4,5.770373076598876e-4
LV7,MEblue,-0.43248799146455263,4.4728758464089135e-4,5.798172393493036e-4
LV1,MEyellow,-0.40559752072996974,0.0010736614628901948,0.0013336541211026638
LV1,MEblack,-0.4046743136592011,0.0011050277003422071,0.0013336541211026638
LV4,MEturquoise,-0.370491210826801,0.003035229459746979,0.0035411010363714758
LV10,MEred,-0.35358933306408424,0.004814401398940804,0.005435614482675102
LV8,MEblack,-0.3510380997945457,0.005150783523007582,0.0056336694782895425
LV2,MEblue,-0.3397048585237909,0.006908076713541326,0.007326748029513527
LV7,MEblack,-0.3321826268627967,0.008346083593763855,0.00859155664063926
LV5,MEmagenta,0.3058877422128608,0.015614278923584851,0.015614278923584851
