gene,LV1,LV2,LV3,LV4,LV5,LV6,LV7,LV8,LV9,LV10
MMP24OS,0.4374404064111979,0,0,0,0,0.014396898267444424,0,0,0.19094328776384548,0
ESYT2,0.0177712201195674,0,0.23886155935695552,0.09103400683518673,0.15912374402610235,0,0,0,0,0.029763656424742786
ILVBL,0,0,0.22712218540910925,0,0.09683486123775437,0.18931151653380843,0,0,0,0
FSD2,0,0,0,0,0.20093888680991026,0.23882829244658632,0,0.029639054877481422,0.10078261747068636,0.2473913611420529
TARS3,0.29244003394724855,0,0,0,0,0,0.05589459638859464,0.025056524990353525,0.0628493884869056,0.13028228193175412
VWA8,0.3858524360911951,0,0,0,0,0,0.1253420068663666,0,0.13330177715251104,0.03003804858070611
CARNS1,0.06112666914382919,0,0.23893880662458644,0,0.04089171992818286,0.11041457045422577,0,0,0,0.15022501441599845
MAP1LC3B2,0,0.005132404437480488,0,0,0,0.1512867324266522,0,0,0.05642799857957826,0.2741487449132432
PGP,0.06320171202338569,0.16360463248317553,0,0,0,0.1334051694909131,0,0.14015803067483268,0,0
DHRS7C,0,0.1829673861739012,0,0.18654582465563763,0.1430760787581984,0.040159907238820174,0,0,0.1644765585580667,0.03470538695232857
SMTNL1,0,0.1363210708713973,0,0.05062995011288364,0.21027970753012565,0,0.032529016174185486,0,0,0.07779113471108609
NUDT19,0.2952122847642099,0,0.1071342936623547,0.20464963856933974,0,0.07935066196713877,0,0,0.04146825349589259,0.16364909286882692
NACA,0,0,0.28799834712436434,0.28155846165421955,0.11653737844616505,0,0,0,0,0.21934164029416953
SLC35A4,0.15156167651805907,0,0,0.06623178216451717,0,0.23374548447192564,0,0.07157591930802083,0.04519118756798633,0.002009531686302522
PDLIM1,0.1633931980045836,0,0,0,0,0,0.36340894243120625,0,0.08511861435210004,0.06223506679517115
MYO1C,0.19709491991217643,0,0.041806272489805056,0.16194333117431634,0,0,0.24872465673972774,0.10518302447699768,0,0.0887283410165904
FXYD1,0.04062507101437729,0,0.059632562071534244,0.2054839101984618,0.09033947379906472,0.10893461614223567,0,0,0,0.16374592957642214
STXBP3,0,0.19417775779238516,0,0.08975159589925905,0,0.004477259756432022,0.1879515508720809,0,0.0800365255470406,0.05860437618296102
NDUFS8,0.32217863713219014,0,0,0.03540986150559602,0,0,0,0,1.3070735055444427,0
PSMD11,0,0.13214540740375882,0.1156683215449374,0,0.5929370458570111,0,0,0,0,0.1454193733540191
PSMD12,0,0,0.05976752034730481,0.08870511772637069,0.7067273393084736,0,0,0,0,0
PSMD9,0,0.14915077412108102,0.04314801934759403,0.14138513528792332,0.054513117962108615,0.09299440419383398,0,0.01661020917994274,0.0370483516615275,0
PGRMC1,0,0,0.023590849831716335,0.34387860538370285,0,0,0.14577336446358868,0.10820776971488112,0,0
CLIC1,0,0,0.36355963473123293,0.015617342708360026,0,0.04423935525088488,0.0715760392865535,0.049984135213686866,0,0.16643012351611003
EIF3F,0,0,0.06260978708690064,0,0,0,0.16347603156839868,0,0.004413160250209162,0.3608921086595768
PDHX,0.5580343669562279,0,0,0.24492638049045834,0,0.05661885132100627,0,0,0.018367984270112013,0
DCTN6,0,0,0.2715190329559227,0.10760203271110257,0.30096183089758455,0.046515070908794205,0,0,0,0
IPO5,0,0,0.25646676895544107,0.1343051319654738,0.24606642315821736,0,0,0.03642865281777384,0,0
EEF2K,0,0.1727007876310083,0,0.17030891934392506,0,0.06471829510805122,0.045355127593645295,0,0.13199184566512512,0
EML1,0,0.23008704471779373,0,0.10053873914384452,0.21955047261211783,0.16616055369504265,0,0.016191797693627625,0,0
DNM1L,0.3153801772854919,0,0.08223249821659662,0,0.0789271686079177,0,0.007704012829221847,0,0,0
RTCA,0.09669577287581581,0.19533711960491723,0,0.03805475585323028,0.0030473985234059165,0,0.09121002859081354,0,0.04626820693194994,0
NDUFA4,0.5604543273470555,0,0.09875451046436255,0.18258896477165457,0.010057849962068738,0,0,0,0.8047563810888915,0.042889595880755006
PSMD14,0,0,0.1096955314948731,0.3352249577718452,0.485953862759562,0.026794199501409,0,0,0,0.08153938430227874
BIN1,0,0,0.3346342532088756,0.10649949166322181,0.07384055770918467,0,0.010273622412782379,0,0,0.24054345566924953
KPNA3,0,0,0.19221994955399807,0.24648489944050941,0,0.03270308246667881,0,0,0,0.23225160384968133
DDX3X,0,0.11309830912883337,0,0,0.3152661669401724,0,0,0,0.10054051219975545,0.3175563037312525
