pathway,LV,AUC,pval,FDR
REACTOME_AEROBIC_RESPIRATION_AND_RESPIRATORY_ELECTRON_TRANSPORT,1,0.942539760044643,1.92182974055523e-24,7.302953014109874e-23
HALLMARK_OXIDATIVE_PHOSPHORYLATION,1,0.940848214285714,1.34365352350245e-23,2.552941694654655e-22
KEGG_MEDICUS_REFERENCE_TRANSLATION_INITIATION,10,0.999052168638156,8.29188785914139e-13,1.0503057954912427e-11
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT,9,0.897721052893467,1.76968508738011e-12,1.6812008330111045e-11
REACTOME_EUKARYOTIC_TRANSLATION_INITIATION,10,0.903370488322718,4.95747094014056e-12,3.7676779145068255e-11
REACTOME_MITOCHONDRIAL_PROTEIN_DEGRADATION,1,0.902046130952381,9.492204282696779e-11,5.303719768473182e-10
REACTOME_PROTEIN_LOCALIZATION,1,0.901971726190476,9.770010099819019e-11,5.303719768473182e-10
REACTOME_SELENOAMINO_ACID_METABOLISM,10,0.894779567878107,3.86280054229497e-10,1.8348302575901107e-9
REACTOME_AEROBIC_RESPIRATION_AND_RESPIRATORY_ELECTRON_TRANSPORT,9,0.762228970741902,8.155155373176221e-9,3.44328782422996e-8
KEGG_MEDICUS_REFERENCE_ELECTRON_TRANSFER_IN_COMPLEX_I,9,1,2.92330325866625e-8,8.545040294562884e-8
KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_ABETA_TO_ELECTRON_TRANSFER_IN_COMPLEX_I,9,1,2.92330325866625e-8,8.545040294562884e-8
KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_TDP43_TO_ELECTRON_TRANSFER_IN_COMPLEX_I,9,1,2.92330325866625e-8,8.545040294562884e-8
KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_PINK1_TO_ELECTRON_TRANSFER_IN_COMPLEX_I,9,1,2.92330325866625e-8,8.545040294562884e-8
KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_SNCA_TO_ELECTRON_TRANSFER_IN_COMPLEX_I,9,0.984130094043887,7.55228245123477e-8,1.9132448876461415e-7
REACTOME_BETA_CATENIN_INDEPENDENT_WNT_SIGNALING,5,0.946526655896607,7.17176482394184e-8,1.9132448876461415e-7
HALLMARK_OXIDATIVE_PHOSPHORYLATION,9,0.734654666801497,3.29905471525047e-7,7.835254948719866e-7
REACTOME_COMPLEX_I_BIOGENESIS,9,0.920381980726808,6.63053718555545e-7,1.4821200767712181e-6
REACTOME_FATTY_ACID_METABOLISM,1,0.864899553571429,1.09803064232181e-6,2.3180646893460435e-6
REACTOME_CITRIC_ACID_CYCLE_TCA_CYCLE,1,0.98828125,3.54080926597381e-6,7.08161853194762e-6
REACTOME_CRISTAE_FORMATION,1,0.969977678571429,7.70150948819085e-6,1.4632868027562614e-5
REACTOME_STRIATED_MUSCLE_CONTRACTION,6,0.979096905124302,2.35554021123799e-5,4.2624060965258866e-5
REACTOME_TRANSLATION,10,0.678495602062481,3.57125339419309e-5,6.168528589969883e-5
REACTOME_MUSCLE_CONTRACTION,6,0.776092628832355,4.55245579096321e-5,7.52144869811313e-5
REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION,5,0.77984844988076,4.85281167539011e-5,7.68361848603434e-5
REACTOME_MITOCHONDRIAL_TRANSLATION,1,0.863467261904762,1.25204261256647e-4,1.9031047711010345e-4
REACTOME_ECM_PROTEOGLYCANS,6,0.978817858954845,1.36763982763383e-4,1.9988582096186743e-4
HALLMARK_MYOGENESIS,6,0.700989345509893,3.37523534616044e-4,4.750331227929508e-4
REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS,6,0.848706240487062,0.00152902059199188,0.002075099374846123
REACTOME_COMPLEMENT_CASCADE,8,0.999504214179474,0.00398057314815468,0.005081560926955391
REACTOME_SCAVENGING_OF_HEME_FROM_PLASMA,8,0.999008428358949,0.00401175862654373,0.005081560926955391
REACTOME_NUCLEAR_EVENTS_MEDIATED_BY_NFE2L2,5,0.690929216777359,0.0163278393964569,0.0200147708730762
REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS,8,0.758304412493803,0.0262057294326546,0.03111930370127734
HALLMARK_HEME_METABOLISM,8,0.671128739051396,0.0271087373873487,0.031216121839977292
REACTOME_TRANSLATION,5,0.572144011077775,0.057015472145518,0.06372317475087305
REACTOME_MUSCLE_CONTRACTION,10,0.58924780103124,0.103064063121374,0.11189812567463463
REACTOME_RESPONSE_TO_ELEVATED_PLATELET_CYTOSOLIC_CA2,8,0.513138324243927,0.441335037556611,0.46585365075420054
REACTOME_RECYCLING_PATHWAY_OF_L1,3,0.408647798742138,0.723391980030013,0.7429431146254187
REACTOME_BETA_CATENIN_INDEPENDENT_WNT_SIGNALING,4,0.398754789272031,0.882342040478344,0.882342040478344
