pathway,contrast,NES,padj,size,database,sig,pathway_label,pattern,sort_key,leading_edge
REACTOME_MHC_CLASS_II_ANTIGEN_PRESENTATION,Interaction,-1.763,1,44,Reactome,FALSE,Mhc Class Ii Antigen Presentation,Shared,2.418446834697079,DCTN5;DYNC1LI1;DYNC1H1;AP1M1;DYNC1I2;DCTN1;DYNC1LI2;CANX;DYNLL1;AP2M1;DCTN2;TUBB2A;TUBB4B;CLTC;TUBB6;SEC23A;TUBA1B;DNM2;DCTN6
REACTOME_MHC_CLASS_II_ANTIGEN_PRESENTATION,Training_Old,1.898,0.01107,44,Reactome,TRUE,Mhc Class Ii Antigen Presentation,Shared,2.418446834697079,KIF5B;AP1B1;DCTN3;AP2A1;DCTN2;TUBA1B;ACTR1A;TUBB6;TUBA4A;DYNC1H1;AP2B1;CTSB;TUBB2A;OSBPL1A;SEC31A;KLC1;AP1G1;TUBA8;DYNC1I2;DCTN1;SEC23A;CLTC;DCTN6;DYNC1LI1;AP2M1;DCTN4;CAPZA1;SEC13;CANX;CAPZB
REACTOME_MHC_CLASS_II_ANTIGEN_PRESENTATION,Training_Young,2.418,1.653e-6,44,Reactome,TRUE,Mhc Class Ii Antigen Presentation,Shared,2.418446834697079,DYNC1H1;DYNC1LI1;DYNC1I2;DCTN2;DCTN1;TUBB6;DCTN5;TUBB2A;AP1M1;TUBA1B;KIF5B;CANX;AP2M1;CLTC;ACTR1A;SEC23A;AP2A1;TUBB4B;DYNC1LI2;AP1B1;DCTN6;DCTN4
REACTOME_CILIUM_ASSEMBLY,Interaction,-1.867,1,35,Reactome,FALSE,Cilium Assembly,Shared,2.245170998618896,DYNC1H1;DYNC1I2;PPP2R1A;DCTN1;YWHAG;SEPTIN2;DYNLL1;CCT8;DCTN2;TUBB2A;PAFAH1B1;YWHAE;CCT2;TUBB4B;TUBB6;TCP1;ARL3;TUBA1B;CCT5
REACTOME_CILIUM_ASSEMBLY,Training_Old,2.259,1.954e-4,35,Reactome,TRUE,Cilium Assembly,Shared,2.245170998618896,TUBB;CCT5;CCT4;CCT3;DCTN3;DYNLRB1;DCTN2;CCT8;TUBA1B;ACTR1A;TUBB6;TUBA4A;DYNC1H1;CCT2;TNPO1;TUBB2A;TCP1;MAPRE1;TUBA8;DYNC1I2;DCTN1
REACTOME_CILIUM_ASSEMBLY,Training_Young,2.245,8.591e-5,35,Reactome,TRUE,Cilium Assembly,Shared,2.245170998618896,DYNC1H1;DYNC1I2;CCT5;CCT8;DCTN2;TUBB;DCTN1;CCT2;TUBB6;TUBB2A;TUBA1B;CCT4;TCP1;CCT3;PPP2R1A;ACTR1A;TUBB4B;YWHAG;TNPO1;ARL3
REACTOME_COOPERATION_OF_PREFOLDIN_AND_TRIC_CCT_IN_ACTIN_AND_TUBULIN_FOLDING,Interaction,-1.538,0.1507,21,Reactome,FALSE,Cooperation Of Prefoldin And Tric Cct In Actin And Tubulin Folding,Shared,2.196352063658247,CCT6A;CCT8;TUBB2A;PFDN2;CCT2;TUBB4B;CCT7;VBP1;TUBB6;TCP1;TUBA1B;CCT5
REACTOME_COOPERATION_OF_PREFOLDIN_AND_TRIC_CCT_IN_ACTIN_AND_TUBULIN_FOLDING,Training_Old,1.876,0.03436,21,Reactome,TRUE,Cooperation Of Prefoldin And Tric Cct In Actin And Tubulin Folding,Shared,2.196352063658247,CCT5;CCT4;CCT3;CCT6A;CCT8;TUBA1B;TUBB6;TUBA4A;CCT2;TUBB2A;CCT7;TCP1;TUBA8
REACTOME_COOPERATION_OF_PREFOLDIN_AND_TRIC_CCT_IN_ACTIN_AND_TUBULIN_FOLDING,Training_Young,2.196,3.659e-4,21,Reactome,TRUE,Cooperation Of Prefoldin And Tric Cct In Actin And Tubulin Folding,Shared,2.196352063658247,CCT6A;CCT5;CCT8;CCT2;TUBB6;TUBB2A;TUBA1B;CCT7;CCT4;TCP1;CCT3
REACTOME_ACTIVATION_OF_NMDA_RECEPTORS_AND_POSTSYNAPTIC_EVENTS,Interaction,-1.118,0.5551,24,Reactome,FALSE,Activation Of Nmda Receptors And Postsynaptic Events,Shared,1.9441552975869854,MAPT;PRKAA2;TUBB2A;PRKAG1;TUBB4B;TUBB6;PRKAR2A;PRKAA1;TUBA1B;PRKAR1A
REACTOME_ACTIVATION_OF_NMDA_RECEPTORS_AND_POSTSYNAPTIC_EVENTS,Training_Old,1.935,0.02359,24,Reactome,TRUE,Activation Of Nmda Receptors And Postsynaptic Events,Shared,1.9441552975869854,CAMK2D;MAPK1;CAMK2B;TUBA1B;CALM1;TUBB6;PRKAG1;TUBA4A;CAMK2A;TUBB2A;TUBA8;ACTN2;PRKAB2;RPS6KA3
REACTOME_ACTIVATION_OF_NMDA_RECEPTORS_AND_POSTSYNAPTIC_EVENTS,Training_Young,1.944,0.007808,24,Reactome,TRUE,Activation Of Nmda Receptors And Postsynaptic Events,Shared,1.9441552975869854,PRKAG1;TUBB6;TUBB2A;MAPT;TUBA1B;CAMK2D;PRKAA2;TUBB4B;CALM1;PRKAA1;PRKAR1A;PRKACA;PRKAR2A;PRKAB2
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,Interaction,-1.094,0.5749,32,Hallmark,FALSE,Unfolded Protein Response,Shared,1.9038387056985966,CALR;DCTN1;YWHAZ;PREB;TARS1;EIF4G1;TUBB2A;SPCS1;HYOU1;HSPA5;HSP90B1
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,Training_Old,2.018,0.004837,32,Hallmark,TRUE,Unfolded Protein Response,Shared,1.9038387056985966,KIF5B;HSPA9;RPS14;ERO1A;DNAJA4;HYOU1;EEF2;HSP90B1;TARS1;TUBB2A;EIF4A2;BANF1;BAG3;SEC31A;EIF2S1;HSPA5;DCTN1
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,Training_Young,1.904,0.008755,32,Hallmark,TRUE,Unfolded Protein Response,Shared,1.9038387056985966,DCTN1;TARS1;TUBB2A;HYOU1;KIF5B;DNAJA4;HSP90B1;HSPA5;PREB;YWHAZ;BAG3;ERO1A;CALR;RPS14;EIF2S1
HALLMARK_MITOTIC_SPINDLE,Interaction,-1.478,0.1533,35,Hallmark,FALSE,Mitotic Spindle,Shared,1.87386365247337,DYNC1H1;BIN1;EZR;CLIP1;SEPTIN9;MARCKS;PXN;PAFAH1B1;YWHAE;VCL;PDLIM5;ARHGDIA
HALLMARK_MITOTIC_SPINDLE,Training_Old,1.964,0.0104,35,Hallmark,TRUE,Mitotic Spindle,Shared,1.87386365247337,FSCN1;GSN;PREX1;KIF5B;MYH9;CTTN;FLNA;TUBA4A;SPTBN1;FLNB;DYNC1H1;EPB41;LRPPRC;KLC1;MAPRE1;VCL;MARCKS;EZR;SPTAN1;ACTN4
HALLMARK_MITOTIC_SPINDLE,Training_Young,1.874,0.01137,35,Hallmark,TRUE,Mitotic Spindle,Shared,1.87386365247337,DYNC1H1;FSCN1;EZR;BIN1;MARCKS;FLNA;KIF5B;VCL;GSN;FLNB;SPTBN1;SPTAN1;PXN;PAFAH1B1;SEPTIN9;LRPPRC;CTTN;CLIP1;YWHAE;MAPRE1
HALLMARK_MYC_TARGETS_V1,Interaction,-0.996,0.708,128,Hallmark,FALSE,MYC Targets V1,Shared,1.7357465483554446,TOMM70;EPRS1;KPNB1;HDDC2;AIMP2;DHX15;HNRNPU;CANX;PSMD3;ABCE1;KARS1;SLC25A3;YWHAE;CCT2;RAN;PSMD1;RPL34;CCT7;EIF3J;VBP1;XPO1;SYNCRIP;EEF1B2;UBE2L3;EIF4G2;RAD23B;SSBP1;CUL1;TCP1;TARDBP;CCT5;HSP90AB1;RUVBL2;PSMB3
HALLMARK_MYC_TARGETS_V1,Training_Old,1.691,0.01107,128,Hallmark,TRUE,MYC Targets V1,Shared,1.7357465483554446,HPRT1;RPS6;RPL22;TUFM;CCT5;RPL18;CCT4;HSPE1;RPS2;PRDX3;CCT3;SET;PSMD7;RACK1;SNRPD3;RPS10;NME1;PA2G4;FAM120A;ABCE1;MRPS18B;CCT2;G3BP1;RPL6;RPS3;IMPDH2;CCT7;TCP1;RPS5;SRSF3;PRDX4;ETF1;MRPL9;HNRNPR;RPLP0;SSBP1;EIF2S1
HALLMARK_MYC_TARGETS_V1,Training_Young,1.736,0.001597,128,Hallmark,TRUE,MYC Targets V1,Shared,1.7357465483554446,CCT5;EPRS1;KPNB1;ABCE1;HPRT1;TOMM70;CCT2;CCT7;CCT4;SLC25A3;CANX;TCP1;CCT3;PRDX3;TUFM;RPS6;SSBP1;EEF1B2;AIMP2;HSP90AB1;RPS2;NME1;EIF3J;PSMD1;ETF1;RUVBL2;PSMC6;PSMD3;PSMA7;TARDBP;HDDC2;HSPE1;PSMA6;DHX15;FAM120A;RAN;PSMC4;EIF2S1;PPIA;PSMB3;EIF1AX;RPS3;SRM;HSPD1;YWHAQ;PSMA1;RPL14;RPL34;RAD23B;PSMD14;YWHAE;PSMD8
REACTOME_TRANSLATION,Interaction,1.122,0.4622,177,Reactome,FALSE,Translation,Shared,1.707409214476085,RPL24;RPS15;RPL38;RPS12;RPS21;TRMT112;RPL22;MRRF;RPL23;RPL31;RPS5;RPL23A;RPS3A;EIF3A;RPL32;MRPL53;RPS18;MRPL37;MRPL38;RPSA;EIF3G;RPS10;WARS2;MRPL9;RPL35;RPS25;RPL18;EIF4A1;EIF4A2;RPL37A;RPS19;SSR4;RPS20;MRPL46;RPL19;RPS17;EIF3K;EEF2;MRPL13;RPL10;RPS7;MRPL47;RPS16;RPS23;EIF3E;RPS13;YARS1;MRPL54;RPLP2;RPL18A;RPS4X;EIF5;RPL12;EIF3M;MRPS5;EIF2B3
REACTOME_TRANSLATION,Training_Old,2.402,8.938e-11,178,Reactome,TRUE,Translation,Shared,1.707409214476085,RPS15;RPS6;RPL22;TUFM;RPL24;RPS12;RPS3A;EEF1G;RPL37A;RPS21;RPL18;RPS2;RPL10;RPS17;RPS19;RPSA;RPS16;RPS14;RPS13;RPS18;RPL32;RPS25;RPS11;RPL23A;PTCD3;RPL23;RPS4X;RPS20;MARS1;RPS10;MTIF2;RPS7;RPS15A;MRPS18A;RPL36AL;EIF3C;RPLP2;VARS1;MRPS18B;RPL11;RPL12;EEF2;RPL35;RPL6;RPS3;RPL19;EIF2B3;TARS1;RPS8;EIF4A2;RPS5;EIF3I;SSR4;QARS1;MRPL13;RPL7;MRPS5;RPS28;ETF1;MRPL9;RPL8;RPL17;RPLP0;EIF3E;RPL38;EIF2S1;RPS9;IARS2;RPL4;TSFM;RPL13A;MRPL4;EIF3L;FARSB;MRPL1;SARS1;EIF3K;MRPS25;RPL29;RPL31;RPL28;RPL13;MRPL38;EEF1B2;YARS1;EIF2B1;EIF3A;RPL5;EIF2S2;RPL36;MRPS21
REACTOME_TRANSLATION,Training_Young,1.707,8.825e-4,177,Reactome,TRUE,Translation,Shared,1.707409214476085,VARS1;RPS11;FARSB;EEF1D;EPRS1;EEF1G;QARS1;DARS1;FARSA;TARS1;TUFM;EIF2S3;AIMP1;RPS6;EEF1B2;RPL3;HARS1;EEF1A1;AIMP2;RPS27;EIF2B1;RPS2;MRPS15;SARS1;EIF3J;APEH;ETF1;AARS1;RPL13A;MTIF2;RPS14;EIF3C;MARS1;RPL15;EIF2S1;MRPS35;RPS8;SEC61A1;EIF3I;RPS28;EIF1AX;RPS15A;PTCD3;MRPL36;MRPS18A;RPS3;RPL13;LARS1;EEF1A2;RARS1;RPL14;RPL7;EIF3F;RPL34;RPN2;RPL6;SPCS1;RPL28;RPS24;GSPT1;RPS27A;SARS2;GARS1;RPL29;MRPS21;EIF2B4;RPL10;RPS13;RPL36;SRPRB;RPL26;RPL37A;RPS16;MRPS25;EIF3L;MRPS18B;RPL36AL;WARS1;RPS4X;RPL30;CARS1;MRPL19;PPA1;RPL18;RPL17;RPL10A
